Orthogroup	Prad	Syaq
OG0000004	Prad.g_01269	Syaq.g_02603
OG0000004	Prad.g_01759	Syaq.g_02042, Syaq.g_01567
OG0000005	Prad.g_00928	Syaq.g_01658
OG0000005	Prad.g_00438	Syaq.g_01692
OG0000006	Prad.g_01750	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prad.g_00132	Syaq.g_01793
OG0000007	Prad.g_00941	Syaq.g_01673
OG0000009	Prad.g_01888	Syaq.g_01489
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syaq.g_00443
OG0000011	Prad.g_01218, Prad.g_00339, Prad.g_01212	Syaq.g_01038
OG0000012	Prad.g_01412	Syaq.g_02059
OG0000013	Prad.g_01664	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prad.g_01685	Syaq.g_00862
OG0000015	Prad.g_01108	Syaq.g_02255
OG0000016	Prad.g_01973	Syaq.g_01136
OG0000017	Prad.g_01387	Syaq.g_01992
OG0000018	Prad.g_01515, Prad.g_01173	Syaq.g_00401
OG0000019	Prad.g_01742, Prad.g_01125	Syaq.g_00717
OG0000022	Prad.g_01105, Prad.g_01993	Syaq.g_02126
OG0000023	Prad.g_00751	Syaq.g_02540
OG0000025	Prad.g_01181, Prad.g_01660	Syaq.g_02381
OG0000026	Prad.g_01955, Prad.g_01004	Syaq.g_01114
OG0000028	Prad.g_01671, Prad.g_01204	Syaq.g_00878
OG0000032	Prad.g_00572	Syaq.g_00421
OG0000033	Prad.g_01822	Syaq.g_01399
OG0000034	Prad.g_00618	Syaq.g_00312, Syaq.g_01431
OG0000035	Prad.g_00515	Syaq.g_00372
OG0000037	Prad.g_01884	Syaq.g_01483
OG0000038	Prad.g_01582	Syaq.g_01260, Syaq.g_01258
OG0000039	Prad.g_01260	Syaq.g_01601, Syaq.g_01241
OG0000042	Prad.g_01624	Syaq.g_00200, Syaq.g_01044
OG0000043	Prad.g_00313	Syaq.g_01920
OG0000045	Prad.g_00738	Syaq.g_02047
OG0000048	Prad.g_00735	Syaq.g_00749
OG0000053	Prad.g_00494	Syaq.g_00397
OG0000054	Prad.g_01395	Syaq.g_02005
OG0000055	Prad.g_01126	Syaq.g_02700
OG0000057	Prad.g_01272	Syaq.g_02605
OG0000058	Prad.g_00565	Syaq.g_00944
OG0000059	Prad.g_00855	Syaq.g_00657
OG0000061	Prad.g_01496	Syaq.g_00249
OG0000063	Prad.g_01953, Prad.g_00081	Syaq.g_01110
OG0000065	Prad.g_01886	Syaq.g_01908, Syaq.g_01487
OG0000066	Prad.g_00090	Syaq.g_01851
OG0000067	Prad.g_01146	Syaq.g_02340
OG0000068	Prad.g_00594	Syaq.g_01763
OG0000070	Prad.g_00057	Syaq.g_00484
OG0000071	Prad.g_00628	Syaq.g_00297
OG0000072	Prad.g_01820	Syaq.g_01397
OG0000073	Prad.g_00130	Syaq.g_01795
OG0000075	Prad.g_00775	Syaq.g_00986
OG0000076	Prad.g_01631	Syaq.g_01028
OG0000077	Prad.g_01915	Syaq.g_01547
OG0000078	Prad.g_01752	Syaq.g_01585
OG0000079	Prad.g_01739	Syaq.g_00721
OG0000081	Prad.g_00098	Syaq.g_01893
OG0000082	Prad.g_01374	Syaq.g_01975
OG0000084	Prad.g_00519	Syaq.g_00367
OG0000085	Prad.g_00948	Syaq.g_01683
OG0000086	Prad.g_01905	Syaq.g_01525
OG0000087	Prad.g_01854	Syaq.g_01438
OG0000088	Prad.g_01825	Syaq.g_01402
OG0000089	Prad.g_00755	Syaq.g_00529
OG0000090	Prad.g_00096	Syaq.g_01838
OG0000091	Prad.g_01431	Syaq.g_02090
OG0000094	Prad.g_01038	Syaq.g_00056, Syaq.g_02554
OG0000097	Prad.g_01454	Syaq.g_00167
OG0000098	Prad.g_00612	Syaq.g_02221
OG0000099	Prad.g_00566	Syaq.g_00882
OG0000100	Prad.g_00440	Syaq.g_02371
OG0000101	Prad.g_00807	Syaq.g_00607
OG0000102	Prad.g_01626	Syaq.g_01033
OG0000103	Prad.g_01548	Syaq.g_01170
OG0000104	Prad.g_01540	Syaq.g_01154
OG0000105	Prad.g_01717	Syaq.g_00754
OG0000106	Prad.g_00739	Syaq.g_01863
OG0000108	Prad.g_00027	Syaq.g_01772
OG0000109	Prad.g_00013	Syaq.g_01788
OG0000110	Prad.g_01364	Syaq.g_01962
OG0000111	Prad.g_01273	Syaq.g_02606
OG0000112	Prad.g_01109	Syaq.g_02476
OG0000114	Prad.g_00245	Syaq.g_02269
OG0000115	Prad.g_00641	Syaq.g_00395
OG0000116	Prad.g_01506	Syaq.g_00263
OG0000117	Prad.g_01214	Syaq.g_00203
OG0000118	Prad.g_00616	Syaq.g_00325, Syaq.g_00316
OG0000120	Prad.g_00564	Syaq.g_00883
OG0000121	Prad.g_00513	Syaq.g_00375
OG0000122	Prad.g_00474	Syaq.g_02118
OG0000123	Prad.g_00800	Syaq.g_00599
OG0000124	Prad.g_01616	Syaq.g_01055
OG0000125	Prad.g_01580	Syaq.g_01256
OG0000126	Prad.g_01541	Syaq.g_01156
OG0000128	Prad.g_01975	Syaq.g_01138
OG0000129	Prad.g_01943	Syaq.g_01269
OG0000130	Prad.g_01924	Syaq.g_01559
OG0000131	Prad.g_01846	Syaq.g_01427, Syaq.g_01424
OG0000132	Prad.g_01827	Syaq.g_01404
OG0000133	Prad.g_01669	Syaq.g_02481
