Orthogroup	Prad	Syaj
OG0000001	Prad.g_00609, Prad.g_01434, Prad.g_01994	Syaj.g_02674
OG0000002	Prad.g_00601, Prad.g_01252	Syaj.g_02667
OG0000004	Prad.g_01269	Syaj.g_00441
OG0000004	Prad.g_01759	Syaj.g_01314, Syaj.g_02853
OG0000005	Prad.g_00928	Syaj.g_01736
OG0000005	Prad.g_00438	Syaj.g_01698
OG0000006	Prad.g_01750	Syaj.g_02635
OG0000007	Prad.g_00132	Syaj.g_00091
OG0000007	Prad.g_00941	Syaj.g_01721
OG0000009	Prad.g_00317, Prad.g_00401	Syaj.g_01069
OG0000009	Prad.g_01888	Syaj.g_01885
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syaj.g_01445
OG0000011	Prad.g_01218, Prad.g_00339	Syaj.g_01133
OG0000012	Prad.g_01412	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Prad.g_01664	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prad.g_01685	Syaj.g_02522
OG0000015	Prad.g_01108	Syaj.g_00725, Syaj.g_02659
OG0000016	Prad.g_01973	Syaj.g_02276
OG0000017	Prad.g_01387	Syaj.g_00248
OG0000018	Prad.g_01515, Prad.g_01173	Syaj.g_01413
OG0000019	Prad.g_01742, Prad.g_01125	Syaj.g_02613
OG0000021	Prad.g_01981, Prad.g_00745	Syaj.g_00982
OG0000022	Prad.g_01105, Prad.g_01993	Syaj.g_01220
OG0000023	Prad.g_00751	Syaj.g_00829, Syaj.g_01791
OG0000024	Prad.g_01088, Prad.g_01249	Syaj.g_00500
OG0000025	Prad.g_01181, Prad.g_01660	Syaj.g_00383
OG0000026	Prad.g_01955, Prad.g_01004	Syaj.g_02298
OG0000027	Prad.g_01298, Prad.g_00353	Syaj.g_00396
OG0000028	Prad.g_01671, Prad.g_01204	Syaj.g_02506
OG0000029	Prad.g_00734, Prad.g_01096	Syaj.g_01229
OG0000032	Prad.g_00572	Syaj.g_01432
OG0000033	Prad.g_01822	Syaj.g_01990
OG0000034	Prad.g_00618	Syaj.g_01959
OG0000035	Prad.g_00515	Syaj.g_01378
OG0000037	Prad.g_01884	Syaj.g_01891, Syaj.g_02902
OG0000038	Prad.g_01582	Syaj.g_02115
OG0000039	Prad.g_01260	Syaj.g_00392, Syaj.g_00275
OG0000041	Prad.g_00894	Syaj.g_01602
OG0000042	Prad.g_01624	Syaj.g_02399
OG0000043	Prad.g_00276, Prad.g_00313	Syaj.g_01247
OG0000044	Prad.g_01213	Syaj.g_01344
OG0000047	Prad.g_00683, Prad.g_01661	Syaj.g_02799
OG0000048	Prad.g_00735	Syaj.g_02578
