Orthogroup	Prad	Prah
OG0000000	Prad.g_00392	Prah.g_01348
OG0000000	Prad.g_00372, Prad.g_00349	Prah.g_01154, Prah.g_01152
OG0000000	Prad.g_00350, Prad.g_00389	Prah.g_01346, Prah.g_01347
OG0000001	Prad.g_00609, Prad.g_01434, Prad.g_01994	Prah.g_00324, Prah.g_01343
OG0000002	Prad.g_00601	Prah.g_00562
OG0000002	Prad.g_01252	Prah.g_01226
OG0000004	Prad.g_01269	Prah.g_01022
OG0000004	Prad.g_01759	Prah.g_01413
OG0000005	Prad.g_00438	Prah.g_01652
OG0000006	Prad.g_01750	Prah.g_00475, Prah.g_01767
OG0000007	Prad.g_00132	Prah.g_01546
OG0000007	Prad.g_00941	Prah.g_01676
OG0000009	Prad.g_01888	Prah.g_00432, Prah.g_01895
OG0000010	Prad.g_00033	Prah.g_00311
OG0000011	Prad.g_01218, Prad.g_00339	Prah.g_01084
OG0000012	Prad.g_01412	Prah.g_00524
OG0000013	Prad.g_01664	Prah.g_01956
OG0000014	Prad.g_01685	Prah.g_02171
OG0000015	Prad.g_01108	Prah.g_01155, Prah.g_00576
OG0000016	Prad.g_01973	Prah.g_00015
OG0000017	Prad.g_01387	Prah.g_01405
OG0000018	Prad.g_01515, Prad.g_01173	Prah.g_00378
OG0000020	Prad.g_01299	Prah.g_01100
OG0000021	Prad.g_01981, Prad.g_00745	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000022	Prad.g_01105	Prah.g_00170
OG0000022	Prad.g_01993	Prah.g_01209
OG0000023	Prad.g_00751	Prah.g_00688
OG0000024	Prad.g_01088, Prad.g_01249	Prah.g_01043
OG0000025	Prad.g_01181, Prad.g_01660	Prah.g_00604
OG0000026	Prad.g_01955, Prad.g_01004	Prah.g_00038
OG0000028	Prad.g_01671	Prah.g_02184
OG0000029	Prad.g_01096	Prah.g_01972
OG0000032	Prad.g_00572	Prah.g_00358
OG0000032	Prad.g_00561	Prah.g_02196
OG0000033	Prad.g_01822	Prah.g_02307
OG0000034	Prad.g_00618	Prah.g_01376
OG0000035	Prad.g_00515	Prah.g_00408
OG0000037	Prad.g_01884	Prah.g_01901
OG0000038	Prad.g_01582	Prah.g_02494, Prah.g_02496
OG0000039	Prad.g_01260	Prah.g_01758, Prah.g_02382
OG0000041	Prad.g_00894	Prah.g_01737
OG0000042	Prad.g_01624	Prah.g_00135, Prah.g_01256
OG0000043	Prad.g_00313	Prah.g_01190
OG0000045	Prad.g_00738	Prah.g_01837
OG0000047	Prad.g_00683	Prah.g_00321, Prah.g_00322
OG0000047	Prad.g_01661	Prah.g_00353
OG0000048	Prad.g_00735	Prah.g_02122
OG0000051	Prad.g_00342	Prah.g_01166
OG0000053	Prad.g_00494	Prah.g_00381
OG0000054	Prad.g_01395	Prah.g_01394
OG0000055	Prad.g_01126	Prah.g_00942
OG0000057	Prad.g_01272	Prah.g_01027
OG0000061	Prad.g_01496	Prah.g_01322, Prah.g_00104
