Orthogroup	Prad	Syai
OG0000001	Prad.g_00609, Prad.g_01434, Prad.g_01994	Syai.g_01716
OG0000002	Prad.g_00601, Prad.g_01252	Syai.g_01728
OG0000004	Prad.g_01269	Syai.g_01994
OG0000004	Prad.g_01759	Syai.g_01062, Syai.g_00530
OG0000005	Prad.g_00928	Syai.g_02393
OG0000005	Prad.g_00438	Syai.g_02356
OG0000006	Prad.g_01750	Syai.g_00317, Syai.g_00547
OG0000007	Prad.g_00132	Syai.g_00657
OG0000007	Prad.g_00941	Syai.g_02378
OG0000009	Prad.g_00317, Prad.g_00401	Syai.g_01626
OG0000009	Prad.g_01888	Syai.g_02541
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syai.g_00864
OG0000011	Prad.g_01218, Prad.g_00339	Syai.g_01894, Syai.g_00582
OG0000012	Prad.g_01412	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Prad.g_01664	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prad.g_01685	Syai.g_00220
OG0000015	Prad.g_01108	Syai.g_01246, Syai.g_01245
OG0000016	Prad.g_01973	Syai.g_00014
OG0000017	Prad.g_01387	Syai.g_00801
OG0000018	Prad.g_01515, Prad.g_01173	Syai.g_00915
OG0000019	Prad.g_01742, Prad.g_01125	Syai.g_00304
OG0000020	Prad.g_00647, Prad.g_01299	Syai.g_00476
OG0000022	Prad.g_01105, Prad.g_01993	Syai.g_01159
OG0000023	Prad.g_00751	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prad.g_01088, Prad.g_01249	Syai.g_01951
OG0000025	Prad.g_01181, Prad.g_01660	Syai.g_02044
OG0000026	Prad.g_01955, Prad.g_01004	Syai.g_00038
OG0000027	Prad.g_01298, Prad.g_00353	Syai.g_01128, Syai.g_01654
OG0000028	Prad.g_01671, Prad.g_01204	Syai.g_00205
OG0000029	Prad.g_00734, Prad.g_01096	Syai.g_01035, Syai.g_01584
OG0000032	Prad.g_00572	Syai.g_00895
OG0000033	Prad.g_01822	Syai.g_02634
OG0000034	Prad.g_00618	Syai.g_02192, Syai.g_02604
OG0000035	Prad.g_00515	Syai.g_00955
OG0000037	Prad.g_01884	Syai.g_02544, Syai.g_02815
OG0000038	Prad.g_01582	Syai.g_02780
OG0000039	Prad.g_01260	Syai.g_02034
OG0000041	Prad.g_00894	Syai.g_02265
OG0000042	Prad.g_01624	Syai.g_00099
OG0000043	Prad.g_00313	Syai.g_01599
OG0000044	Prad.g_01213	Syai.g_00833
OG0000045	Prad.g_00738	Syai.g_02432
OG0000047	Prad.g_00683, Prad.g_01661	Syai.g_00462
OG0000048	Prad.g_00735	Syai.g_00272
OG0000050	Prad.g_01291	Syai.g_01893
OG0000051	Prad.g_00342	Syai.g_01773
OG0000053	Prad.g_00494	Syai.g_00930
OG0000054	Prad.g_01395	Syai.g_01040
OG0000055	Prad.g_01126	Syai.g_02029
OG0000057	Prad.g_01272	Syai.g_01997
OG0000058	Prad.g_00565	Syai.g_00195
OG0000059	Prad.g_00855	Syai.g_00351
OG0000061	Prad.g_01496	Syai.g_02144
OG0000063	Prad.g_01953, Prad.g_00081	Syai.g_00042
OG0000066	Prad.g_00090	Syai.g_01709, Syai.g_00719
OG0000067	Prad.g_01146	Syai.g_01321
OG0000068	Prad.g_00594	Syai.g_00628
OG0000070	Prad.g_00057	Syai.g_02196
OG0000071	Prad.g_00628	Syai.g_02179
OG0000072	Prad.g_01820	Syai.g_02636
OG0000073	Prad.g_00130	Syai.g_00659
OG0000075	Prad.g_00775	Syai.g_00161
OG0000076	Prad.g_01631	Syai.g_00111
OG0000077	Prad.g_01915	Syai.g_02486
OG0000078	Prad.g_01752	Syai.g_00543
OG0000079	Prad.g_01739	Syai.g_00300
OG0000081	Prad.g_00098	Syai.g_00553
OG0000082	Prad.g_01374	Syai.g_00781
OG0000084	Prad.g_00519	Syai.g_00958
OG0000085	Prad.g_00948	Syai.g_02365
OG0000086	Prad.g_01905	Syai.g_02507
OG0000087	Prad.g_01854	Syai.g_02592
OG0000088	Prad.g_01825	Syai.g_02630
OG0000089	Prad.g_00755	Syai.g_00517
OG0000090	Prad.g_00096	Syai.g_00707
OG0000091	Prad.g_01431	Syai.g_01112
OG0000092	Prad.g_00240	Syai.g_01358
OG0000094	Prad.g_01038	Syai.g_01424
OG0000097	Prad.g_01454	Syai.g_01787
OG0000098	Prad.g_00612	Syai.g_01718
OG0000099	Prad.g_00566	Syai.g_00199
OG0000100	Prad.g_00440	Syai.g_01372
OG0000101	Prad.g_00807	Syai.g_00404
OG0000102	Prad.g_01626	Syai.g_00106
OG0000103	Prad.g_01548	Syai.g_02912
OG0000104	Prad.g_01540	Syai.g_02929
OG0000105	Prad.g_01717	Syai.g_00267
OG0000106	Prad.g_00739	Syai.g_01601
OG0000107	Prad.g_00724	Syai.g_00319
OG0000108	Prad.g_00027	Syai.g_00638
OG0000109	Prad.g_00013	Syai.g_00653
OG0000110	Prad.g_01364	Syai.g_00766
OG0000111	Prad.g_01273	Syai.g_00884
OG0000112	Prad.g_01109	Syai.g_01512
OG0000113	Prad.g_01168	Syai.g_01367
OG0000114	Prad.g_00245	Syai.g_01261
OG0000115	Prad.g_00641	Syai.g_00932
OG0000116	Prad.g_01506	Syai.g_02156
OG0000117	Prad.g_01214	Syai.g_01756
OG0000118	Prad.g_00616	Syai.g_00818
OG0000119	Prad.g_00598	Syai.g_02127
OG0000120	Prad.g_00564	Syai.g_00198
OG0000121	Prad.g_00513	Syai.g_00951
OG0000122	Prad.g_00474	Syai.g_01143
OG0000123	Prad.g_00800	Syai.g_00411
OG0000124	Prad.g_01616	Syai.g_00089
OG0000125	Prad.g_01580	Syai.g_02782
OG0000126	Prad.g_01541	Syai.g_02927
OG0000128	Prad.g_01975	Syai.g_00012
OG0000129	Prad.g_01943	Syai.g_02771
OG0000130	Prad.g_01924	Syai.g_02474
OG0000131	Prad.g_01846	Syai.g_02608
OG0000132	Prad.g_01827	Syai.g_02628
OG0000133	Prad.g_01669	Syai.g_01507
OG0000134	Prad.g_00754	Syai.g_00520
OG0000135	Prad.g_00727	Syai.g_02826
OG0000136	Prad.g_00066	Syai.g_02217
OG0000137	Prad.g_00032	Syai.g_00865
OG0000138	Prad.g_00012	Syai.g_00654
OG0000139	Prad.g_00092	Syai.g_00714
OG0000140	Prad.g_00091	Syai.g_00716
OG0000141	Prad.g_01396	Syai.g_01041
OG0000142	Prad.g_01424	Syai.g_01104
OG0000143	Prad.g_01428	Syai.g_01108
OG0000144	Prad.g_01226	Syai.g_01608
OG0000145	Prad.g_01107	Syai.g_00660
OG0000146	Prad.g_01110	Syai.g_01513
OG0000147	Prad.g_01111	Syai.g_01514
OG0000148	Prad.g_01162	Syai.g_01361
OG0000149	Prad.g_00301	Syai.g_02059
OG0000150	Prad.g_00293	Syai.g_00717
