Orthogroup	Prad	Syaf
OG0000001	Prad.g_00609, Prad.g_01434, Prad.g_01994	Syaf.g_01640
OG0000004	Prad.g_01269	Syaf.g_01455
OG0000004	Prad.g_01759	Syaf.g_02351, Syaf.g_02794
OG0000005	Prad.g_00928	Syaf.g_01017
OG0000005	Prad.g_00438	Syaf.g_01057
OG0000006	Prad.g_01750	Syaf.g_00179, Syaf.g_02778
OG0000007	Prad.g_00132	Syaf.g_02702
OG0000007	Prad.g_00941	Syaf.g_01033
OG0000009	Prad.g_01888	Syaf.g_00905
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syaf.g_02499
OG0000011	Prad.g_01218, Prad.g_00339	Syaf.g_01532
OG0000012	Prad.g_01412	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Prad.g_01664	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prad.g_01685	Syaf.g_00280
OG0000015	Prad.g_01108	Syaf.g_02120, Syaf.g_02121
OG0000016	Prad.g_01973	Syaf.g_00484
OG0000017	Prad.g_01387	Syaf.g_02561
OG0000018	Prad.g_01515, Prad.g_01173	Syaf.g_02451
OG0000019	Prad.g_01742, Prad.g_01125	Syaf.g_00193
OG0000020	Prad.g_00647, Prad.g_01299	Syaf.g_02187
OG0000021	Prad.g_01981, Prad.g_00745	Syaf.g_01726
OG0000022	Prad.g_01105, Prad.g_01993	Syaf.g_02256
OG0000023	Prad.g_00751	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prad.g_01088, Prad.g_01249	Syaf.g_01484
OG0000025	Prad.g_01181, Prad.g_01660	Syaf.g_01385
OG0000026	Prad.g_01955, Prad.g_01004	Syaf.g_00461
OG0000027	Prad.g_01298, Prad.g_00353	Syaf.g_02284, Syaf.g_01688
OG0000028	Prad.g_01671, Prad.g_01204	Syaf.g_00297
OG0000029	Prad.g_00734, Prad.g_01096	Syaf.g_01761
OG0000032	Prad.g_00572	Syaf.g_02471
