Orthogroup	Prad	Syah
OG0000001	Prad.g_00609, Prad.g_01434, Prad.g_01994	Syah.g_00726
OG0000002	Prad.g_00601, Prad.g_01252	Syah.g_01829
OG0000004	Prad.g_01269	Syah.g_02017
OG0000004	Prad.g_01759	Syah.g_01967, Syah.g_00901
OG0000005	Prad.g_00928	Syah.g_02403
OG0000005	Prad.g_00438	Syah.g_02363
OG0000006	Prad.g_01750	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prad.g_00132	Syah.g_01016
OG0000007	Prad.g_00941	Syah.g_02384
OG0000009	Prad.g_00317, Prad.g_00401	Syah.g_02457
OG0000009	Prad.g_01888	Syah.g_01910, Syah.g_02535
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syah.g_01220
OG0000012	Prad.g_01412	Syah.g_02169, Syah.g_01340, Syah.g_01960
OG0000013	Prad.g_01664	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Prad.g_01685	Syah.g_00127
OG0000015	Prad.g_01108	Syah.g_01511, Syah.g_01510
OG0000016	Prad.g_01973	Syah.g_00359
OG0000017	Prad.g_01387	Syah.g_01152
OG0000018	Prad.g_01515, Prad.g_01173	Syah.g_01264
OG0000019	Prad.g_01742, Prad.g_01125	Syah.g_00669
OG0000022	Prad.g_01105, Prad.g_01993	Syah.g_01881
OG0000023	Prad.g_00751	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prad.g_01088, Prad.g_01249	Syah.g_01990
OG0000025	Prad.g_01181, Prad.g_01660	Syah.g_02082
OG0000026	Prad.g_01955, Prad.g_01004	Syah.g_00340
OG0000027	Prad.g_01298, Prad.g_00353	Syah.g_01541
OG0000028	Prad.g_01671, Prad.g_01204	Syah.g_00141
OG0000029	Prad.g_00734, Prad.g_01096	Syah.g_01292
OG0000032	Prad.g_00572	Syah.g_01246
OG0000033	Prad.g_01822	Syah.g_00078
OG0000034	Prad.g_00618	Syah.g_00048, Syah.g_02213
OG0000035	Prad.g_00515	Syah.g_01293
OG0000037	Prad.g_01884	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prad.g_01582	Syah.g_00508, Syah.g_00506
OG0000039	Prad.g_01260	Syah.g_02074
OG0000040	Prad.g_00369	Syah.g_01908
OG0000041	Prad.g_00894	Syah.g_02271
OG0000042	Prad.g_01624	Syah.g_00261
OG0000043	Prad.g_00313	Syah.g_01546
OG0000044	Prad.g_01213	Syah.g_01194
OG0000045	Prad.g_00738	Syah.g_01872
OG0000047	Prad.g_00683, Prad.g_01661	Syah.g_00847
