Orthogroup	Prad	Prac
OG0000000	Prad.g_00352	Prac.g_00159
OG0000000	Prad.g_01982	Prac.g_00277
OG0000000	Prad.g_00392	Prac.g_00292
OG0000000	Prad.g_00393	Prac.g_00926
OG0000000	Prad.g_01435	Prac.g_00926
OG0000000	Prad.g_00350	Prac.g_00290
OG0000001	Prad.g_00609	Prac.g_00202
OG0000001	Prad.g_01434, Prad.g_01994	Prac.g_00924
OG0000002	Prad.g_00601	Prac.g_00210
OG0000002	Prad.g_01252	Prac.g_00693
OG0000004	Prad.g_01269	Prac.g_00676
OG0000004	Prad.g_01759	Prac.g_01698
OG0000005	Prad.g_00928	Prac.g_00612
OG0000005	Prad.g_00438	Prac.g_00335
OG0000006	Prad.g_01750	Prac.g_01689
OG0000007	Prad.g_00132	Prac.g_00874
OG0000007	Prad.g_00941	Prac.g_00625
OG0000008	Prad.g_01246	Prac.g_00699
OG0000009	Prad.g_00401	Prac.g_00301
OG0000009	Prad.g_01888	Prac.g_01826
OG0000010	Prad.g_01304	Prac.g_01592
OG0000010	Prad.g_01011	Prac.g_01248
OG0000010	Prad.g_00033	Prac.g_01070
OG0000011	Prad.g_00339	Prac.g_00152
OG0000011	Prad.g_01212	Prac.g_00142
OG0000012	Prad.g_01412	Prac.g_00748
OG0000013	Prad.g_01664	Prac.g_01604
OG0000014	Prad.g_01685	Prac.g_01625
OG0000015	Prad.g_01108	Prac.g_00898
OG0000016	Prad.g_01973	Prac.g_01934
OG0000017	Prad.g_01387	Prac.g_00773
OG0000018	Prad.g_01515	Prac.g_01004
OG0000018	Prad.g_01173	Prac.g_01448
OG0000019	Prad.g_01742	Prac.g_01681
OG0000019	Prad.g_01125	Prac.g_01496
OG0000020	Prad.g_00647	Prac.g_01037
OG0000020	Prad.g_01299	Prac.g_00875, Prac.g_01598
OG0000021	Prad.g_00745	Prac.g_01169
OG0000022	Prad.g_01105	Prac.g_01510
OG0000022	Prad.g_01993	Prac.g_01022
OG0000023	Prad.g_00751	Prac.g_01174
OG0000024	Prad.g_01088	Prac.g_01525
OG0000024	Prad.g_01249	Prac.g_00696
OG0000025	Prad.g_01181	Prac.g_01441
OG0000025	Prad.g_01660	Prac.g_01600
OG0000026	Prad.g_01955	Prac.g_01916
OG0000026	Prad.g_01004	Prac.g_01241
OG0000028	Prad.g_01671	Prac.g_01611
OG0000028	Prad.g_01204	Prac.g_00145
OG0000029	Prad.g_00734	Prac.g_01158
OG0000032	Prad.g_00561	Prac.g_00242
OG0000033	Prad.g_01822	Prac.g_01761
OG0000034	Prad.g_00618	Prac.g_00185
OG0000035	Prad.g_00515	Prac.g_00411
OG0000037	Prad.g_01884	Prac.g_01822
OG0000038	Prad.g_01582	Prac.g_00090
OG0000039	Prad.g_01260	Prac.g_00685
OG0000040	Prad.g_00369	Prac.g_00279
OG0000040	Prad.g_01516	Prac.g_01005
OG0000041	Prad.g_00894	Prac.g_00579
OG0000042	Prad.g_01624	Prac.g_00048
OG0000043	Prad.g_00276	Prac.g_01405
OG0000045	Prad.g_00738	Prac.g_01162
OG0000047	Prad.g_00683	Prac.g_01127
OG0000047	Prad.g_01661	Prac.g_01601
OG0000048	Prad.g_00735	Prac.g_01159
OG0000049	Prad.g_00726	Prac.g_01149
OG0000049	Prad.g_01215	Prac.g_01954
OG0000049	Prad.g_00377	Prac.g_00880
OG0000050	Prad.g_00985	Prac.g_01220
OG0000053	Prad.g_00494	Prac.g_00391
OG0000054	Prad.g_01395	Prac.g_00765
OG0000055	Prad.g_01126	Prac.g_01495
OG0000057	Prad.g_01272	Prac.g_00673
OG0000058	Prad.g_00565	Prac.g_00258, Prac.g_00434
OG0000059	Prad.g_00855	Prac.g_00500
OG0000061	Prad.g_01496	Prac.g_00985
OG0000062	Prad.g_00436	Prac.g_00333
OG0000063	Prad.g_01953	Prac.g_01913, Prac.g_01914
OG0000063	Prad.g_00081	Prac.g_00908
OG0000065	Prad.g_01886	Prac.g_01824
OG0000066	Prad.g_00090	Prac.g_00833
OG0000068	Prad.g_00594	Prac.g_00217
OG0000069	Prad.g_00952	Prac.g_00890
OG0000069	Prad.g_00400	Prac.g_00300
OG0000070	Prad.g_00057	Prac.g_01097
OG0000071	Prad.g_00628	Prac.g_00175
OG0000072	Prad.g_01820	Prac.g_01759
OG0000073	Prad.g_00130	Prac.g_00872
OG0000074	Prad.g_01256	Prac.g_00689
OG0000075	Prad.g_00775	Prac.g_00017
OG0000076	Prad.g_01631	Prac.g_01904, Prac.g_00041
OG0000077	Prad.g_01915	Prac.g_01853
OG0000078	Prad.g_01752	Prac.g_01691
OG0000081	Prad.g_00098	Prac.g_00841
OG0000082	Prad.g_01374	Prac.g_00788
OG0000083	Prad.g_01082	Prac.g_01529
OG0000083	Prad.g_01075	Prac.g_01536
OG0000084	Prad.g_00519	Prac.g_00415
OG0000085	Prad.g_00948	Prac.g_00632
OG0000086	Prad.g_01905	Prac.g_01843
OG0000087	Prad.g_01854	Prac.g_01792
OG0000088	Prad.g_01825	Prac.g_01764
OG0000089	Prad.g_00755	Prac.g_01178
OG0000090	Prad.g_00096	Prac.g_00839
OG0000091	Prad.g_01431	Prac.g_00729
OG0000092	Prad.g_00240	Prac.g_01379
OG0000093	Prad.g_00218	Prac.g_01359
OG0000094	Prad.g_01038	Prac.g_01275
OG0000095	Prad.g_01018	Prac.g_01256
OG0000096	Prad.g_00650	Prac.g_01035
OG0000096	Prad.g_00330	Prac.g_00139
OG0000097	Prad.g_01454	Prac.g_00944
OG0000098	Prad.g_00612	Prac.g_00199
OG0000099	Prad.g_00566	Prac.g_00256
OG0000100	Prad.g_00440	Prac.g_00337
OG0000101	Prad.g_00807	Prac.g_00548
OG0000102	Prad.g_01626	Prac.g_00046
OG0000103	Prad.g_01548	Prac.g_00123
OG0000104	Prad.g_01540	Prac.g_00131
OG0000105	Prad.g_01717	Prac.g_01657
OG0000106	Prad.g_00739	Prac.g_01163
OG0000107	Prad.g_00724	Prac.g_01148
OG0000108	Prad.g_00027	Prac.g_01064
OG0000109	Prad.g_00013	Prac.g_01050
OG0000110	Prad.g_01364	Prac.g_00798
OG0000111	Prad.g_01273	Prac.g_00672
OG0000112	Prad.g_01109	Prac.g_01507
OG0000113	Prad.g_01168	Prac.g_01453
OG0000114	Prad.g_00245	Prac.g_01384
OG0000115	Prad.g_00641	Prac.g_01040
OG0000116	Prad.g_01506	Prac.g_00995
OG0000117	Prad.g_01214	Prac.g_01955
OG0000118	Prad.g_00616	Prac.g_00187
OG0000119	Prad.g_00598	Prac.g_00213
OG0000120	Prad.g_00564	Prac.g_00248
OG0000121	Prad.g_00513	Prac.g_00409
OG0000122	Prad.g_00474	Prac.g_00371
OG0000123	Prad.g_00800	Prac.g_00554
OG0000124	Prad.g_01616	Prac.g_00056
OG0000125	Prad.g_01580	Prac.g_00092
OG0000126	Prad.g_01541	Prac.g_00130
OG0000128	Prad.g_01975	Prac.g_01936
OG0000129	Prad.g_01943	Prac.g_01888
OG0000130	Prad.g_01924	Prac.g_01862
OG0000131	Prad.g_01846	Prac.g_01785
OG0000132	Prad.g_01827	Prac.g_01766
OG0000133	Prad.g_01669	Prac.g_01609
OG0000134	Prad.g_00754	Prac.g_01177
OG0000135	Prad.g_00727	Prac.g_01150
OG0000136	Prad.g_00066	Prac.g_01106
OG0000137	Prad.g_00032	Prac.g_01069
OG0000138	Prad.g_00012	Prac.g_01049
OG0000139	Prad.g_00092	Prac.g_00835
OG0000140	Prad.g_00091	Prac.g_00834
OG0000141	Prad.g_01396	Prac.g_00764
OG0000142	Prad.g_01424	Prac.g_00736
OG0000143	Prad.g_01428	Prac.g_00732
OG0000144	Prad.g_01226	Prac.g_00719
OG0000145	Prad.g_01107	Prac.g_01508
OG0000146	Prad.g_01110	Prac.g_01506
OG0000147	Prad.g_01111	Prac.g_01505
OG0000148	Prad.g_01162	Prac.g_01459
OG0000149	Prad.g_00301	Prac.g_01429
OG0000150	Prad.g_00293	Prac.g_01421
OG0000151	Prad.g_00235	Prac.g_01374
OG0000152	Prad.g_00186	Prac.g_01327
OG0000153	Prad.g_00167	Prac.g_01308
OG0000154	Prad.g_00139	Prac.g_01282
OG0000155	Prad.g_01476	Prac.g_00965
OG0000156	Prad.g_00359	Prac.g_00164
OG0000157	Prad.g_00360	Prac.g_00165
OG0000158	Prad.g_00567	Prac.g_00447
OG0000159	Prad.g_00563	Prac.g_00452, Prac.g_00257
OG0000160	Prad.g_00514	Prac.g_00410
OG0000161	Prad.g_00508	Prac.g_00404
OG0000162	Prad.g_00502	Prac.g_00398
OG0000163	Prad.g_00467	Prac.g_00364
OG0000164	Prad.g_00917	Prac.g_00601
OG0000165	Prad.g_00910	Prac.g_00594
OG0000166	Prad.g_00843	Prac.g_00512
OG0000167	Prad.g_00777	Prac.g_00015
OG0000168	Prad.g_00767	Prac.g_00025
OG0000169	Prad.g_01637	Prac.g_00035
OG0000170	Prad.g_01635	Prac.g_00037
OG0000171	Prad.g_01617	Prac.g_00055
OG0000172	Prad.g_01609	Prac.g_00063
OG0000173	Prad.g_01594	Prac.g_00078
OG0000174	Prad.g_01566	Prac.g_00105
OG0000175	Prad.g_01556	Prac.g_00115
OG0000176	Prad.g_01532	Prac.g_01943
OG0000177	Prad.g_01531	Prac.g_01942
OG0000178	Prad.g_01530	Prac.g_01941
OG0000179	Prad.g_01970	Prac.g_01931
OG0000180	Prad.g_01969	Prac.g_01930
OG0000181	Prad.g_01968	Prac.g_01929
OG0000182	Prad.g_01967	Prac.g_01928
OG0000183	Prad.g_01963	Prac.g_01924
OG0000184	Prad.g_01940	Prac.g_01885
OG0000185	Prad.g_01937	Prac.g_01882
OG0000186	Prad.g_01929	Prac.g_01867
OG0000187	Prad.g_01928	Prac.g_01866
OG0000188	Prad.g_01911	Prac.g_01849
OG0000189	Prad.g_01897	Prac.g_01835
OG0000190	Prad.g_01896	Prac.g_01834
OG0000191	Prad.g_01876	Prac.g_01814
OG0000192	Prad.g_01872	Prac.g_01810
OG0000193	Prad.g_01845	Prac.g_01784
OG0000194	Prad.g_01842	Prac.g_01781
OG0000195	Prad.g_01840	Prac.g_01779
OG0000196	Prad.g_01830	Prac.g_01769
OG0000197	Prad.g_01829	Prac.g_01768
OG0000198	Prad.g_01828	Prac.g_01767
OG0000199	Prad.g_01821	Prac.g_01760
OG0000200	Prad.g_01807	Prac.g_01746
OG0000201	Prad.g_01799	Prac.g_01738
OG0000202	Prad.g_01798	Prac.g_01737
