Orthogroup	Prad	Syag
OG0000001	Prad.g_00609, Prad.g_01434, Prad.g_01994	Syag.g_00575
OG0000004	Prad.g_01269	Syag.g_00988
OG0000004	Prad.g_01759	Syag.g_00370, Syag.g_01790
OG0000005	Prad.g_00928	Syag.g_01708
OG0000005	Prad.g_00438	Syag.g_01667
OG0000006	Prad.g_01750	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prad.g_00132	Syag.g_01507
OG0000007	Prad.g_00941	Syag.g_01687
OG0000009	Prad.g_00317, Prad.g_00401	Syag.g_00220, Syag.g_00231
OG0000009	Prad.g_01888	Syag.g_01883
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syag.g_01355
OG0000011	Prad.g_01218, Prad.g_00339, Prad.g_01212	Syag.g_01299
OG0000012	Prad.g_01412	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Prad.g_01664	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prad.g_01685	Syag.g_02559
OG0000015	Prad.g_01108	Syag.g_00596
OG0000016	Prad.g_01973	Syag.g_02286
OG0000017	Prad.g_01387	Syag.g_00336
OG0000018	Prad.g_01515, Prad.g_01173	Syag.g_01387
OG0000019	Prad.g_01742, Prad.g_01125	Syag.g_02663
OG0000020	Prad.g_00647, Prad.g_01299	Syag.g_00085
OG0000022	Prad.g_01105, Prad.g_01993	Syag.g_00458
OG0000023	Prad.g_00751	Syag.g_00261, Syag.g_00234
OG0000024	Prad.g_01088, Prad.g_01249	Syag.g_00455
OG0000025	Prad.g_01181, Prad.g_01660	Syag.g_00718
OG0000026	Prad.g_01955, Prad.g_01004	Syag.g_02309
OG0000027	Prad.g_01298, Prad.g_00353	Syag.g_00950, Syag.g_00165
OG0000028	Prad.g_01671, Prad.g_01204	Syag.g_02540
OG0000029	Prad.g_00734, Prad.g_01096	Syag.g_00195
OG0000032	Prad.g_00572	Syag.g_01366
OG0000032	Prad.g_00561	Syag.g_02480
OG0000033	Prad.g_01822	Syag.g_01978
OG0000034	Prad.g_00618	Syag.g_01225, Syag.g_01947
OG0000035	Prad.g_00515	Syag.g_01420
OG0000037	Prad.g_01884	Syag.g_00173
OG0000038	Prad.g_01582	Syag.g_02130, Syag.g_02132
OG0000039	Prad.g_01260	Syag.g_01325, Syag.g_02155
OG0000041	Prad.g_00894	Syag.g_01750
OG0000042	Prad.g_01624	Syag.g_01094, Syag.g_02378
OG0000043	Prad.g_00276	Syag.g_00564
OG0000045	Prad.g_00738	Syag.g_00223
OG0000047	Prad.g_00683, Prad.g_01661	Syag.g_00768
OG0000048	Prad.g_00735	Syag.g_02611
OG0000051	Prad.g_00342	Syag.g_01026
OG0000053	Prad.g_00494	Syag.g_01391
OG0000054	Prad.g_01395	Syag.g_00350
OG0000055	Prad.g_01126	Syag.g_00946
OG0000057	Prad.g_01272	Syag.g_00985
OG0000058	Prad.g_00565	Syag.g_02477
OG0000059	Prad.g_00855	Syag.g_02721
OG0000061	Prad.g_01496	Syag.g_01141
OG0000063	Prad.g_01953, Prad.g_00081	Syag.g_02313
OG0000065	Prad.g_01886	Syag.g_00182, Syag.g_01885
OG0000066	Prad.g_00090	Syag.g_01443
OG0000067	Prad.g_01146	Syag.g_00667
OG0000068	Prad.g_00594	Syag.g_01537
OG0000070	Prad.g_00057	Syag.g_00049
OG0000071	Prad.g_00628	Syag.g_01192
OG0000072	Prad.g_01820	Syag.g_01980, Syag.g_02859
OG0000073	Prad.g_00130	Syag.g_01505
OG0000075	Prad.g_00775	Syag.g_02434
OG0000076	Prad.g_01631	Syag.g_02393
OG0000077	Prad.g_01915	Syag.g_01831
OG0000078	Prad.g_01752	Syag.g_01778
OG0000079	Prad.g_01739	Syag.g_02659, Syag.g_02652
OG0000080	Prad.g_00560	Syag.g_02499
OG0000082	Prad.g_01374	Syag.g_00318
OG0000084	Prad.g_00519	Syag.g_01425
OG0000085	Prad.g_00948	Syag.g_01676
OG0000086	Prad.g_01905	Syag.g_01853
OG0000087	Prad.g_01854	Syag.g_01939
OG0000088	Prad.g_01825	Syag.g_01974
OG0000089	Prad.g_00755	Syag.g_00005
OG0000090	Prad.g_00096	Syag.g_01454
OG0000091	Prad.g_01431	Syag.g_00418
OG0000092	Prad.g_00240	Syag.g_00242
OG0000094	Prad.g_01038	Syag.g_00881
OG0000097	Prad.g_01454	Syag.g_01065
OG0000098	Prad.g_00612	Syag.g_00578
OG0000099	Prad.g_00566	Syag.g_02536
OG0000100	Prad.g_00440	Syag.g_00704
OG0000101	Prad.g_00807	Syag.g_02773
OG0000102	Prad.g_01626	Syag.g_02387
OG0000103	Prad.g_01548	Syag.g_02253
OG0000104	Prad.g_01540	Syag.g_02268
OG0000105	Prad.g_01717	Syag.g_02606
OG0000106	Prad.g_00739	Syag.g_00462
OG0000108	Prad.g_00027	Syag.g_01528
OG0000109	Prad.g_00013	Syag.g_01512
OG0000110	Prad.g_01364	Syag.g_00303
OG0000111	Prad.g_01273	Syag.g_00984
OG0000112	Prad.g_01109	Syag.g_00801
OG0000113	Prad.g_01168	Syag.g_00699
OG0000114	Prad.g_00245	Syag.g_00609
OG0000115	Prad.g_00641	Syag.g_01397
OG0000116	Prad.g_01506	Syag.g_01156
OG0000117	Prad.g_01214	Syag.g_01097
OG0000118	Prad.g_00616	Syag.g_01232
OG0000120	Prad.g_00564	Syag.g_02535
OG0000121	Prad.g_00513	Syag.g_01414
OG0000122	Prad.g_00474	Syag.g_00446
OG0000123	Prad.g_00800	Syag.g_02781
OG0000124	Prad.g_01616	Syag.g_02367
OG0000125	Prad.g_01580	Syag.g_02136, Syag.g_02134
OG0000126	Prad.g_01541	Syag.g_02266
OG0000128	Prad.g_01975	Syag.g_02284
OG0000129	Prad.g_01943	Syag.g_02121
OG0000130	Prad.g_01924	Syag.g_01819
OG0000131	Prad.g_01846	Syag.g_01951
OG0000132	Prad.g_01827	Syag.g_01972
OG0000133	Prad.g_01669	Syag.g_00806
OG0000134	Prad.g_00754	Syag.g_00008
OG0000135	Prad.g_00727	Syag.g_02171
