Orthogroup	Syab	Praw
OG0000000	Syab.g_01226	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praw.g_01000
OG0000002	Syab.g_02285	Praw.g_01009, Praw.g_01844
OG0000004	Syab.g_00549, Syab.g_01193	Praw.g_01827
OG0000004	Syab.g_01911, Syab.g_02377	Praw.g_01203
OG0000005	Syab.g_02289	Praw.g_00528
OG0000005	Syab.g_02806, Syab.g_02232	Praw.g_00413
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Praw.g_01950
OG0000007	Syab.g_02117	Praw.g_00651
OG0000007	Syab.g_02256	Praw.g_00515
OG0000008	Syab.g_01755	Praw.g_00501
OG0000008	Syab.g_01168	Praw.g_00502
OG0000009	Syab.g_00995	Praw.g_00447
OG0000009	Syab.g_02498	Praw.g_01330
OG0000010	Syab.g_00696	Praw.g_01460
OG0000012	Syab.g_01774, Syab.g_00953	Praw.g_00159
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Praw.g_00807
OG0000014	Syab.g_00249	Praw.g_00828
OG0000015	Syab.g_02889	Praw.g_01738
OG0000016	Syab.g_01049	Praw.g_01415
OG0000017	Syab.g_01953, Syab.g_01945	Praw.g_01944
OG0000018	Syab.g_00742	Praw.g_00215
OG0000019	Syab.g_00344	Praw.g_00884, Praw.g_01717
OG0000020	Syab.g_02230	Praw.g_00181, Praw.g_00483
OG0000022	Syab.g_01825	Praw.g_00197
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Praw.g_00772
OG0000024	Syab.g_01834	Praw.g_01763, Praw.g_01847
OG0000025	Syab.g_01705	Praw.g_00803, Praw.g_01664
OG0000026	Syab.g_00036	Praw.g_01453
OG0000027	Syab.g_01782	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syab.g_00234	Praw.g_00334, Praw.g_00814
OG0000030	Syab.g_00096, Syab.g_00095	Praw.g_00029
OG0000032	Syab.g_00149, Syab.g_00182	Praw.g_01043
OG0000034	Syab.g_00900, Syab.g_02560	Praw.g_00991
OG0000035	Syab.g_00776, Syab.g_00778	Praw.g_01081, Praw.g_01083
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Praw.g_01326
OG0000038	Syab.g_02759, Syab.g_02761	Praw.g_01182
OG0000039	Syab.g_02791	Praw.g_01836
OG0000040	Syab.g_02853	Praw.g_00214
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Praw.g_00562
OG0000042	Syab.g_01019, Syab.g_00099	Praw.g_00032
OG0000045	Syab.g_01787	Praw.g_00761
OG0000047	Syab.g_00876	Praw.g_00804
OG0000048	Syab.g_00308	Praw.g_00504, Praw.g_00758
OG0000053	Syab.g_00746	Praw.g_00357
OG0000054	Syab.g_01932	Praw.g_00142
OG0000055	Syab.g_01255	Praw.g_01716
OG0000057	Syab.g_01200	Praw.g_01824
OG0000059	Syab.g_00397	Praw.g_01894
OG0000060	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707	Praw.g_01743
OG0000061	Syab.g_00969	Praw.g_00234
OG0000062	Syab.g_02234	Praw.g_00415
OG0000063	Syab.g_00040	Praw.g_01395
OG0000065	Syab.g_02500, Syab.g_01768	Praw.g_01328
OG0000066	Syab.g_01516, Syab.g_02031	Praw.g_00609
OG0000067	Syab.g_01659	Praw.g_01697
OG0000068	Syab.g_02087	Praw.g_01016
OG0000070	Syab.g_00614	Praw.g_00697
OG0000071	Syab.g_00915	Praw.g_00981
OG0000072	Syab.g_02593	Praw.g_01264
OG0000073	Syab.g_02119	Praw.g_00649
OG0000075	Syab.g_00202	Praw.g_00064
OG0000076	Syab.g_00113	Praw.g_00039
OG0000077	Syab.g_02446	Praw.g_01356
OG0000078	Syab.g_02366	Praw.g_01196
OG0000081	Syab.g_01793	Praw.g_00617
OG0000082	Syab.g_01971	Praw.g_01932
OG0000084	Syab.g_00781	Praw.g_01087
OG0000085	Syab.g_02243	Praw.g_00508
OG0000086	Syab.g_02468	Praw.g_01346
OG0000087	Syab.g_02551	Praw.g_01296
OG0000088	Syab.g_02586	Praw.g_01269
OG0000089	Syab.g_00551	Praw.g_00776
OG0000090	Syab.g_02041	Praw.g_00615
OG0000091	Syab.g_01866	Praw.g_01880
OG0000093	Syab.g_01582	Praw.g_01571
OG0000094	Syab.g_01306	Praw.g_01486
