Orthogroup	Syab	Praa
OG0000000	Syab.g_01226	Praa.g_01300
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praa.g_01351
OG0000002	Syab.g_02285	Praa.g_01359, Praa.g_00678
OG0000004	Syab.g_00549, Syab.g_01193	Praa.g_00695
OG0000004	Syab.g_01911, Syab.g_02377	Praa.g_00232
OG0000005	Syab.g_02289	Praa.g_01648
OG0000005	Syab.g_02806, Syab.g_02232	Praa.g_01553
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Praa.g_00241, Praa.g_01245
OG0000007	Syab.g_02117	Praa.g_00497
OG0000007	Syab.g_02256	Praa.g_01635
OG0000008	Syab.g_01755	Praa.g_01241
OG0000009	Syab.g_00995	Praa.g_01264, Praa.g_01589
OG0000009	Syab.g_02498	Praa.g_00105
OG0000010	Syab.g_00696	Praa.g_01047
OG0000011	Syab.g_01491	Praa.g_01626
OG0000012	Syab.g_01774, Syab.g_00953	Praa.g_00623
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Praa.g_00327
OG0000014	Syab.g_00249	Praa.g_00306
OG0000014	Syab.g_00178	Praa.g_01409
OG0000015	Syab.g_02889	Praa.g_00765
OG0000016	Syab.g_00014	Praa.g_00013
OG0000017	Syab.g_01953, Syab.g_01945	Praa.g_00598
OG0000018	Syab.g_00742	Praa.g_01141
OG0000019	Syab.g_00344	Praa.g_00249, Praa.g_00782
OG0000020	Syab.g_02230	Praa.g_01107
OG0000022	Syab.g_01825	Praa.g_01124
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Praa.g_00359
OG0000024	Syab.g_01834	Praa.g_00747, Praa.g_00675
OG0000025	Syab.g_01705	Praa.g_00331, Praa.g_00839
OG0000026	Syab.g_00036	Praa.g_01054
OG0000027	Syab.g_01782	Praa.g_00470, Praa.g_01301
OG0000028	Syab.g_00234	Praa.g_01248, Praa.g_00320
OG0000030	Syab.g_00096, Syab.g_00095	Praa.g_01842
OG0000033	Syab.g_02590	Praa.g_01437
OG0000034	Syab.g_00900, Syab.g_02560	Praa.g_01328
OG0000035	Syab.g_00776, Syab.g_00778	Praa.g_01476
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Praa.g_00109
OG0000038	Syab.g_02759, Syab.g_02761	Praa.g_01883
OG0000039	Syab.g_02791	Praa.g_00686
OG0000040	Syab.g_02853	Praa.g_01140
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Praa.g_01683
OG0000042	Syab.g_01019, Syab.g_00099	Praa.g_01839
OG0000043	Syab.g_02802	Praa.g_01259
OG0000045	Syab.g_01787	Praa.g_00370
OG0000047	Syab.g_00876	Praa.g_00330
OG0000048	Syab.g_00308	Praa.g_00373
OG0000053	Syab.g_00746	Praa.g_01496
OG0000054	Syab.g_01932	Praa.g_00606
OG0000055	Syab.g_01255	Praa.g_00783
