Orthogroup	Syab	Syaf
OG0000001	Syab.g_02553, Syab.g_02555	Syaf.g_00845
OG0000001	Syab.g_01509, Syab.g_01510	Syaf.g_01634
OG0000004	Syab.g_00549, Syab.g_01193	Syaf.g_01455
OG0000004	Syab.g_01911	Syaf.g_02351
OG0000004	Syab.g_02377	Syaf.g_02794
OG0000005	Syab.g_02289	Syaf.g_01017
OG0000005	Syab.g_02232	Syaf.g_01057
OG0000005	Syab.g_00981	Syaf.g_01352, Syaf.g_01732
OG0000006	Syab.g_01849	Syaf.g_02288
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syaf.g_00179, Syaf.g_02778
OG0000007	Syab.g_02117	Syaf.g_02702
OG0000007	Syab.g_02256	Syaf.g_01033
OG0000008	Syab.g_01755	Syaf.g_01479
OG0000008	Syab.g_01168	Syaf.g_01480
OG0000009	Syab.g_02498	Syaf.g_00905
OG0000010	Syab.g_00696	Syaf.g_02499
OG0000011	Syab.g_01491, Syab.g_01083	Syaf.g_01483
OG0000012	Syab.g_01774, Syab.g_00953	Syaf.g_01693
OG0000013	Syab.g_00487	Syaf.g_00056
OG0000013	Syab.g_00497	Syaf.g_00044
OG0000013	Syab.g_00482	Syaf.g_00061
OG0000014	Syab.g_00249	Syaf.g_00280
OG0000016	Syab.g_00014	Syaf.g_00484
OG0000016	Syab.g_01049	Syaf.g_01576
OG0000017	Syab.g_01953	Syaf.g_02561
OG0000017	Syab.g_01945	Syaf.g_02554
OG0000018	Syab.g_00742	Syaf.g_02451
OG0000019	Syab.g_00344	Syaf.g_00193
OG0000020	Syab.g_02230	Syaf.g_02187
OG0000022	Syab.g_01825	Syaf.g_02256
OG0000023	Syab.g_00708	Syaf.g_01765, Syaf.g_01987
OG0000023	Syab.g_02058, Syab.g_01294	Syaf.g_01995
OG0000024	Syab.g_01834	Syaf.g_01484
OG0000025	Syab.g_01705	Syaf.g_01385
OG0000026	Syab.g_00036	Syaf.g_00461
OG0000027	Syab.g_01782	Syaf.g_01688
OG0000028	Syab.g_00234	Syaf.g_00297
OG0000030	Syab.g_00096	Syaf.g_00406
OG0000030	Syab.g_00095	Syaf.g_00407
OG0000031	Syab.g_00160	Syaf.g_00314
OG0000032	Syab.g_00724	Syaf.g_02471
OG0000033	Syab.g_02590	Syaf.g_00807
OG0000034	Syab.g_00900, Syab.g_02560	Syaf.g_01241, Syaf.g_00837
OG0000035	Syab.g_00776, Syab.g_00778	Syaf.g_02412
OG0000036	Syab.g_02412	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828
OG0000036	Syab.g_01247	Syaf.g_01127
OG0000038	Syab.g_02759	Syaf.g_00642
OG0000040	Syab.g_02853	Syaf.g_00558
OG0000042	Syab.g_01019, Syab.g_00099	Syaf.g_00403
OG0000043	Syab.g_01785	Syaf.g_01747
OG0000044	Syab.g_01262	Syaf.g_01358, Syaf.g_01992
OG0000044	Syab.g_01256	Syaf.g_01400
OG0000045	Syab.g_01787	Syaf.g_00979
OG0000046	Syab.g_00488	Syaf.g_00055
OG0000046	Syab.g_00496	Syaf.g_00045
OG0000046	Syab.g_00481	Syaf.g_00062
OG0000047	Syab.g_00876	Syaf.g_00030
OG0000048	Syab.g_00308	Syaf.g_00230
OG0000051	Syab.g_01073	Syaf.g_00972
OG0000052	Syab.g_00214	Syaf.g_00335
OG0000053	Syab.g_00746	Syaf.g_02447
OG0000055	Syab.g_01255	Syaf.g_01402
OG0000057	Syab.g_01200	Syaf.g_01665
OG0000058	Syab.g_00227	Syaf.g_00316
OG0000059	Syab.g_00397	Syaf.g_00143
OG0000060	Syab.g_00662	Syaf.g_02515
OG0000060	Syab.g_02094	Syaf.g_02726
OG0000060	Syab.g_01222	Syaf.g_01425
OG0000061	Syab.g_00969	Syaf.g_01288
OG0000062	Syab.g_02234	Syaf.g_01055
OG0000063	Syab.g_00040	Syaf.g_00457
OG0000064	Syab.g_00824	Syaf.g_01063
OG0000064	Syab.g_01783	Syaf.g_02253
OG0000064	Syab.g_00997	Syaf.g_01667
OG0000066	Syab.g_01516	Syaf.g_02643
OG0000067	Syab.g_01659	Syaf.g_02049
OG0000068	Syab.g_02087	Syaf.g_02733
OG0000070	Syab.g_00614	Syaf.g_01237
OG0000071	Syab.g_00915	Syaf.g_01254
OG0000072	Syab.g_02593	Syaf.g_00805
OG0000073	Syab.g_02119	Syaf.g_02700
OG0000075	Syab.g_00202	Syaf.g_00353
OG0000076	Syab.g_00113	Syaf.g_00388
OG0000078	Syab.g_02366	Syaf.g_02782
OG0000079	Syab.g_00340	Syaf.g_00197
OG0000081	Syab.g_01793	Syaf.g_02776
OG0000082	Syab.g_01971	Syaf.g_02576
OG0000084	Syab.g_00781	Syaf.g_02409
OG0000085	Syab.g_02243	Syaf.g_01048
OG0000086	Syab.g_02468	Syaf.g_00932
OG0000087	Syab.g_02551	Syaf.g_00848
OG0000088	Syab.g_02586	Syaf.g_00811
OG0000089	Syab.g_00551	Syaf.g_02807
OG0000090	Syab.g_02041	Syaf.g_02654
OG0000091	Syab.g_01866	Syaf.g_02302
OG0000093	Syab.g_01090	Syaf.g_01775
OG0000093	Syab.g_01582	Syaf.g_02065
OG0000094	Syab.g_01306	Syaf.g_01940
OG0000095	Syab.g_01210	Syaf.g_01442
OG0000097	Syab.g_01051	Syaf.g_01574
OG0000098	Syab.g_01553	Syaf.g_01637
OG0000099	Syab.g_00230	Syaf.g_00312
OG0000100	Syab.g_01694	Syaf.g_02017
OG0000101	Syab.g_00446	Syaf.g_00093
OG0000102	Syab.g_00104	Syaf.g_00393
OG0000103	Syab.g_02895	Syaf.g_00520
OG0000104	Syab.g_02910	Syaf.g_00502
OG0000105	Syab.g_00303	Syaf.g_00235
OG0000106	Syab.g_01817	Syaf.g_01745
OG0000107	Syab.g_00367	Syaf.g_00758
OG0000108	Syab.g_02096	Syaf.g_02721
OG0000109	Syab.g_02112	Syaf.g_02706
OG0000110	Syab.g_01984	Syaf.g_02589
OG0000111	Syab.g_01201	Syaf.g_01451
OG0000112	Syab.g_01392	Syaf.g_01852
OG0000113	Syab.g_01689	Syaf.g_02022
OG0000114	Syab.g_02656	Syaf.g_02103
OG0000115	Syab.g_00748	Syaf.g_02445
OG0000116	Syab.g_00945	Syaf.g_01276
OG0000117	Syab.g_01018	Syaf.g_01605
OG0000118	Syab.g_00897	Syaf.g_02544
OG0000120	Syab.g_00229	Syaf.g_00313
OG0000121	Syab.g_00772	Syaf.g_02419
OG0000123	Syab.g_00454	Syaf.g_00086
OG0000124	Syab.g_00088	Syaf.g_00414
OG0000125	Syab.g_02763	Syaf.g_00640
OG0000126	Syab.g_02908	Syaf.g_00504
OG0000128	Syab.g_00012	Syaf.g_00486
OG0000129	Syab.g_02749	Syaf.g_00651
OG0000130	Syab.g_02434	Syaf.g_00963
OG0000131	Syab.g_02564	Syaf.g_00833
OG0000132	Syab.g_02584	Syaf.g_00813
OG0000133	Syab.g_01387	Syaf.g_01857
OG0000134	Syab.g_00554	Syaf.g_02804
OG0000135	Syab.g_02815	Syaf.g_00605
OG0000136	Syab.g_00588	Syaf.g_01224
OG0000137	Syab.g_00697	Syaf.g_02498
OG0000138	Syab.g_02113	Syaf.g_02705
OG0000139	Syab.g_02035	Syaf.g_02648
OG0000140	Syab.g_02033	Syaf.g_02646
OG0000141	Syab.g_01931	Syaf.g_02375
OG0000142	Syab.g_01873	Syaf.g_02310
OG0000143	Syab.g_01870	Syaf.g_02306
OG0000144	Syab.g_01757	Syaf.g_01735
OG0000145	Syab.g_02120	Syaf.g_02699
OG0000146	Syab.g_01393	Syaf.g_01851
OG0000147	Syab.g_01394	Syaf.g_01850
OG0000148	Syab.g_01682	Syaf.g_02028
OG0000149	Syab.g_01720	Syaf.g_01371
OG0000150	Syab.g_01930	Syaf.g_02645
OG0000151	Syab.g_01612	Syaf.g_02091
OG0000152	Syab.g_01383	Syaf.g_01861
OG0000153	Syab.g_01343	Syaf.g_01904
OG0000154	Syab.g_01317	Syaf.g_01930
OG0000155	Syab.g_01009	Syaf.g_01324
OG0000156	Syab.g_00933	Syaf.g_01270
OG0000157	Syab.g_00932	Syaf.g_01269
OG0000158	Syab.g_00161	Syaf.g_00364
OG0000159	Syab.g_00148	Syaf.g_00311
OG0000160	Syab.g_00774	Syaf.g_02418
OG0000161	Syab.g_00766	Syaf.g_02424
OG0000162	Syab.g_00755	Syaf.g_02431
