Orthogroup	Syab	Syae
OG0000001	Syab.g_02553, Syab.g_02555	Syae.g_01417
OG0000001	Syab.g_01509, Syab.g_01510	Syae.g_02055
OG0000004	Syab.g_00549, Syab.g_01193	Syae.g_00779
OG0000004	Syab.g_01911	Syae.g_00042
OG0000004	Syab.g_02377	Syae.g_02231
OG0000005	Syab.g_02289	Syae.g_01179
OG0000005	Syab.g_02232	Syae.g_01143
OG0000005	Syab.g_00981	Syae.g_00257
OG0000006	Syab.g_01849	Syae.g_00096
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syae.g_02030, Syae.g_02248
OG0000007	Syab.g_02117	Syae.g_02328
OG0000007	Syab.g_02256	Syae.g_01163
OG0000008	Syab.g_01755	Syae.g_00753
OG0000008	Syab.g_01168	Syae.g_00752
OG0000009	Syab.g_00995	Syae.g_00561, Syae.g_00171
OG0000009	Syab.g_02498	Syae.g_00100, Syae.g_01361
OG0000010	Syab.g_00696	Syae.g_02529
OG0000011	Syab.g_01491, Syab.g_01083	Syae.g_00750
OG0000012	Syab.g_01774	Syae.g_02397
OG0000012	Syab.g_00953	Syae.g_02562
OG0000013	Syab.g_00487	Syae.g_02160
OG0000013	Syab.g_00497	Syae.g_02169
OG0000013	Syab.g_00482	Syae.g_02155
OG0000014	Syab.g_00249	Syae.g_01930
OG0000014	Syab.g_00178	Syae.g_01850
OG0000015	Syab.g_02889	Syae.g_01693
OG0000016	Syab.g_00014	Syae.g_01726
OG0000016	Syab.g_01049	Syae.g_00681
OG0000017	Syab.g_01953	Syae.g_02462
OG0000017	Syab.g_01945	Syae.g_02469
OG0000018	Syab.g_00742	Syae.g_02625
OG0000019	Syab.g_00344	Syae.g_02015
OG0000022	Syab.g_01825	Syae.g_00144
OG0000023	Syab.g_00708	Syae.g_00439
OG0000023	Syab.g_02058, Syab.g_01294	Syae.g_00930
OG0000025	Syab.g_01705	Syae.g_00833
OG0000026	Syab.g_00036	Syae.g_01748
OG0000027	Syab.g_01782	Syae.g_00814
OG0000028	Syab.g_00234	Syae.g_01916
OG0000030	Syab.g_00096	Syae.g_01817
OG0000030	Syab.g_00095	Syae.g_01816
OG0000031	Syab.g_00160	Syae.g_01911
OG0000032	Syab.g_00724	Syae.g_02607
OG0000033	Syab.g_02590	Syae.g_01453
OG0000034	Syab.g_00900, Syab.g_02560	Syae.g_00975, Syae.g_01424
OG0000035	Syab.g_00776, Syab.g_00778	Syae.g_02653
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205	Syae.g_01367
OG0000038	Syab.g_02759	Syae.g_01571
OG0000039	Syab.g_02791	Syae.g_02495
OG0000040	Syab.g_02853	Syae.g_01653
OG0000042	Syab.g_01019, Syab.g_00099	Syae.g_01821
OG0000043	Syab.g_01785	Syae.g_00117
OG0000044	Syab.g_01262, Syab.g_01256	Syae.g_00098
OG0000044	Syab.g_01097	Syae.g_01067
OG0000045	Syab.g_00871	Syae.g_00732
OG0000046	Syab.g_00488	Syae.g_02161
OG0000046	Syab.g_00496	Syae.g_02168
OG0000046	Syab.g_00481	Syae.g_02154
OG0000047	Syab.g_00876	Syae.g_02184
OG0000048	Syab.g_00308	Syae.g_01982
OG0000052	Syab.g_00214	Syae.g_01886
OG0000053	Syab.g_00746	Syae.g_02629
OG0000055	Syab.g_01255	Syae.g_00817
OG0000057	Syab.g_01200	Syae.g_00782
OG0000058	Syab.g_00227	Syae.g_01905, Syae.g_01227
OG0000059	Syab.g_00397	Syae.g_02074
OG0000060	Syab.g_00662	Syae.g_02514
OG0000060	Syab.g_02094	Syae.g_02306
OG0000061	Syab.g_00969	Syae.g_00921
OG0000062	Syab.g_02234	Syae.g_01145
OG0000063	Syab.g_00040	Syae.g_01752
OG0000064	Syab.g_00824	Syae.g_01137
OG0000064	Syab.g_02808	Syae.g_00012
OG0000064	Syab.g_01783	Syae.g_01631
OG0000064	Syab.g_00997	Syae.g_00194
OG0000065	Syab.g_01768	Syae.g_00722
OG0000066	Syab.g_01516	Syae.g_02386
OG0000067	Syab.g_01659	Syae.g_00521
OG0000068	Syab.g_02087	Syae.g_02299
OG0000070	Syab.g_00614	Syae.g_00979
OG0000071	Syab.g_00915	Syae.g_00961
OG0000072	Syab.g_02593	Syae.g_01455
OG0000073	Syab.g_02119	Syae.g_02330
OG0000075	Syab.g_00202	Syae.g_01871
OG0000076	Syab.g_00113	Syae.g_01829
OG0000078	Syab.g_02366	Syae.g_02243
OG0000079	Syab.g_00340	Syae.g_02011
OG0000081	Syab.g_01793	Syae.g_02261
OG0000082	Syab.g_01971	Syae.g_02447
OG0000084	Syab.g_00781	Syae.g_00857, Syae.g_02656
OG0000085	Syab.g_02243	Syae.g_01152
OG0000086	Syab.g_02468	Syae.g_01333
OG0000087	Syab.g_02551	Syae.g_01414
OG0000088	Syab.g_02586	Syae.g_01449
OG0000089	Syab.g_00551	Syae.g_02219
OG0000090	Syab.g_02041	Syae.g_02374
OG0000091	Syab.g_01866	Syae.g_00082
OG0000092	Syab.g_01242, Syab.g_00690	Syae.g_00884
OG0000093	Syab.g_01582	Syae.g_00537
OG0000094	Syab.g_01306	Syae.g_00430
OG0000095	Syab.g_01210	Syae.g_00793
OG0000097	Syab.g_01051	Syae.g_00683
OG0000099	Syab.g_00230	Syae.g_01913
OG0000100	Syab.g_01694	Syae.g_00489
OG0000101	Syab.g_00446	Syae.g_02125
OG0000102	Syab.g_00104	Syae.g_01824
OG0000103	Syab.g_02895	Syae.g_01694
OG0000104	Syab.g_02910	Syae.g_01708
OG0000105	Syab.g_00303	Syae.g_01977
OG0000106	Syab.g_01817	Syae.g_00272
OG0000107	Syab.g_00367	Syae.g_02032
OG0000108	Syab.g_02096	Syae.g_02309
OG0000109	Syab.g_02112	Syae.g_02324
OG0000110	Syab.g_01984	Syae.g_02435
OG0000111	Syab.g_01201	Syae.g_00783
OG0000112	Syab.g_01392	Syae.g_00351
OG0000113	Syab.g_01689	Syae.g_00494
OG0000114	Syab.g_02656	Syae.g_00575
OG0000115	Syab.g_00748	Syae.g_02631
OG0000116	Syab.g_00945	Syae.g_00939
OG0000117	Syab.g_01018	Syae.g_00647
OG0000118	Syab.g_00897	Syae.g_02479
OG0000120	Syab.g_00229	Syae.g_01912
OG0000121	Syab.g_00772	Syae.g_02649
OG0000122	Syab.g_01839	Syae.g_00112
OG0000123	Syab.g_00454	Syae.g_02131
OG0000124	Syab.g_00088	Syae.g_01809
OG0000125	Syab.g_02763	Syae.g_01573
OG0000126	Syab.g_02908	Syae.g_01706
OG0000128	Syab.g_00012	Syae.g_01724
OG0000129	Syab.g_02749	Syae.g_01562
OG0000130	Syab.g_02434	Syae.g_01284
OG0000131	Syab.g_02564	Syae.g_01428
OG0000132	Syab.g_02584	Syae.g_01447
OG0000133	Syab.g_01387	Syae.g_00356
OG0000134	Syab.g_00554	Syae.g_02222
OG0000135	Syab.g_02815	Syae.g_01608
OG0000136	Syab.g_00588	Syae.g_00989
OG0000137	Syab.g_00697	Syae.g_02530
OG0000138	Syab.g_02113	Syae.g_02325
OG0000139	Syab.g_02035	Syae.g_02380
OG0000140	Syab.g_02033	Syae.g_02383
OG0000141	Syab.g_01931	Syae.g_00016
OG0000142	Syab.g_01873	Syae.g_00074
OG0000143	Syab.g_01870	Syae.g_00078
OG0000144	Syab.g_01757	Syae.g_00261
OG0000145	Syab.g_02120	Syae.g_02331
OG0000146	Syab.g_01393	Syae.g_00350
OG0000147	Syab.g_01394	Syae.g_00349
OG0000148	Syab.g_01682	Syae.g_00500
OG0000149	Syab.g_01720	Syae.g_00847
OG0000150	Syab.g_01930	Syae.g_00017
OG0000151	Syab.g_01612	Syae.g_00563
OG0000152	Syab.g_01383	Syae.g_00360
OG0000153	Syab.g_01343	Syae.g_00394
OG0000154	Syab.g_01317	Syae.g_00420
OG0000155	Syab.g_01009	Syae.g_00885
OG0000156	Syab.g_00933	Syae.g_00945
OG0000157	Syab.g_00932	Syae.g_00946
OG0000158	Syab.g_00161	Syae.g_01858
OG0000160	Syab.g_00774	Syae.g_02650
OG0000161	Syab.g_00766	Syae.g_02644
OG0000162	Syab.g_00755	Syae.g_02638
OG0000163	Syab.g_02173	Syae.g_01092
OG0000164	Syab.g_02307	Syae.g_01198
OG0000165	Syab.g_02316	Syae.g_01021
OG0000166	Syab.g_00407	Syae.g_02085
OG0000167	Syab.g_00205	Syae.g_01874
OG0000168	Syab.g_00136	Syae.g_01856
OG0000169	Syab.g_00125	Syae.g_01841
OG0000170	Syab.g_00118	Syae.g_01834
OG0000171	Syab.g_00089	Syae.g_01810
OG0000172	Syab.g_00080	Syae.g_01788
OG0000173	Syab.g_00061	Syae.g_01770
OG0000174	Syab.g_02819	Syae.g_01610
OG0000175	Syab.g_02876	Syae.g_01679
OG0000176	Syab.g_00004	Syae.g_01716
OG0000177	Syab.g_00005	Syae.g_01717
OG0000178	Syab.g_00006	Syae.g_01718
OG0000179	Syab.g_00022	Syae.g_01733
OG0000180	Syab.g_00023	Syae.g_01734
OG0000181	Syab.g_00024	Syae.g_01735
OG0000182	Syab.g_00025	Syae.g_01736
OG0000183	Syab.g_00029	Syae.g_01740
OG0000184	Syab.g_02738	Syae.g_01554
