Orthogroup	Syab	Pral
OG0000000	Syab.g_01226	Pral.g_01331
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Pral.g_01236
OG0000002	Syab.g_02285	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Syab.g_00549, Syab.g_01193	Pral.g_01743
OG0000004	Syab.g_01911, Syab.g_02377	Pral.g_00809
OG0000005	Syab.g_02806, Syab.g_02232	Pral.g_01075
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Pral.g_00797
OG0000007	Syab.g_02117	Pral.g_00593
OG0000007	Syab.g_02256	Pral.g_00107
OG0000008	Syab.g_01755	Pral.g_00020
OG0000008	Syab.g_01168	Pral.g_00021
OG0000009	Syab.g_00995	Pral.g_01065, Pral.g_01163
OG0000010	Syab.g_00696	Pral.g_01832, Pral.g_01848
OG0000011	Syab.g_01491	Pral.g_00064
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Pral.g_00712
OG0000014	Syab.g_00249	Pral.g_00732
OG0000014	Syab.g_00178	Pral.g_01261
OG0000015	Syab.g_02889	Pral.g_01813
OG0000017	Syab.g_01953	Pral.g_00491
OG0000017	Syab.g_01945	Pral.g_00484
OG0000018	Syab.g_00742	Pral.g_01346
OG0000019	Syab.g_00344	Pral.g_00790, Pral.g_01344
OG0000020	Syab.g_02230	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Pral.g_01687
OG0000024	Syab.g_01834	Pral.g_01895
OG0000025	Syab.g_01705	Pral.g_01523
OG0000026	Syab.g_00036	Pral.g_01012
OG0000027	Syab.g_01782	Pral.g_01036, Pral.g_00039
OG0000028	Syab.g_00234	Pral.g_00053, Pral.g_00719
OG0000030	Syab.g_00096, Syab.g_00095	Pral.g_00316
OG0000032	Syab.g_00724	Pral.g_01121
OG0000034	Syab.g_00900, Syab.g_02560	Pral.g_01271
OG0000035	Syab.g_00776, Syab.g_00778	Pral.g_01161, Pral.g_01165
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Pral.g_00938
OG0000038	Syab.g_02759, Syab.g_02761	Pral.g_00356
OG0000039	Syab.g_02791	Pral.g_01755
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Pral.g_00155
OG0000042	Syab.g_01019, Syab.g_00099	Pral.g_00313
OG0000043	Syab.g_02802, Syab.g_01785, Syab.g_01539	Pral.g_01347
OG0000044	Syab.g_01262, Syab.g_01256, Syab.g_01097	Pral.g_01888
OG0000046	Syab.g_00488, Syab.g_00496, Syab.g_00481	Pral.g_00711
OG0000047	Syab.g_00876	Pral.g_00672
OG0000048	Syab.g_00308	Pral.g_00768
OG0000052	Syab.g_00214	Pral.g_00987
OG0000053	Syab.g_00746	Pral.g_01139, Pral.g_00066
OG0000054	Syab.g_01932	Pral.g_00482
OG0000056	Syab.g_01452	Pral.g_01041
OG0000057	Syab.g_01200	Pral.g_01740
OG0000058	Syab.g_00227	Pral.g_01202
OG0000059	Syab.g_00397	Pral.g_00195
OG0000061	Syab.g_00171	Pral.g_00639
OG0000061	Syab.g_00969	Pral.g_01367
OG0000062	Syab.g_02234	Pral.g_01073
OG0000063	Syab.g_00040	Pral.g_00435
OG0000064	Syab.g_00824, Syab.g_02808, Syab.g_01783, Syab.g_00997	Pral.g_00980
OG0000065	Syab.g_02500, Syab.g_01768	Pral.g_00940
OG0000066	Syab.g_01516, Syab.g_02031	Pral.g_00551
OG0000067	Syab.g_01659	Pral.g_01488
OG0000068	Syab.g_02087	Pral.g_01222
OG0000070	Syab.g_00614	Pral.g_00643
OG0000071	Syab.g_00915	Pral.g_01281
OG0000072	Syab.g_02593	Pral.g_00872
OG0000073	Syab.g_02119	Pral.g_00591
OG0000075	Syab.g_00202	Pral.g_00279
OG0000076	Syab.g_00113	Pral.g_00305
OG0000077	Syab.g_02446	Pral.g_00969
OG0000078	Syab.g_02366	Pral.g_00800
OG0000079	Syab.g_00340	Pral.g_00787
OG0000081	Syab.g_01793	Pral.g_00559
OG0000082	Syab.g_01971	Pral.g_00057
OG0000084	Syab.g_00781	Pral.g_01169
OG0000085	Syab.g_02243	Pral.g_00099
OG0000086	Syab.g_02468	Pral.g_00959
OG0000087	Syab.g_02551	Pral.g_00906
OG0000088	Syab.g_02586	Pral.g_00878
OG0000089	Syab.g_00551	Pral.g_00676
OG0000090	Syab.g_02041	Pral.g_00557
OG0000091	Syab.g_01866	Pral.g_01443
OG0000092	Syab.g_01242, Syab.g_00690	Pral.g_01244
OG0000093	Syab.g_01582	Pral.g_01472
OG0000094	Syab.g_01306	Pral.g_01604
OG0000095	Syab.g_01210	Pral.g_01561
OG0000097	Syab.g_01051	Pral.g_01416
OG0000098	Syab.g_01553	Pral.g_01239
OG0000099	Syab.g_00230	Pral.g_01201
OG0000100	Syab.g_01694	Pral.g_01078
OG0000101	Syab.g_00446	Pral.g_00243
OG0000102	Syab.g_00104	Pral.g_00310
OG0000103	Syab.g_02895, Syab.g_01296	Pral.g_00397
OG0000104	Syab.g_02910	Pral.g_00406
OG0000105	Syab.g_00303	Pral.g_00765
OG0000106	Syab.g_01817	Pral.g_01859
OG0000107	Syab.g_00367	Pral.g_00171
OG0000108	Syab.g_02096	Pral.g_00611
OG0000109	Syab.g_02112	Pral.g_00596
OG0000110	Syab.g_01984	Pral.g_00513
OG0000111	Syab.g_01201	Pral.g_01739
OG0000112	Syab.g_01392	Pral.g_01635
OG0000113	Syab.g_01689	Pral.g_01511
OG0000114	Syab.g_02656, Syab.g_01633	Pral.g_01799
OG0000115	Syab.g_00748	Pral.g_01141
OG0000116	Syab.g_00945	Pral.g_01356
OG0000117	Syab.g_01018	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Syab.g_00897	Pral.g_01269
OG0000120	Syab.g_00229	Pral.g_00702
OG0000121	Syab.g_00772	Pral.g_01159
