Orthogroup	Syab	Prar
OG0000000	Syab.g_01226	Prar.g_00971
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prar.g_00926
OG0000002	Syab.g_02285	Prar.g_00918, Prar.g_01508
OG0000004	Syab.g_00549, Syab.g_01193	Prar.g_01525
OG0000004	Syab.g_01911, Syab.g_02377	Prar.g_00095
OG0000005	Syab.g_02289	Prar.g_01130
OG0000005	Syab.g_02806, Syab.g_02232	Prar.g_00771
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Prar.g_00086
OG0000007	Syab.g_02117	Prar.g_01328
OG0000007	Syab.g_02256	Prar.g_01143
OG0000008	Syab.g_01755	Prar.g_01185
OG0000009	Syab.g_00995	Prar.g_00737
OG0000009	Syab.g_02498	Prar.g_00223
OG0000010	Syab.g_00696	Prar.g_01567, Prar.g_01912
OG0000011	Syab.g_01491	Prar.g_00988
OG0000012	Syab.g_01774, Syab.g_00953	Prar.g_01453
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Prar.g_00260
OG0000014	Syab.g_00249	Prar.g_00281
OG0000015	Syab.g_02889	Prar.g_01179
OG0000016	Syab.g_00014	Prar.g_00025
OG0000017	Syab.g_01953, Syab.g_01945	Prar.g_01428
OG0000018	Syab.g_00742	Prar.g_01282
OG0000019	Syab.g_00344	Prar.g_00078, Prar.g_01663
OG0000020	Syab.g_02230	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000022	Syab.g_01825	Prar.g_01300
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prar.g_00420
OG0000024	Syab.g_01834	Prar.g_01634, Prar.g_01505
OG0000025	Syab.g_01705	Prar.g_00256, Prar.g_01718
OG0000026	Syab.g_00036	Prar.g_01919
OG0000027	Syab.g_01782	Prar.g_00520
OG0000028	Syab.g_00234	Prar.g_00985, Prar.g_00267
OG0000030	Syab.g_00096, Syab.g_00095	Prar.g_00662
OG0000031	Syab.g_00160	Prar.g_00879
OG0000032	Syab.g_00149	Prar.g_00886
OG0000034	Syab.g_00900, Syab.g_02560	Prar.g_00945
OG0000035	Syab.g_00776, Syab.g_00778	Prar.g_00339
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Prar.g_00219
OG0000038	Syab.g_02759, Syab.g_02761	Prar.g_00702
OG0000039	Syab.g_02791	Prar.g_01516
OG0000040	Syab.g_02853	Prar.g_01283
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Prar.g_00602
OG0000042	Syab.g_01019, Syab.g_00099	Prar.g_00660
OG0000044	Syab.g_01262, Syab.g_01256, Syab.g_01097	Prar.g_01172
OG0000045	Syab.g_01787	Prar.g_00432
OG0000045	Syab.g_00871	Prar.g_01583
OG0000047	Syab.g_00876	Prar.g_00257, Prar.g_00468
OG0000048	Syab.g_00308	Prar.g_00435
OG0000053	Syab.g_00746	Prar.g_00589, Prar.g_00827
OG0000054	Syab.g_01932	Prar.g_01436
OG0000055	Syab.g_01255	Prar.g_01664
OG0000056	Syab.g_01452	Prar.g_00932
OG0000057	Syab.g_01200	Prar.g_01528
OG0000059	Syab.g_00397	Prar.g_01090
OG0000061	Syab.g_00969	Prar.g_01263
OG0000062	Syab.g_02234	Prar.g_00769
OG0000063	Syab.g_00040	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syab.g_02500, Syab.g_01768	Prar.g_00221
OG0000066	Syab.g_01516, Syab.g_02031	Prar.g_01369
OG0000067	Syab.g_01659	Prar.g_01684
OG0000068	Syab.g_02087	Prar.g_00911
OG0000070	Syab.g_00614	Prar.g_00498
OG0000071	Syab.g_00915	Prar.g_00955
OG0000072	Syab.g_02593	Prar.g_00156
OG0000073	Syab.g_02119	Prar.g_01330
OG0000075	Syab.g_00202	Prar.g_00629
OG0000076	Syab.g_00113	Prar.g_00592, Prar.g_00653
OG0000077	Syab.g_02446	Prar.g_00250
OG0000078	Syab.g_02366	Prar.g_00088
OG0000081	Syab.g_01793	Prar.g_01361
OG0000082	Syab.g_01971	Prar.g_01414
OG0000084	Syab.g_00781	Prar.g_00343
OG0000085	Syab.g_02243	Prar.g_01150
OG0000086	Syab.g_02468	Prar.g_00240
OG0000087	Syab.g_02551	Prar.g_00189
OG0000088	Syab.g_02586	Prar.g_00161
OG0000089	Syab.g_00551	Prar.g_00416
OG0000090	Syab.g_02041	Prar.g_01363
OG0000091	Syab.g_01866	Prar.g_01472
OG0000092	Syab.g_01242, Syab.g_00690	Prar.g_00615
OG0000093	Syab.g_01582	Prar.g_01801
OG0000094	Syab.g_01306	Prar.g_01885
OG0000095	Syab.g_01210	Prar.g_01904
OG0000097	Syab.g_01051	Prar.g_01222
OG0000098	Syab.g_01553	Prar.g_00929
OG0000099	Syab.g_00230	Prar.g_00872
OG0000100	Syab.g_01694	Prar.g_00773
OG0000101	Syab.g_00446	Prar.g_01027
OG0000102	Syab.g_00104	Prar.g_00658
OG0000103	Syab.g_02895, Syab.g_01296	Prar.g_00050
OG0000104	Syab.g_02910	Prar.g_00042
OG0000105	Syab.g_00303	Prar.g_00313
OG0000106	Syab.g_01817	Prar.g_00431
OG0000107	Syab.g_00367	Prar.g_00446
OG0000108	Syab.g_02096	Prar.g_00530
OG0000109	Syab.g_02112	Prar.g_00544
OG0000110	Syab.g_01984	Prar.g_01404
OG0000111	Syab.g_01201	Prar.g_01529
OG0000112	Syab.g_01392	Prar.g_01652
OG0000113	Syab.g_01689	Prar.g_01706
OG0000114	Syab.g_02656, Syab.g_01633	Prar.g_01776
OG0000115	Syab.g_00748	Prar.g_01318
OG0000116	Syab.g_00945	Prar.g_01273
OG0000117	Syab.g_01018	Prar.g_01003
OG0000118	Syab.g_00897	Prar.g_00943
OG0000120	Syab.g_00229	Prar.g_00880
OG0000121	Syab.g_00772	Prar.g_00337
OG0000122	Syab.g_01839	Prar.g_00807
OG0000123	Syab.g_00454	Prar.g_01021
OG0000124	Syab.g_00088	Prar.g_00668
OG0000125	Syab.g_02763	Prar.g_00704
OG0000126	Syab.g_02908	Prar.g_00043
OG0000128	Syab.g_00012	Prar.g_00027
OG0000129	Syab.g_02749	Prar.g_00576
OG0000130	Syab.g_02434	Prar.g_00549
OG0000131	Syab.g_02564	Prar.g_00182
OG0000132	Syab.g_02584	Prar.g_00163
OG0000133	Syab.g_01387	Prar.g_00265
OG0000134	Syab.g_00554	Prar.g_00417
OG0000135	Syab.g_02815	Prar.g_00444
OG0000136	Syab.g_00588	Prar.g_00489
OG0000137	Syab.g_00697	Prar.g_00525
OG0000138	Syab.g_02113	Prar.g_00545
OG0000139	Syab.g_02035	Prar.g_01367
OG0000140	Syab.g_02033	Prar.g_01368
OG0000141	Syab.g_01931	Prar.g_01437
OG0000142	Syab.g_01524, Syab.g_01873	Prar.g_01465
OG0000143	Syab.g_01870	Prar.g_01469
OG0000144	Syab.g_01757	Prar.g_01482
OG0000145	Syab.g_02120	Prar.g_01651
OG0000146	Syab.g_01393	Prar.g_01653
OG0000147	Syab.g_01394	Prar.g_01654
OG0000148	Syab.g_01682, Syab.g_01683	Prar.g_01700
OG0000149	Syab.g_01720	Prar.g_01730
OG0000150	Syab.g_01930	Prar.g_01738
OG0000151	Syab.g_01612	Prar.g_01786
OG0000152	Syab.g_01383	Prar.g_01833
OG0000153	Syab.g_01343	Prar.g_01852
OG0000154	Syab.g_01317	Prar.g_01878
OG0000155	Syab.g_01009	Prar.g_01243
OG0000156	Syab.g_00933	Prar.g_00966
OG0000157	Syab.g_00932	Prar.g_00965
OG0000158	Syab.g_00161	Prar.g_00375
OG0000160	Syab.g_00774	Prar.g_00338
OG0000161	Syab.g_00766	Prar.g_00840
OG0000162	Syab.g_00755	Prar.g_00834
OG0000163	Syab.g_02173	Prar.g_00800
OG0000164	Syab.g_02307	Prar.g_01964
OG0000165	Syab.g_02316	Prar.g_01971
OG0000166	Syab.g_00407	Prar.g_01063
OG0000167	Syab.g_00205	Prar.g_00627
OG0000168	Syab.g_00136	Prar.g_00637
OG0000169	Syab.g_00125	Prar.g_00647
OG0000170	Syab.g_00118	Prar.g_00649
OG0000171	Syab.g_00089	Prar.g_00667
OG0000172	Syab.g_00080	Prar.g_00675
OG0000173	Syab.g_00061	Prar.g_00690
OG0000174	Syab.g_02819	Prar.g_00068
OG0000175	Syab.g_02876	Prar.g_00058
OG0000176	Syab.g_00004	Prar.g_00034
OG0000177	Syab.g_00005	Prar.g_00033
OG0000178	Syab.g_00006	Prar.g_00032
OG0000179	Syab.g_00022	Prar.g_00022
OG0000180	Syab.g_00023	Prar.g_00021
OG0000181	Syab.g_00024	Prar.g_00020
OG0000182	Syab.g_00025	Prar.g_00019
OG0000183	Syab.g_00029	Prar.g_00015
OG0000184	Syab.g_02738	Prar.g_00573
OG0000185	Syab.g_02715	Prar.g_00570
OG0000186	Syab.g_02430	Prar.g_00554
OG0000187	Syab.g_02431	Prar.g_00553
OG0000188	Syab.g_02454	Prar.g_00246
OG0000189	Syab.g_02487	Prar.g_00232
OG0000190	Syab.g_00190, Syab.g_00139	Prar.g_00231
OG0000191	Syab.g_02522	Prar.g_00211
OG0000192	Syab.g_02528	Prar.g_00207
OG0000193	Syab.g_02565	Prar.g_00181
OG0000194	Syab.g_02568	Prar.g_00178
OG0000195	Syab.g_02570	Prar.g_00176
OG0000196	Syab.g_02581	Prar.g_00166
OG0000197	Syab.g_02582	Prar.g_00165
OG0000198	Syab.g_02583	Prar.g_00164
OG0000199	Syab.g_02591	Prar.g_00157
OG0000200	Syab.g_02611	Prar.g_00143
OG0000201	Syab.g_02628	Prar.g_00135
OG0000202	Syab.g_02629	Prar.g_00134
OG0000203	Syab.g_02630	Prar.g_00133
OG0000204	Syab.g_02631	Prar.g_00132
OG0000205	Syab.g_02638	Prar.g_00125
OG0000206	Syab.g_02674	Prar.g_00120
OG0000207	Syab.g_02677	Prar.g_00118
OG0000208	Syab.g_02678	Prar.g_00117
OG0000209	Syab.g_02698	Prar.g_00108
OG0000210	Syab.g_02699	Prar.g_00107
OG0000211	Syab.g_02374	Prar.g_00094
OG0000212	Syab.g_02365	Prar.g_00087
OG0000213	Syab.g_00332	Prar.g_00330
OG0000214	Syab.g_00312	Prar.g_00320
OG0000215	Syab.g_00281	Prar.g_00295
OG0000216	Syab.g_00277	Prar.g_00293
OG0000217	Syab.g_00273	Prar.g_01154, Prar.g_00290
OG0000218	Syab.g_00271	Prar.g_00288
OG0000219	Syab.g_00270	Prar.g_00287
OG0000220	Syab.g_00269	Prar.g_00286
OG0000221	Syab.g_00257	Prar.g_00285
OG0000222	Syab.g_00244	Prar.g_00277
OG0000223	Syab.g_00226	Prar.g_00264
OG0000224	Syab.g_00223	Prar.g_00262
OG0000225	Syab.g_00538	Prar.g_00406
OG0000226	Syab.g_00542	Prar.g_00410
OG0000227	Syab.g_00544	Prar.g_00412
OG0000228	Syab.g_00550	Prar.g_00415
OG0000229	Syab.g_00583	Prar.g_00484
OG0000230	Syab.g_00585	Prar.g_00486
OG0000231	Syab.g_00613	Prar.g_00497
OG0000232	Syab.g_00631	Prar.g_00506
OG0000233	Syab.g_00645	Prar.g_00512
OG0000234	Syab.g_00699	Prar.g_00526
OG0000235	Syab.g_02095	Prar.g_00529
OG0000236	Syab.g_02111	Prar.g_00543
OG0000237	Syab.g_02129	Prar.g_01337
OG0000238	Syab.g_02134	Prar.g_01343
OG0000239	Syab.g_02151	Prar.g_01355
OG0000240	Syab.g_02152	Prar.g_01356
OG0000241	Syab.g_01884	Prar.g_01360
OG0000242	Syab.g_02043	Prar.g_01362
OG0000243	Syab.g_02025	Prar.g_01373
OG0000244	Syab.g_02017	Prar.g_01376
OG0000245	Syab.g_02015	Prar.g_01378
OG0000246	Syab.g_02011	Prar.g_01382
OG0000247	Syab.g_01999	Prar.g_01392
OG0000248	Syab.g_01996	Prar.g_01394
OG0000249	Syab.g_01994	Prar.g_01396
OG0000250	Syab.g_01988	Prar.g_01401
OG0000251	Syab.g_01961	Prar.g_01420
OG0000252	Syab.g_01958	Prar.g_01424
OG0000253	Syab.g_01956	Prar.g_01425
OG0000254	Syab.g_01925	Prar.g_01441
OG0000255	Syab.g_01912	Prar.g_01447
OG0000256	Syab.g_01890	Prar.g_01457
OG0000257	Syab.g_01885	Prar.g_01460
OG0000258	Syab.g_01861	Prar.g_01473
OG0000259	Syab.g_01538	Prar.g_01490
OG0000260	Syab.g_01544	Prar.g_01493
OG0000261	Syab.g_01556	Prar.g_01495
OG0000262	Syab.g_01561	Prar.g_01499
OG0000263	Syab.g_01035	Prar.g_01511
OG0000264	Syab.g_01173	Prar.g_01521
OG0000265	Syab.g_01773	Prar.g_01599
OG0000266	Syab.g_01667	Prar.g_01609
OG0000267	Syab.g_01433	Prar.g_01620
OG0000268	Syab.g_01432	Prar.g_01621
OG0000269	Syab.g_01650	Prar.g_01679
OG0000270	Syab.g_01657	Prar.g_01682
OG0000271	Syab.g_01279	Prar.g_01690
OG0000272	Syab.g_01280	Prar.g_01691
OG0000273	Syab.g_01699	Prar.g_01714
OG0000274	Syab.g_01700	Prar.g_01715
OG0000275	Syab.g_01704	Prar.g_01717
OG0000276	Syab.g_01712	Prar.g_01722
OG0000277	Syab.g_01713	Prar.g_01723
OG0000278	Syab.g_01716	Prar.g_01726
OG0000279	Syab.g_01724	Prar.g_01733
OG0000280	Syab.g_01736	Prar.g_01734
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Prar.g_01740
OG0000282	Syab.g_01631	Prar.g_01778
OG0000283	Syab.g_01418	Prar.g_01810
OG0000284	Syab.g_01413	Prar.g_01815
OG0000285	Syab.g_01402	Prar.g_01820
OG0000286	Syab.g_01384	Prar.g_01832
OG0000287	Syab.g_01350	Prar.g_01849
OG0000288	Syab.g_01318	Prar.g_01877
OG0000289	Syab.g_01303	Prar.g_01888
OG0000290	Syab.g_01213	Prar.g_01901
OG0000291	Syab.g_01211	Prar.g_01903
OG0000292	Syab.g_02907	Prar.g_01953
OG0000293	Syab.g_00946	Prar.g_01272
OG0000294	Syab.g_00947	Prar.g_01271
OG0000295	Syab.g_01001	Prar.g_01251
OG0000296	Syab.g_01003	Prar.g_01249
OG0000297	Syab.g_01016	Prar.g_01241
OG0000298	Syab.g_01017	Prar.g_01240
OG0000299	Syab.g_01047	Prar.g_01223
OG0000300	Syab.g_01054	Prar.g_01220
OG0000301	Syab.g_01055	Prar.g_01219
OG0000302	Syab.g_01056	Prar.g_01217
OG0000303	Syab.g_01149	Prar.g_01210
OG0000304	Syab.g_01143	Prar.g_01206
OG0000305	Syab.g_01208	Prar.g_00919
OG0000306	Syab.g_01819	Prar.g_00916
OG0000307	Syab.g_02078	Prar.g_00902
OG0000308	Syab.g_02076	Prar.g_00901
OG0000309	Syab.g_02071	Prar.g_00897
OG0000310	Syab.g_00817	Prar.g_00354
OG0000311	Syab.g_00811	Prar.g_00352
OG0000312	Syab.g_00793	Prar.g_00349
OG0000313	Syab.g_00769	Prar.g_00335
OG0000314	Syab.g_00736	Prar.g_00820
OG0000315	Syab.g_00726	Prar.g_00810
OG0000316	Syab.g_02189	Prar.g_00790
OG0000317	Syab.g_02251	Prar.g_01145
OG0000318	Syab.g_02257	Prar.g_01142
OG0000319	Syab.g_02291	Prar.g_01129
OG0000320	Syab.g_02293	Prar.g_01127
OG0000321	Syab.g_02294	Prar.g_01126
OG0000322	Syab.g_02295	Prar.g_01125
