Orthogroup	Syab	Syad
OG0000001	Syab.g_02553, Syab.g_02555	Syad.g_02865
OG0000001	Syab.g_01509, Syab.g_01510	Syad.g_01238, Syad.g_00611
OG0000002	Syab.g_02285	Syad.g_00619
OG0000003	Syab.g_01580	Syad.g_01327, Syad.g_01331
OG0000004	Syab.g_00549, Syab.g_01193	Syad.g_01304
OG0000004	Syab.g_01911	Syad.g_02184
OG0000004	Syab.g_02377	Syad.g_00810
OG0000005	Syab.g_02289	Syad.g_02639
OG0000005	Syab.g_02232	Syad.g_02596
OG0000005	Syab.g_00981	Syad.g_02028
OG0000006	Syab.g_01849	Syad.g_02130
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syad.g_00588, Syad.g_00829
OG0000007	Syab.g_02117	Syad.g_00923
OG0000007	Syab.g_02256	Syad.g_02623
OG0000008	Syab.g_01168	Syad.g_01371
OG0000009	Syab.g_00995	Syad.g_01952, Syad.g_00868
OG0000009	Syab.g_02498	Syad.g_02799
OG0000010	Syab.g_00696	Syad.g_02354
OG0000012	Syab.g_01774, Syab.g_00953	Syad.g_01579, Syad.g_01008
OG0000013	Syab.g_00487	Syad.g_00729
OG0000013	Syab.g_00497	Syad.g_00737
OG0000013	Syab.g_00482	Syad.g_00724
OG0000014	Syab.g_00249	Syad.g_00480
OG0000015	Syab.g_02889	Syad.g_00142
OG0000016	Syab.g_00014	Syad.g_00176
OG0000016	Syab.g_01049	Syad.g_01460
OG0000017	Syab.g_01953	Syad.g_01084
OG0000017	Syab.g_01945	Syad.g_01091
OG0000018	Syab.g_00742	Syad.g_02306
OG0000019	Syab.g_00344	Syad.g_00569
OG0000020	Syab.g_02230	Syad.g_00845
OG0000022	Syab.g_01825	Syad.g_02090
OG0000023	Syab.g_00708	Syad.g_02337
OG0000023	Syab.g_02058, Syab.g_01294	Syad.g_01583
OG0000024	Syab.g_01834	Syad.g_01374
OG0000025	Syab.g_01705	Syad.g_01241
OG0000026	Syab.g_00036	Syad.g_00198
OG0000027	Syab.g_01782	Syad.g_01257
OG0000028	Syab.g_00234	Syad.g_00463
OG0000030	Syab.g_00096	Syad.g_00328
OG0000030	Syab.g_00095	Syad.g_00327
OG0000031	Syab.g_00160	Syad.g_00458
OG0000032	Syab.g_00724	Syad.g_02326
OG0000033	Syab.g_02590	Syad.g_02903
