Orthogroup	Syab	Prah
OG0000000	Syab.g_01226	Prah.g_01346, Prah.g_01347
OG0000001	Syab.g_02553, Syab.g_02555	Prah.g_02270
OG0000001	Syab.g_00673	Prah.g_00896
OG0000002	Syab.g_02285	Prah.g_00562, Prah.g_01226
OG0000003	Syab.g_01580	Prah.g_01005, Prah.g_01056
OG0000004	Syab.g_00549, Syab.g_01193	Prah.g_01022
OG0000004	Syab.g_01911, Syab.g_02377	Prah.g_01413
OG0000005	Syab.g_02806, Syab.g_02232	Prah.g_01652
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Prah.g_00475, Prah.g_01767
OG0000007	Syab.g_02117	Prah.g_01546
OG0000007	Syab.g_02256	Prah.g_01676
OG0000008	Syab.g_01755	Prah.g_00970
OG0000008	Syab.g_01168	Prah.g_00969
OG0000009	Syab.g_02498	Prah.g_00432, Prah.g_01895
OG0000010	Syab.g_00696	Prah.g_00311
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Prah.g_01956
OG0000014	Syab.g_00249	Prah.g_02171
OG0000015	Syab.g_02889	Prah.g_01155, Prah.g_00576
OG0000016	Syab.g_00014	Prah.g_00015
OG0000016	Syab.g_01049	Prah.g_01270
OG0000017	Syab.g_01945	Prah.g_01397
OG0000018	Syab.g_00742	Prah.g_00378
OG0000019	Syab.g_00344	Prah.g_02086
OG0000020	Syab.g_02230	Prah.g_01100
OG0000022	Syab.g_01825	Prah.g_01209
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prah.g_00688
OG0000024	Syab.g_01834	Prah.g_01043
OG0000025	Syab.g_01705	Prah.g_00604
OG0000026	Syab.g_00036	Prah.g_00038
OG0000028	Syab.g_00234	Prah.g_02184
OG0000030	Syab.g_00096	Prah.g_00132
OG0000030	Syab.g_00095	Prah.g_00131
OG0000031	Syab.g_00160	Prah.g_02248
OG0000032	Syab.g_00724	Prah.g_00358
OG0000032	Syab.g_00149	Prah.g_02196
OG0000033	Syab.g_02590	Prah.g_02307
OG0000034	Syab.g_00900, Syab.g_02560	Prah.g_01376
OG0000035	Syab.g_00778	Prah.g_00408
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Prah.g_01901
OG0000038	Syab.g_02759	Prah.g_02494
OG0000038	Syab.g_02761	Prah.g_02496
OG0000039	Syab.g_02791	Prah.g_02382
OG0000041	Syab.g_01086, Syab.g_02804	Prah.g_01737
OG0000042	Syab.g_01019, Syab.g_00099	Prah.g_00135, Prah.g_01256
OG0000043	Syab.g_02802	Prah.g_01190
OG0000045	Syab.g_00871	Prah.g_01837
OG0000046	Syab.g_00488, Syab.g_00496, Syab.g_00481	Prah.g_01955
OG0000047	Syab.g_00876	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syab.g_00308	Prah.g_02122
OG0000051	Syab.g_01073	Prah.g_01166
OG0000051	Syab.g_02216	Prah.g_00717
OG0000052	Syab.g_00214	Prah.g_02219
OG0000053	Syab.g_00746	Prah.g_00381
OG0000054	Syab.g_01932	Prah.g_01394
OG0000055	Syab.g_01255	Prah.g_00942
OG0000056	Syab.g_01452	Prah.g_00341
OG0000057	Syab.g_01200	Prah.g_01027
OG0000058	Syab.g_00227	Prah.g_02195
OG0000059	Syab.g_00397	Prah.g_02043
OG0000060	Syab.g_02094	Prah.g_01569
OG0000061	Syab.g_00171	Prah.g_00104
OG0000061	Syab.g_00969	Prah.g_01322
OG0000062	Syab.g_02234	Prah.g_01654
OG0000063	Syab.g_00040	Prah.g_00042
OG0000065	Syab.g_02500	Prah.g_01897
OG0000066	Syab.g_01516, Syab.g_02031	Prah.g_01485
OG0000067	Syab.g_01659	Prah.g_00667
OG0000068	Syab.g_02087	Prah.g_01576
OG0000070	Syab.g_00614	Prah.g_00252
OG0000071	Syab.g_00915	Prah.g_01364
OG0000072	Syab.g_02593	Prah.g_02309
OG0000073	Syab.g_02119	Prah.g_01544
OG0000075	Syab.g_00202	Prah.g_02232
OG0000076	Syab.g_00113	Prah.g_00150
OG0000078	Syab.g_02366	Prah.g_01773
OG0000079	Syab.g_00340	Prah.g_02090, Prah.g_01868
OG0000081	Syab.g_01793	Prah.g_01035
OG0000082	Syab.g_01971	Prah.g_01427
OG0000084	Syab.g_00781	Prah.g_00412
OG0000085	Syab.g_02243	Prah.g_01666
OG0000086	Syab.g_02468	Prah.g_01866
OG0000087	Syab.g_02551	Prah.g_02268
OG0000088	Syab.g_02586	Prah.g_02304, Prah.g_00957
