Orthogroup	Syab	Syal
OG0000000	Syab.g_01226	Syal.g_01111, Syal.g_01832
OG0000001	Syab.g_01549	Syal.g_02193
OG0000001	Syab.g_02553, Syab.g_02555	Syal.g_00874, Syal.g_01184
OG0000004	Syab.g_01193	Syal.g_01809
OG0000004	Syab.g_01911	Syal.g_02718
OG0000004	Syab.g_02377	Syal.g_00691
OG0000005	Syab.g_02289	Syal.g_00606
OG0000005	Syab.g_02232	Syal.g_00565
OG0000005	Syab.g_00981	Syal.g_01664
OG0000006	Syab.g_01849	Syal.g_02611
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syal.g_00674
OG0000007	Syab.g_02117	Syal.g_02918
OG0000007	Syab.g_02256	Syal.g_00587
OG0000008	Syab.g_01755	Syal.g_02512
OG0000008	Syab.g_01168	Syal.g_01783
OG0000009	Syab.g_00995	Syal.g_02089
OG0000009	Syab.g_02498	Syal.g_00818
OG0000010	Syab.g_00696	Syal.g_00464
OG0000011	Syab.g_01491, Syab.g_01083	Syal.g_00702
OG0000012	Syab.g_01774	Syal.g_02535
OG0000012	Syab.g_00953	Syal.g_01639
OG0000013	Syab.g_00487	Syal.g_00315
OG0000013	Syab.g_00497	Syal.g_00322
OG0000013	Syab.g_00482	Syal.g_00310
OG0000014	Syab.g_00249	Syal.g_01305
OG0000015	Syab.g_02889	Syal.g_02210, Syal.g_01183
OG0000016	Syab.g_00014	Syal.g_00111
OG0000016	Syab.g_01049	Syal.g_01734
OG0000017	Syab.g_01953	Syal.g_02752
OG0000017	Syab.g_01945	Syal.g_02745
OG0000018	Syab.g_00742	Syal.g_00410
OG0000019	Syab.g_00344	Syal.g_01209
OG0000022	Syab.g_01825	Syal.g_02587
OG0000023	Syab.g_02058	Syal.g_02485, Syal.g_02858
OG0000023	Syab.g_01294	Syal.g_01894
OG0000024	Syab.g_01834	Syal.g_02597
OG0000025	Syab.g_01705	Syal.g_02459
OG0000026	Syab.g_00036	Syal.g_00132
OG0000027	Syab.g_01782	Syal.g_02543
OG0000028	Syab.g_00234	Syal.g_01319
OG0000030	Syab.g_00096	Syal.g_01511
OG0000030	Syab.g_00095	Syal.g_01512
OG0000031	Syab.g_00160	Syal.g_01404, Syal.g_01432
OG0000032	Syab.g_00724	Syal.g_00428
OG0000032	Syab.g_00149	Syal.g_00183
OG0000033	Syab.g_02590	Syal.g_00912
OG0000034	Syab.g_00900, Syab.g_02560	Syal.g_00881, Syal.g_01586
OG0000035	Syab.g_00776	Syal.g_00370
OG0000035	Syab.g_00778	Syal.g_00020
OG0000037	Syab.g_02280	Syal.g_00601
OG0000037	Syab.g_02504	Syal.g_00824
OG0000038	Syab.g_02759	Syal.g_01071
OG0000038	Syab.g_02761	Syal.g_01073
OG0000039	Syab.g_02791	Syal.g_01097
OG0000040	Syab.g_02853	Syal.g_01149
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Syal.g_00649
OG0000042	Syab.g_01019	Syal.g_01705
OG0000042	Syab.g_00099	Syal.g_01508
OG0000043	Syab.g_02802	Syal.g_01110
OG0000043	Syab.g_01785	Syal.g_02547
OG0000043	Syab.g_01539	Syal.g_02183
OG0000044	Syab.g_01262	Syal.g_01853
OG0000044	Syab.g_01256	Syal.g_01847
OG0000045	Syab.g_00871	Syal.g_01563
OG0000046	Syab.g_00488	Syal.g_00316
OG0000046	Syab.g_00496	Syal.g_00321
OG0000046	Syab.g_00481	Syal.g_00309
OG0000047	Syab.g_00876	Syal.g_01568
OG0000048	Syab.g_00308	Syal.g_01250
OG0000051	Syab.g_02216	Syal.g_03018
OG0000052	Syab.g_00214	Syal.g_01338
OG0000053	Syab.g_00746	Syal.g_00406
OG0000054	Syab.g_01932	Syal.g_02739
OG0000055	Syab.g_01255	Syal.g_01845
OG0000056	Syab.g_01452	Syal.g_02054
OG0000057	Syab.g_01200	Syal.g_01812
OG0000058	Syab.g_00227	Syal.g_01326
OG0000059	Syab.g_00397	Syal.g_00225
OG0000060	Syab.g_00662	Syal.g_00480
OG0000060	Syab.g_02094	Syal.g_02895
OG0000061	Syab.g_00969	Syal.g_01653
OG0000062	Syab.g_02234	Syal.g_00567
OG0000063	Syab.g_00040	Syal.g_00136
OG0000064	Syab.g_00824	Syal.g_01545
OG0000064	Syab.g_02808	Syal.g_01115
OG0000064	Syab.g_01783	Syal.g_02544
OG0000064	Syab.g_00997	Syal.g_01681
OG0000065	Syab.g_02500	Syal.g_00820
OG0000065	Syab.g_01768	Syal.g_02528
OG0000066	Syab.g_02031	Syal.g_02828
OG0000067	Syab.g_01659	Syal.g_02414
OG0000068	Syab.g_02087	Syal.g_02888
OG0000070	Syab.g_00614	Syal.g_00509
OG0000071	Syab.g_00915	Syal.g_01601
OG0000072	Syab.g_02593	Syal.g_00914
OG0000073	Syab.g_02119	Syal.g_02920
OG0000075	Syab.g_00202	Syal.g_01350
OG0000076	Syab.g_00113	Syal.g_01459
OG0000077	Syab.g_02446	Syal.g_00763, Syal.g_00506
OG0000078	Syab.g_02366	Syal.g_00680
OG0000079	Syab.g_00340	Syal.g_01213
OG0000080	Syab.g_00140	Syal.g_01394
OG0000081	Syab.g_01793	Syal.g_02555
OG0000082	Syab.g_01971	Syal.g_02769
OG0000084	Syab.g_00781	Syal.g_01896, Syal.g_00023
OG0000085	Syab.g_02243	Syal.g_00575
OG0000086	Syab.g_02468	Syal.g_00784
OG0000087	Syab.g_02551	Syal.g_00871
OG0000088	Syab.g_02586	Syal.g_00908
OG0000089	Syab.g_00551	Syal.g_00555
OG0000090	Syab.g_02041	Syal.g_02838
OG0000091	Syab.g_01866	Syal.g_02628
OG0000092	Syab.g_00690	Syal.g_00470
OG0000093	Syab.g_01582	Syal.g_02233
OG0000094	Syab.g_01306	Syal.g_01907
OG0000095	Syab.g_01210	Syal.g_01823
OG0000097	Syab.g_01051	Syal.g_01735
OG0000098	Syab.g_01553	Syal.g_02196
OG0000099	Syab.g_00230	Syal.g_01323
OG0000100	Syab.g_01694	Syal.g_02448
OG0000101	Syab.g_00446	Syal.g_00275
OG0000102	Syab.g_00104	Syal.g_01488
OG0000103	Syab.g_02895	Syal.g_00077
OG0000103	Syab.g_01296	Syal.g_01897
OG0000104	Syab.g_02910	Syal.g_00092
OG0000105	Syab.g_00303	Syal.g_01255
OG0000106	Syab.g_01817	Syal.g_02577
OG0000107	Syab.g_00367	Syal.g_00194
OG0000108	Syab.g_02096	Syal.g_02897
OG0000109	Syab.g_02112	Syal.g_02913
OG0000110	Syab.g_01984	Syal.g_02782
OG0000111	Syab.g_01201	Syal.g_01813
OG0000112	Syab.g_01392	Syal.g_02000
OG0000113	Syab.g_01689	Syal.g_02443
OG0000114	Syab.g_02656, Syab.g_01633	Syal.g_02286
OG0000115	Syab.g_00748	Syal.g_00404
OG0000116	Syab.g_00945	Syal.g_01630
OG0000117	Syab.g_01018	Syal.g_01704
OG0000118	Syab.g_00897	Syal.g_01583
OG0000120	Syab.g_00229	Syal.g_01324
OG0000121	Syab.g_00772	Syal.g_00374
OG0000122	Syab.g_01839	Syal.g_02602
OG0000123	Syab.g_00454	Syal.g_00283
OG0000124	Syab.g_00088	Syal.g_01519
OG0000125	Syab.g_02763	Syal.g_01075
OG0000126	Syab.g_02908	Syal.g_00090
OG0000128	Syab.g_00012	Syal.g_00109
OG0000129	Syab.g_02749	Syal.g_01062
OG0000130	Syab.g_02434	Syal.g_00751
OG0000131	Syab.g_02564	Syal.g_00886
OG0000132	Syab.g_02584	Syal.g_00906
OG0000133	Syab.g_01387	Syal.g_01995
OG0000134	Syab.g_00554	Syal.g_00552
OG0000135	Syab.g_02815	Syal.g_01119
OG0000136	Syab.g_00588	Syal.g_00520
OG0000137	Syab.g_00697	Syal.g_00463
OG0000138	Syab.g_02113	Syal.g_02914
OG0000139	Syab.g_02035	Syal.g_02832
OG0000140	Syab.g_02033	Syal.g_02830
OG0000141	Syab.g_01931	Syal.g_02738
OG0000142	Syab.g_01873	Syal.g_02636
OG0000143	Syab.g_01870	Syal.g_02632
OG0000144	Syab.g_01757	Syal.g_02515
OG0000145	Syab.g_02120	Syal.g_02921
OG0000146	Syab.g_01393	Syal.g_02001
OG0000147	Syab.g_01394	Syal.g_02002
OG0000148	Syab.g_01682	Syal.g_02437
OG0000149	Syab.g_01720	Syal.g_02475
OG0000150	Syab.g_01930	Syal.g_02737
OG0000151	Syab.g_01612	Syal.g_02263
OG0000152	Syab.g_01383	Syal.g_01991
OG0000153	Syab.g_01343	Syal.g_01958
OG0000154	Syab.g_01317	Syal.g_01918
OG0000155	Syab.g_01009	Syal.g_01695
OG0000156	Syab.g_00933	Syal.g_01620
OG0000157	Syab.g_00932	Syal.g_01619
OG0000158	Syab.g_00161	Syal.g_01431
OG0000159	Syab.g_00148	Syal.g_01400
OG0000160	Syab.g_00774	Syal.g_00372
OG0000161	Syab.g_00766	Syal.g_00384
OG0000162	Syab.g_00755	Syal.g_00396
OG0000163	Syab.g_02173	Syal.g_02971
OG0000164	Syab.g_02307	Syal.g_00623
OG0000165	Syab.g_02316	Syal.g_00632
OG0000166	Syab.g_00407	Syal.g_00236
OG0000167	Syab.g_00205	Syal.g_01347
OG0000168	Syab.g_00136	Syal.g_01433
OG0000169	Syab.g_00125	Syal.g_01447
OG0000170	Syab.g_00118	Syal.g_01454
OG0000171	Syab.g_00089	Syal.g_01518
OG0000172	Syab.g_00080	Syal.g_00174, Syal.g_00173
OG0000173	Syab.g_00061	Syal.g_00155
OG0000174	Syab.g_02819	Syal.g_01121
OG0000175	Syab.g_02876	Syal.g_01172
OG0000176	Syab.g_00004	Syal.g_00101
OG0000177	Syab.g_00005	Syal.g_00102
OG0000178	Syab.g_00006	Syal.g_00103
OG0000179	Syab.g_00022	Syal.g_00118
OG0000180	Syab.g_00023	Syal.g_00119
OG0000181	Syab.g_00024	Syal.g_00120
OG0000182	Syab.g_00025	Syal.g_00121
OG0000183	Syab.g_00029	Syal.g_00125
OG0000184	Syab.g_02738	Syal.g_02678, Syal.g_01050
OG0000185	Syab.g_02715	Syal.g_01025
OG0000186	Syab.g_02430	Syal.g_02684, Syal.g_00747
OG0000187	Syab.g_02431	Syal.g_02685, Syal.g_00748
OG0000188	Syab.g_02454	Syal.g_00771
OG0000189	Syab.g_02487	Syal.g_00807
OG0000190	Syab.g_00190, Syab.g_00139	Syal.g_01364
OG0000191	Syab.g_02522	Syal.g_00841
OG0000192	Syab.g_02528	Syal.g_00847
OG0000193	Syab.g_02565	Syal.g_00887
OG0000194	Syab.g_02568	Syal.g_00890
OG0000195	Syab.g_02570	Syal.g_00892
OG0000196	Syab.g_02581	Syal.g_00903
OG0000197	Syab.g_02582	Syal.g_00904
OG0000198	Syab.g_02583	Syal.g_00905
OG0000199	Syab.g_02591	Syal.g_00913
OG0000200	Syab.g_02611	Syal.g_00932
OG0000201	Syab.g_02628	Syal.g_00949
OG0000202	Syab.g_02629	Syal.g_00950
OG0000203	Syab.g_02630	Syal.g_00951
OG0000204	Syab.g_02631	Syal.g_00952
OG0000205	Syab.g_02638	Syal.g_00959
OG0000206	Syab.g_02674	Syal.g_00971
OG0000207	Syab.g_02677	Syal.g_00974
OG0000208	Syab.g_02678	Syal.g_00975
OG0000209	Syab.g_02698	Syal.g_01000
OG0000210	Syab.g_02699	Syal.g_01001
OG0000211	Syab.g_02374	Syal.g_00688
OG0000212	Syab.g_02365	Syal.g_00679
OG0000213	Syab.g_00332	Syal.g_01229
OG0000214	Syab.g_00312	Syal.g_01246
OG0000215	Syab.g_00281	Syal.g_01277
OG0000216	Syab.g_00277	Syal.g_01281
OG0000217	Syab.g_00273	Syal.g_01285
OG0000218	Syab.g_00271	Syal.g_01287
OG0000219	Syab.g_00270	Syal.g_01288
OG0000220	Syab.g_00269	Syal.g_01289
OG0000221	Syab.g_00257	Syal.g_01297
OG0000222	Syab.g_00244	Syal.g_01309
OG0000223	Syab.g_00226	Syal.g_01327
OG0000224	Syab.g_00223	Syal.g_01329
OG0000225	Syab.g_00538	Syal.g_00363
OG0000226	Syab.g_00542	Syal.g_00367
OG0000227	Syab.g_00544	Syal.g_00369
OG0000228	Syab.g_00550	Syal.g_00556
OG0000229	Syab.g_00583	Syal.g_00525
OG0000230	Syab.g_00585	Syal.g_00523
OG0000231	Syab.g_00613	Syal.g_00510
OG0000232	Syab.g_00631	Syal.g_00495
OG0000233	Syab.g_00645	Syal.g_00487
OG0000234	Syab.g_00699	Syal.g_00461
OG0000235	Syab.g_02095	Syal.g_02896
OG0000236	Syab.g_02111	Syal.g_02912
OG0000237	Syab.g_02129	Syal.g_02930
OG0000238	Syab.g_02134	Syal.g_02935
OG0000239	Syab.g_02151	Syal.g_02951
OG0000240	Syab.g_02152	Syal.g_02952
OG0000241	Syab.g_01884	Syal.g_02696
OG0000242	Syab.g_02043	Syal.g_02840
OG0000243	Syab.g_02025	Syal.g_02822
OG0000244	Syab.g_02017	Syal.g_02815
OG0000245	Syab.g_02015	Syal.g_02813
OG0000246	Syab.g_02011	Syal.g_02809
OG0000247	Syab.g_01999	Syal.g_02797
OG0000248	Syab.g_01996	Syal.g_02794
OG0000249	Syab.g_01994	Syal.g_02792
OG0000250	Syab.g_01988	Syal.g_02786
OG0000251	Syab.g_01961	Syal.g_02760
OG0000252	Syab.g_01958	Syal.g_02757
OG0000253	Syab.g_01956	Syal.g_02755
OG0000254	Syab.g_01925	Syal.g_02732
OG0000255	Syab.g_01912	Syal.g_02719
OG0000256	Syab.g_01890	Syal.g_02705
OG0000257	Syab.g_01885	Syal.g_02697
OG0000258	Syab.g_01861	Syal.g_02623
OG0000259	Syab.g_01538	Syal.g_02182
OG0000260	Syab.g_01544	Syal.g_02188
OG0000261	Syab.g_01556	Syal.g_02199
OG0000262	Syab.g_01561	Syal.g_02204
OG0000263	Syab.g_01035	Syal.g_01720
OG0000264	Syab.g_01173	Syal.g_01788
OG0000265	Syab.g_01773	Syal.g_02534
OG0000266	Syab.g_01667	Syal.g_02421
OG0000267	Syab.g_01433	Syal.g_02043
OG0000268	Syab.g_01432	Syal.g_02042
OG0000269	Syab.g_01650	Syal.g_02409
OG0000270	Syab.g_01657	Syal.g_02412
OG0000271	Syab.g_01279	Syal.g_01871
OG0000272	Syab.g_01280	Syal.g_01872
OG0000273	Syab.g_01699	Syal.g_02454
OG0000274	Syab.g_01700	Syal.g_02455
OG0000275	Syab.g_01704	Syal.g_02458
OG0000276	Syab.g_01712	Syal.g_02467
OG0000277	Syab.g_01713	Syal.g_02468
OG0000278	Syab.g_01716	Syal.g_02471
OG0000279	Syab.g_01724	Syal.g_02479
OG0000280	Syab.g_01736	Syal.g_02493
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Syal.g_02190
OG0000282	Syab.g_01631	Syal.g_02284
OG0000283	Syab.g_01418	Syal.g_02028
OG0000284	Syab.g_01413	Syal.g_02023
OG0000285	Syab.g_01402	Syal.g_02012
OG0000286	Syab.g_01384	Syal.g_01992
OG0000287	Syab.g_01350	Syal.g_01965
OG0000288	Syab.g_01318	Syal.g_01919
OG0000289	Syab.g_01303	Syal.g_01904
OG0000290	Syab.g_01213	Syal.g_01826
OG0000291	Syab.g_01211	Syal.g_01824
OG0000292	Syab.g_02907	Syal.g_00089
OG0000293	Syab.g_00946	Syal.g_01631
OG0000294	Syab.g_00947	Syal.g_01632
OG0000295	Syab.g_01001	Syal.g_01687
OG0000296	Syab.g_01003	Syal.g_01689
OG0000297	Syab.g_01016	Syal.g_01702
OG0000298	Syab.g_01017	Syal.g_01703
OG0000299	Syab.g_01047	Syal.g_01732
OG0000300	Syab.g_01054	Syal.g_01738
OG0000301	Syab.g_01055	Syal.g_01739
OG0000302	Syab.g_01056	Syal.g_01740
OG0000303	Syab.g_01149	Syal.g_01763
OG0000304	Syab.g_01143	Syal.g_01756
OG0000305	Syab.g_01208	Syal.g_01821
OG0000306	Syab.g_01819	Syal.g_02579
OG0000307	Syab.g_02078	Syal.g_02880
OG0000308	Syab.g_02076	Syal.g_02878
OG0000309	Syab.g_02071	Syal.g_02873
OG0000310	Syab.g_00817	Syal.g_01537
OG0000311	Syab.g_00811	Syal.g_00061
OG0000312	Syab.g_00793	Syal.g_00031
