Orthogroup	Syab	Pras
OG0000000	Syab.g_01226	Pras.g_00184
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Pras.g_00235
OG0000002	Syab.g_02285	Pras.g_00243, Pras.g_01554
OG0000004	Syab.g_00549, Syab.g_01193	Pras.g_01571
OG0000004	Syab.g_01911, Syab.g_02377	Pras.g_01084
OG0000005	Syab.g_02289	Pras.g_00563
OG0000005	Syab.g_02806, Syab.g_02232	Pras.g_00429
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Pras.g_00148, Pras.g_01093
OG0000007	Syab.g_02117	Pras.g_01375
OG0000007	Syab.g_02256	Pras.g_00550
OG0000009	Syab.g_00995	Pras.g_00157, Pras.g_00463
OG0000009	Syab.g_02498	Pras.g_00956
OG0000010	Syab.g_00696	Pras.g_00523, Pras.g_01942
OG0000011	Syab.g_01491	Pras.g_00142, Pras.g_00166
OG0000012	Syab.g_01774, Syab.g_00953	Pras.g_01499
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Pras.g_01179
OG0000014	Syab.g_00249	Pras.g_01158
OG0000015	Syab.g_02889	Pras.g_00127
OG0000016	Syab.g_00014	Pras.g_00855
OG0000017	Syab.g_01953, Syab.g_01945	Pras.g_01474
OG0000018	Syab.g_00742	Pras.g_00037
OG0000019	Syab.g_00344	Pras.g_01101, Pras.g_01681
OG0000020	Syab.g_02230	Pras.g_00001, Pras.g_00530
OG0000022	Syab.g_01825	Pras.g_00019
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Pras.g_01213
OG0000024	Syab.g_01834	Pras.g_01645, Pras.g_01551
OG0000025	Syab.g_01705	Pras.g_01183, Pras.g_01735
OG0000026	Syab.g_00036	Pras.g_01949
OG0000027	Syab.g_01782	Pras.g_01348, Pras.g_00185
OG0000028	Syab.g_00234	Pras.g_00169, Pras.g_01172
OG0000030	Syab.g_00096, Syab.g_00095	Pras.g_00753
OG0000032	Syab.g_00149, Syab.g_00182	Pras.g_00326
