Orthogroup	Syab	Praq
OG0000000	Syab.g_01226	Praq.g_00117
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praq.g_00160
OG0000002	Syab.g_02285	Praq.g_00168, Praq.g_00807
OG0000004	Syab.g_00549, Syab.g_01193	Praq.g_00824
OG0000004	Syab.g_01911, Syab.g_02377	Praq.g_01770
OG0000005	Syab.g_02289	Praq.g_00484
OG0000005	Syab.g_02806, Syab.g_02232	Praq.g_00370
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Praq.g_01761
OG0000007	Syab.g_02117	Praq.g_01105
OG0000007	Syab.g_02256	Praq.g_00497
OG0000008	Syab.g_01755	Praq.g_00071
OG0000009	Syab.g_00995	Praq.g_00017
OG0000009	Syab.g_02498	Praq.g_01898
OG0000010	Syab.g_00696	Praq.g_00552, Praq.g_01626
OG0000011	Syab.g_01491	Praq.g_00100
OG0000012	Syab.g_01774, Syab.g_00953	Praq.g_00979
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Praq.g_01675
OG0000014	Syab.g_00249	Praq.g_01696
OG0000015	Syab.g_02889	Praq.g_00065
OG0000017	Syab.g_01953, Syab.g_01945	Praq.g_01004
OG0000018	Syab.g_00742	Praq.g_01314
OG0000019	Syab.g_00344	Praq.g_01753, Praq.g_00649
OG0000020	Syab.g_02230	Praq.g_01281, Praq.g_00073, Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000022	Syab.g_01825	Praq.g_01296
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Praq.g_01184
OG0000024	Syab.g_01834	Praq.g_00618, Praq.g_00804
OG0000025	Syab.g_01705	Praq.g_01671, Praq.g_01432
OG0000026	Syab.g_00036	Praq.g_01633
OG0000027	Syab.g_01782	Praq.g_00521
OG0000028	Syab.g_00234	Praq.g_00103, Praq.g_01682
OG0000030	Syab.g_00096, Syab.g_00095	Praq.g_00772
OG0000031	Syab.g_00160	Praq.g_00209
OG0000032	Syab.g_00149	Praq.g_00202
OG0000034	Syab.g_00900, Syab.g_02560	Praq.g_00143
OG0000035	Syab.g_00776, Syab.g_00778	Praq.g_00294
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Praq.g_01894
OG0000038	Syab.g_02759, Syab.g_02761	Praq.g_00716
OG0000039	Syab.g_02791	Praq.g_00815
OG0000040	Syab.g_02853	Praq.g_01313
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Praq.g_00451
OG0000042	Syab.g_01019, Syab.g_00099	Praq.g_00770
OG0000044	Syab.g_01262, Syab.g_01256, Syab.g_01097	Praq.g_00058
OG0000045	Syab.g_01787	Praq.g_01172
OG0000045	Syab.g_00871	Praq.g_00567
OG0000047	Syab.g_00876	Praq.g_01672, Praq.g_01137
OG0000048	Syab.g_00308	Praq.g_01169
OG0000053	Syab.g_00746	Praq.g_01246, Praq.g_00314
OG0000054	Syab.g_01932	Praq.g_00996
OG0000055	Syab.g_01255	Praq.g_00650
OG0000057	Syab.g_01200	Praq.g_00827
OG0000059	Syab.g_00397	Praq.g_00927
OG0000061	Syab.g_00969	Praq.g_01333
OG0000062	Syab.g_02234	Praq.g_00372
OG0000063	Syab.g_00040	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syab.g_02500, Syab.g_01768	Praq.g_01896
OG0000066	Syab.g_01516, Syab.g_02031	Praq.g_01063
OG0000067	Syab.g_01659	Praq.g_00670
OG0000068	Syab.g_02087	Praq.g_00175
OG0000070	Syab.g_00614	Praq.g_01107
OG0000071	Syab.g_00915	Praq.g_00133
OG0000072	Syab.g_02593	Praq.g_01831
OG0000073	Syab.g_02119	Praq.g_01103
OG0000075	Syab.g_00202	Praq.g_00739
OG0000076	Syab.g_00113	Praq.g_01243, Praq.g_00763
OG0000077	Syab.g_02446	Praq.g_01925
OG0000078	Syab.g_02366	Praq.g_01763
OG0000081	Syab.g_01793	Praq.g_01071
OG0000082	Syab.g_01971	Praq.g_01018
OG0000084	Syab.g_00781	Praq.g_00290
OG0000086	Syab.g_02468	Praq.g_01915
OG0000087	Syab.g_02551	Praq.g_01864
OG0000088	Syab.g_02586	Praq.g_01836
OG0000089	Syab.g_00551	Praq.g_01188
OG0000090	Syab.g_02041	Praq.g_01069
OG0000091	Syab.g_01866	Praq.g_00960
OG0000092	Syab.g_01242, Syab.g_00690	Praq.g_00725
OG0000093	Syab.g_01582	Praq.g_01516
OG0000094	Syab.g_01306	Praq.g_01600
OG0000095	Syab.g_01210	Praq.g_01619
OG0000097	Syab.g_01051	Praq.g_01374
OG0000098	Syab.g_01553	Praq.g_00157
OG0000099	Syab.g_00230	Praq.g_00216
OG0000100	Syab.g_01694	Praq.g_00368
OG0000101	Syab.g_00446	Praq.g_00879
OG0000102	Syab.g_00104	Praq.g_00768
OG0000103	Syab.g_02895, Syab.g_01296	Praq.g_00414
OG0000104	Syab.g_02910	Praq.g_00422
OG0000105	Syab.g_00303	Praq.g_01729
OG0000106	Syab.g_01817	Praq.g_01173
OG0000107	Syab.g_00367	Praq.g_01158
OG0000108	Syab.g_02096	Praq.g_00531
OG0000109	Syab.g_02112	Praq.g_00545
OG0000110	Syab.g_01984	Praq.g_01028
OG0000111	Syab.g_01201	Praq.g_00828
OG0000112	Syab.g_01392	Praq.g_00638
OG0000113	Syab.g_01689	Praq.g_01420
OG0000114	Syab.g_02656, Syab.g_01633	Praq.g_01490
OG0000115	Syab.g_00748	Praq.g_01278
OG0000116	Syab.g_00945	Praq.g_01323
OG0000117	Syab.g_01018	Praq.g_00084
OG0000118	Syab.g_00897	Praq.g_00145
OG0000120	Syab.g_00229	Praq.g_00208
OG0000121	Syab.g_00772	Praq.g_00296
OG0000122	Syab.g_01839	Praq.g_00334
OG0000123	Syab.g_00454	Praq.g_00873
OG0000124	Syab.g_00088	Praq.g_00682
OG0000125	Syab.g_02763	Praq.g_00718
OG0000126	Syab.g_02908	Praq.g_00421
OG0000128	Syab.g_00012	Praq.g_00437
OG0000129	Syab.g_02749	Praq.g_01259
OG0000130	Syab.g_02434	Praq.g_01934
OG0000131	Syab.g_02564	Praq.g_01857
OG0000132	Syab.g_02584	Praq.g_01838
OG0000133	Syab.g_01387	Praq.g_01680
OG0000134	Syab.g_00554	Praq.g_01187
OG0000135	Syab.g_02815	Praq.g_01160
OG0000136	Syab.g_00588	Praq.g_01116
OG0000137	Syab.g_00697	Praq.g_00526
OG0000138	Syab.g_02113	Praq.g_00546
OG0000139	Syab.g_02035	Praq.g_01065
OG0000140	Syab.g_02033	Praq.g_01064
OG0000141	Syab.g_01931	Praq.g_00995
OG0000142	Syab.g_01524, Syab.g_01873	Praq.g_00967
