Orthogroup	Prbk	Syak
OG0000001	Prbk.g_00561, Prbk.g_02701	Syak.g_02138
OG0000004	Prbk.g_01760	Syak.g_01219, Syak.g_00720
OG0000004	Prbk.g_01134	Syak.g_00003, Syak.g_02297
OG0000005	Prbk.g_00933	Syak.g_00885, Syak.g_02436
OG0000006	Prbk.g_02695	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbk.g_00907	Syak.g_02416
OG0000008	Prbk.g_01819	Syak.g_00267
OG0000008	Prbk.g_01820	Syak.g_00692
OG0000009	Prbk.g_01932, Prbk.g_00013	Syak.g_02194
OG0000010	Prbk.g_02112	Syak.g_01119
OG0000012	Prbk.g_02610	Syak.g_00010
OG0000013	Prbk.g_00853	Syak.g_01270, Syak.g_01275
OG0000014	Prbk.g_00454	Syak.g_01505
OG0000015	Prbk.g_02558	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000017	Prbk.g_01142	Syak.g_02730
OG0000017	Prbk.g_01150	Syak.g_02738
OG0000018	Prbk.g_01227	Syak.g_01072
OG0000019	Prbk.g_01644, Prbk.g_01004	Syak.g_01413
OG0000021	Prbk.g_01960, Prbk.g_01137	Syak.g_00566
OG0000022	Prbk.g_01667	Syak.g_00088
OG0000023	Prbk.g_02448	Syak.g_00316, Syak.g_00223
OG0000025	Prbk.g_02531	Syak.g_00610
OG0000026	Prbk.g_01617	Syak.g_01757
OG0000028	Prbk.g_00469	Syak.g_01522
OG0000029	Prbk.g_00833	Syak.g_00169, Syak.g_00178
OG0000030	Prbk.g_01532	Syak.g_01684
OG0000030	Prbk.g_01533	Syak.g_01685
OG0000031	Prbk.g_00534, Prbk.g_00539	Syak.g_01630
OG0000032	Prbk.g_01209	Syak.g_01092
OG0000032	Prbk.g_00480	Syak.g_01707
OG0000033	Prbk.g_00776	Syak.g_02101
OG0000034	Prbk.g_01171	Syak.g_00950, Syak.g_02133
OG0000035	Prbk.g_00259	Syak.g_01040
OG0000036	Prbk.g_01948	Syak.g_02275
OG0000037	Prbk.g_00007	Syak.g_02188
OG0000038	Prbk.g_02164	Syak.g_01938
OG0000038	Prbk.g_02166	Syak.g_01936
OG0000039	Prbk.g_00642	Syak.g_01918
OG0000041	Prbk.g_01406	Syak.g_02354, Syak.g_00752
OG0000042	Prbk.g_01495, Prbk.g_00140	Syak.g_00843, Syak.g_01681
OG0000045	Prbk.g_01321	Syak.g_00317
OG0000046	Prbk.g_00854	Syak.g_01269, Syak.g_01276
OG0000047	Prbk.g_01202, Prbk.g_02565	Syak.g_01147
OG0000048	Prbk.g_00405	Syak.g_01446
OG0000052	Prbk.g_00499	Syak.g_01549
OG0000053	Prbk.g_01230	Syak.g_01068
OG0000054	Prbk.g_01153	Syak.g_02744, Syak.g_02321
OG0000057	Prbk.g_01765	Syak.g_00724, Syak.g_01676
OG0000058	Prbk.g_00479	Syak.g_01530
OG0000059	Prbk.g_00992	Syak.g_01355
OG0000060	Prbk.g_02058	Syak.g_02572
OG0000061	Prbk.g_01019	Syak.g_00898
OG0000062	Prbk.g_00931	Syak.g_02434
OG0000063	Prbk.g_01613	Syak.g_01752
OG0000065	Prbk.g_00011	Syak.g_02192
OG0000066	Prbk.g_01094	Syak.g_02653
OG0000067	Prbk.g_02468	Syak.g_00434
OG0000068	Prbk.g_02052	Syak.g_02565
OG0000070	Prbk.g_00310	Syak.g_01174
OG0000071	Prbk.g_01183	Syak.g_02322, Syak.g_00936
OG0000072	Prbk.g_00778	Syak.g_02099
OG0000073	Prbk.g_01862	Syak.g_02597
OG0000075	Prbk.g_00514	Syak.g_01564
OG0000076	Prbk.g_00237	Syak.g_01650
OG0000077	Prbk.g_00307, Prbk.g_01308	Syak.g_02243
OG0000078	Prbk.g_01515	Syak.g_02310
OG0000079	Prbk.g_01000	Syak.g_01417
OG0000081	Prbk.g_00733, Prbk.g_01772	Syak.g_00115
OG0000082	Prbk.g_01122	Syak.g_02711
OG0000084	Prbk.g_00255	Syak.g_01036
OG0000085	Prbk.g_00919	Syak.g_02427
OG0000086	Prbk.g_01295	Syak.g_02219
OG0000087	Prbk.g_00559	Syak.g_02141
OG0000088	Prbk.g_00773, Prbk.g_01836	Syak.g_02106
OG0000089	Prbk.g_00364	Syak.g_01215
OG0000090	Prbk.g_01080	Syak.g_02640
OG0000091	Prbk.g_02639	Syak.g_00043
OG0000093	Prbk.g_02444	Syak.g_00416
OG0000094	Prbk.g_02190	Syak.g_00656
OG0000095	Prbk.g_00056	Syak.g_00736
OG0000097	Prbk.g_00189	Syak.g_00816
OG0000098	Prbk.g_01199	Syak.g_00345, Syak.g_02651
OG0000099	Prbk.g_00476	Syak.g_01527
OG0000100	Prbk.g_01360, Prbk.g_02498	Syak.g_00622
OG0000101	Prbk.g_00944	Syak.g_01305
OG0000102	Prbk.g_01484	Syak.g_01661
OG0000103	Prbk.g_02260	Syak.g_01812
OG0000104	Prbk.g_02274	Syak.g_01799
OG0000105	Prbk.g_00409	Syak.g_01451
OG0000106	Prbk.g_00925	Syak.g_00096
