Orthogroup	Prbk	Syap
OG0000001	Prbk.g_00561, Prbk.g_02701	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Prbk.g_00630	Syap.g_00399
OG0000004	Prbk.g_01134	Syap.g_01987
OG0000005	Prbk.g_00933	Syap.g_01218
OG0000006	Prbk.g_02695	Syap.g_02770
OG0000007	Prbk.g_00907	Syap.g_00621
OG0000009	Prbk.g_01932, Prbk.g_00013	Syap.g_02081
OG0000010	Prbk.g_02112	Syap.g_02757
OG0000013	Prbk.g_00853	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbk.g_00454	Syap.g_01675
OG0000015	Prbk.g_02558	Syap.g_02606, Syap.g_00786
OG0000018	Prbk.g_01227	Syap.g_02010
OG0000019	Prbk.g_01004	Syap.g_01586
OG0000025	Prbk.g_02531	Syap.g_01846
OG0000028	Prbk.g_00469	Syap.g_01658
OG0000030	Prbk.g_01532	Syap.g_00787
OG0000030	Prbk.g_01533	Syap.g_00788
OG0000031	Prbk.g_00534, Prbk.g_00539	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000032	Prbk.g_00480	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prbk.g_00776	Syap.g_01198
OG0000034	Prbk.g_01171	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbk.g_00259	Syap.g_02125, Syap.g_02465
OG0000037	Prbk.g_00007	Syap.g_02492
OG0000038	Prbk.g_02166	Syap.g_00139
OG0000039	Prbk.g_01385, Prbk.g_00642	Syap.g_01749, Syap.g_01748
OG0000042	Prbk.g_01495, Prbk.g_00140	Syap.g_01891, Syap.g_01120
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syap.g_00378
OG0000045	Prbk.g_01321	Syap.g_02525
OG0000046	Prbk.g_00854	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbk.g_00405	Syap.g_02340
OG0000051	Prbk.g_01709, Prbk.g_02418	Syap.g_01574
OG0000053	Prbk.g_01230	Syap.g_02006
OG0000054	Prbk.g_01153	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prbk.g_01765	Syap.g_01569
OG0000058	Prbk.g_00479	Syap.g_02074
OG0000059	Prbk.g_00533	Syap.g_01082, Syap.g_02478
OG0000059	Prbk.g_00992	Syap.g_01918
OG0000061	Prbk.g_01019	Syap.g_00228
OG0000062	Prbk.g_00931	Syap.g_01220
OG0000063	Prbk.g_01613	Syap.g_01796
OG0000066	Prbk.g_01094	Syap.g_01972
OG0000068	Prbk.g_02052	Syap.g_00108, Syap.g_00144
OG0000070	Prbk.g_00310	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prbk.g_01183	Syap.g_01483
OG0000072	Prbk.g_00778	Syap.g_00555
OG0000073	Prbk.g_01862	Syap.g_00273
OG0000075	Prbk.g_00514	Syap.g_01064, Syap.g_00664
OG0000076	Prbk.g_00237	Syap.g_01111
OG0000077	Prbk.g_00307	Syap.g_00416
OG0000078	Prbk.g_01515	Syap.g_01149
OG0000079	Prbk.g_01000	Syap.g_01589
OG0000085	Prbk.g_00919	Syap.g_00611
OG0000087	Prbk.g_00559	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbk.g_01836	Syap.g_01202
OG0000089	Prbk.g_00364	Syap.g_00115, Syap.g_02042
OG0000090	Prbk.g_01080	Syap.g_01451
OG0000091	Prbk.g_02639	Syap.g_01861
OG0000094	Prbk.g_02190	Syap.g_02781
OG0000095	Prbk.g_00056	Syap.g_01556
OG0000098	Prbk.g_01199	Syap.g_01975
OG0000099	Prbk.g_00476	Syap.g_01385
OG0000101	Prbk.g_00796	Syap.g_00472
OG0000102	Prbk.g_01484	Syap.g_01116
OG0000103	Prbk.g_02260	Syap.g_02607, Syap.g_02608
OG0000104	Prbk.g_02274	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbk.g_00409	Syap.g_01369, Syap.g_01368
OG0000107	Prbk.g_01902	Syap.g_02496
OG0000108	Prbk.g_02061	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prbk.g_02077	Syap.g_00279, Syap.g_02237
OG0000110	Prbk.g_01110	Syap.g_01313
OG0000111	Prbk.g_01766	Syap.g_01566, Syap.g_01568
OG0000112	Prbk.g_02332	Syap.g_02023
OG0000113	Prbk.g_02493	Syap.g_02714
OG0000114	Prbk.g_02396	Syap.g_01255
OG0000115	Prbk.g_01234	Syap.g_02004
OG0000116	Prbk.g_01034	Syap.g_00241
OG0000117	Prbk.g_01496	Syap.g_01889
OG0000118	Prbk.g_01169	Syap.g_02286
OG0000120	Prbk.g_00477	Syap.g_02075
OG0000121	Prbk.g_00267, Prbk.g_00261	Syap.g_02471
OG0000123	Prbk.g_00805	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbk.g_01539	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbk.g_02168	Syap.g_01046, Syap.g_01047
