Orthogroup	Prbk	Prav
OG0000000	Prbk.g_00167, Prbk.g_00166	Prav.g_01736, Prav.g_01415
OG0000000	Prbk.g_00165	Prav.g_01695, Prav.g_00973
OG0000001	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prav.g_01458
OG0000002	Prbk.g_02574	Prav.g_01466
OG0000002	Prbk.g_01649	Prav.g_01276
OG0000004	Prbk.g_01760	Prav.g_01293
OG0000004	Prbk.g_01134	Prav.g_00806
OG0000005	Prbk.g_00933	Prav.g_01654
OG0000006	Prbk.g_02695	Prav.g_02001
OG0000007	Prbk.g_00907	Prav.g_01761
OG0000008	Prbk.g_01819	Prav.g_01749
OG0000008	Prbk.g_01820	Prav.g_01750
OG0000009	Prbk.g_01932, Prbk.g_00013	Prav.g_00170
OG0000010	Prbk.g_02112	Prav.g_00218
OG0000011	Prbk.g_01851	Prav.g_01014, Prav.g_01407
OG0000012	Prbk.g_02610	Prav.g_01221
OG0000013	Prbk.g_00853	Prav.g_01973
OG0000014	Prbk.g_00454	Prav.g_01952
OG0000015	Prbk.g_02558	Prav.g_00363, Prav.g_00961
OG0000017	Prbk.g_01142, Prbk.g_01150	Prav.g_01194
OG0000018	Prbk.g_01227	Prav.g_00046
OG0000019	Prbk.g_01644, Prbk.g_01004	Prav.g_01896, Prav.g_00375
OG0000020	Prbk.g_01331, Prbk.g_02697	Prav.g_01386
OG0000021	Prbk.g_01960, Prbk.g_01137	Prav.g_00984
OG0000022	Prbk.g_01667	Prav.g_00029
OG0000022	Prbk.g_00212	Prav.g_00360
OG0000023	Prbk.g_02448	Prav.g_00979
OG0000024	Prbk.g_01780	Prav.g_00343, Prav.g_01273
OG0000025	Prbk.g_02531	Prav.g_01977, Prav.g_00431
OG0000026	Prbk.g_01617	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000028	Prbk.g_00469	Prav.g_01966
OG0000029	Prbk.g_00833	Prav.g_00350
OG0000030	Prbk.g_01532, Prbk.g_01533	Prav.g_00699
OG0000032	Prbk.g_00480	Prav.g_01499
OG0000034	Prbk.g_01171	Prav.g_01448
OG0000035	Prbk.g_00259	Prav.g_01578
OG0000037	Prbk.g_00007	Prav.g_00174
OG0000038	Prbk.g_02164, Prbk.g_02166	Prav.g_00739
OG0000039	Prbk.g_01385, Prbk.g_00642	Prav.g_01284
OG0000041	Prbk.g_01406	Prav.g_01808
OG0000042	Prbk.g_01495, Prbk.g_00140	Prav.g_00696
OG0000047	Prbk.g_01202	Prav.g_01976
OG0000048	Prbk.g_00405	Prav.g_00993
OG0000053	Prbk.g_01230	Prav.g_01598
OG0000054	Prbk.g_01153	Prav.g_01202
OG0000056	Prbk.g_02591, Prbk.g_00841, Prbk.g_00094	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Prbk.g_01765	Prav.g_01296
OG0000059	Prbk.g_00992	Prav.g_00292
OG0000060	Prbk.g_02058, Prbk.g_01286	Prav.g_00964
OG0000061	Prbk.g_01019	Prav.g_00065
OG0000062	Prbk.g_00931	Prav.g_01656
OG0000063	Prbk.g_01613	Prav.g_00101
OG0000065	Prbk.g_00011	Prav.g_00172
OG0000066	Prbk.g_01094	Prav.g_01137
OG0000067	Prbk.g_02468	Prav.g_00397
OG0000068	Prbk.g_02052	Prav.g_01473
OG0000070	Prbk.g_00310	Prav.g_01049
OG0000071	Prbk.g_01183	Prav.g_01438
OG0000072	Prbk.g_00778	Prav.g_00867
OG0000073	Prbk.g_01862	Prav.g_01097
OG0000075	Prbk.g_00514	Prav.g_00665
OG0000076	Prbk.g_00237	Prav.g_00689
OG0000077	Prbk.g_00307, Prbk.g_01308	Prav.g_00143
OG0000078	Prbk.g_01515	Prav.g_00799
OG0000079	Prbk.g_01000	Prav.g_01899
OG0000081	Prbk.g_00733, Prbk.g_01772	Prav.g_01129
OG0000082	Prbk.g_01122	Prav.g_01182
OG0000084	Prbk.g_00255	Prav.g_01574
OG0000085	Prbk.g_00919	Prav.g_01754
OG0000086	Prbk.g_01295	Prav.g_00153
OG0000087	Prbk.g_00559	Prav.g_00204
OG0000088	Prbk.g_00773, Prbk.g_01836	Prav.g_00872
OG0000089	Prbk.g_00364	Prav.g_00975
OG0000090	Prbk.g_01080	Prav.g_01131
OG0000091	Prbk.g_02639	Prav.g_01240
OG0000093	Prbk.g_02444	Prav.g_00525
OG0000094	Prbk.g_02190	Prav.g_00914
OG0000095	Prbk.g_00056	Prav.g_00933
OG0000097	Prbk.g_00189	Prav.g_01840
OG0000098	Prbk.g_01199	Prav.g_01455
OG0000099	Prbk.g_00476	Prav.g_01514
OG0000100	Prbk.g_01360, Prbk.g_02498	Prav.g_01652
OG0000101	Prbk.g_00796, Prbk.g_00944	Prav.g_00632
OG0000102	Prbk.g_01484	Prav.g_00694
OG0000103	Prbk.g_02260	Prav.g_00773
OG0000104	Prbk.g_02274	Prav.g_00782
OG0000105	Prbk.g_00409	Prav.g_01920
OG0000106	Prbk.g_00925	Prav.g_00989
OG0000107	Prbk.g_01902	Prav.g_01001
OG0000108	Prbk.g_02061	Prav.g_01078
OG0000109	Prbk.g_02077	Prav.g_01092
OG0000110	Prbk.g_01110	Prav.g_01172
OG0000111	Prbk.g_01766	Prav.g_01297
OG0000112	Prbk.g_02332	Prav.g_00364
OG0000113	Prbk.g_02493	Prav.g_00419
OG0000114	Prbk.g_02396	Prav.g_00499
OG0000115	Prbk.g_01234	Prav.g_00010
OG0000116	Prbk.g_01034	Prav.g_00055
OG0000117	Prbk.g_01496	Prav.g_01390
OG0000118	Prbk.g_01169	Prav.g_01450
OG0000119	Prbk.g_01746, Prbk.g_01786	Prav.g_01469
OG0000120	Prbk.g_00477	Prav.g_01513
OG0000121	Prbk.g_00267, Prbk.g_00261	Prav.g_01580
OG0000122	Prbk.g_02664	Prav.g_01618
OG0000123	Prbk.g_00805	Prav.g_00639
OG0000124	Prbk.g_01539	Prav.g_00705
OG0000125	Prbk.g_02168	Prav.g_00741
OG0000126	Prbk.g_02272	Prav.g_00781
OG0000127	Prbk.g_01335	Prav.g_00965
OG0000128	Prbk.g_02290	Prav.g_00079
OG0000129	Prbk.g_02156	Prav.g_00115
OG0000130	Prbk.g_01320	Prav.g_00134
OG0000131	Prbk.g_00751	Prav.g_00212
OG0000132	Prbk.g_00771	Prav.g_00874
OG0000133	Prbk.g_00472	Prav.g_01968
OG0000134	Prbk.g_00361	Prav.g_00976
OG0000135	Prbk.g_02209	Prav.g_00999
OG0000136	Prbk.g_00323	Prav.g_01040
OG0000137	Prbk.g_02113	Prav.g_01073
OG0000138	Prbk.g_02078	Prav.g_01093
OG0000139	Prbk.g_01086	Prav.g_01135
OG0000140	Prbk.g_01092	Prav.g_01136
OG0000141	Prbk.g_01154	Prav.g_01203
OG0000142	Prbk.g_02631	Prav.g_01233
OG0000143	Prbk.g_02635	Prav.g_01237
OG0000144	Prbk.g_00739	Prav.g_01250
OG0000145	Prbk.g_01863	Prav.g_00362
OG0000146	Prbk.g_02333	Prav.g_00365
OG0000147	Prbk.g_02334	Prav.g_00366
OG0000148	Prbk.g_02487	Prav.g_00413
OG0000149	Prbk.g_02544	Prav.g_00443
OG0000150	Prbk.g_02567	Prav.g_00451
OG0000151	Prbk.g_02417	Prav.g_00509
OG0000152	Prbk.g_02324	Prav.g_00556
OG0000153	Prbk.g_02297	Prav.g_00575
OG0000154	Prbk.g_00584	Prav.g_00907
OG0000155	Prbk.g_00099	Prav.g_01861
OG0000156	Prbk.g_00164	Prav.g_01427
OG0000157	Prbk.g_00163	Prav.g_01428
OG0000158	Prbk.g_00526	Prav.g_01505
OG0000160	Prbk.g_00260	Prav.g_01579
OG0000161	Prbk.g_00274	Prav.g_01585
OG0000162	Prbk.g_00280	Prav.g_01591
OG0000163	Prbk.g_02002	Prav.g_01625
OG0000164	Prbk.g_01432	Prav.g_01785
OG0000165	Prbk.g_01423	Prav.g_01792
OG0000166	Prbk.g_00982	Prav.g_00596
OG0000167	Prbk.g_00512	Prav.g_00663
OG0000168	Prbk.g_00527	Prav.g_00673
OG0000169	Prbk.g_00220	Prav.g_00683
OG0000170	Prbk.g_00232	Prav.g_00685
OG0000171	Prbk.g_01538	Prav.g_00704
OG0000172	Prbk.g_01573	Prav.g_00712
OG0000173	Prbk.g_01594	Prav.g_00727
OG0000174	Prbk.g_02211	Prav.g_00755
OG0000175	Prbk.g_02249	Prav.g_00765
OG0000176	Prbk.g_02282	Prav.g_00790
OG0000177	Prbk.g_02283	Prav.g_00791
OG0000178	Prbk.g_02284	Prav.g_00792
OG0000179	Prbk.g_01633	Prav.g_00084
OG0000180	Prbk.g_01632	Prav.g_00085
OG0000181	Prbk.g_01631	Prav.g_00086
OG0000182	Prbk.g_01630	Prav.g_00087
OG0000183	Prbk.g_01626	Prav.g_00091
OG0000184	Prbk.g_02148	Prav.g_00117
OG0000185	Prbk.g_02126	Prav.g_00120
OG0000186	Prbk.g_01326	Prav.g_00129
OG0000187	Prbk.g_01324	Prav.g_00130
OG0000188	Prbk.g_01303	Prav.g_00147
OG0000189	Prbk.g_00024	Prav.g_00161
OG0000190	Prbk.g_00022	Prav.g_00162
OG0000191	Prbk.g_00197	Prav.g_00182
OG0000192	Prbk.g_00206	Prav.g_00186
OG0000193	Prbk.g_00752	Prav.g_00213
OG0000194	Prbk.g_00755	Prav.g_00216
OG0000195	Prbk.g_00757	Prav.g_00887
OG0000196	Prbk.g_00768	Prav.g_00877
OG0000197	Prbk.g_00769	Prav.g_00876
OG0000198	Prbk.g_00770	Prav.g_00875
OG0000199	Prbk.g_00777	Prav.g_00868
OG0000200	Prbk.g_01280	Prav.g_00854
OG0000201	Prbk.g_01261	Prav.g_00846
OG0000202	Prbk.g_01260	Prav.g_00845
OG0000203	Prbk.g_01259	Prav.g_00844
OG0000204	Prbk.g_01258	Prav.g_00843
OG0000205	Prbk.g_01251	Prav.g_00836
OG0000206	Prbk.g_00632	Prav.g_00831
OG0000207	Prbk.g_00686	Prav.g_00829
OG0000208	Prbk.g_00685	Prav.g_00828
OG0000209	Prbk.g_00658	Prav.g_00819
OG0000210	Prbk.g_00657	Prav.g_00818
OG0000211	Prbk.g_01368	Prav.g_00805
OG0000212	Prbk.g_01514	Prav.g_00798
OG0000213	Prbk.g_00374	Prav.g_01904
OG0000214	Prbk.g_00401	Prav.g_01914
OG0000215	Prbk.g_00431	Prav.g_01938
OG0000216	Prbk.g_00434	Prav.g_01940
OG0000217	Prbk.g_00438	Prav.g_01943
OG0000218	Prbk.g_00442	Prav.g_01945
OG0000219	Prbk.g_00443	Prav.g_01946
OG0000220	Prbk.g_00444	Prav.g_01947
OG0000221	Prbk.g_00449	Prav.g_01948
OG0000222	Prbk.g_00458	Prav.g_01956
OG0000223	Prbk.g_00481	Prav.g_01969
OG0000224	Prbk.g_00492	Prav.g_01971
OG0000225	Prbk.g_00889	Prav.g_01992
OG0000226	Prbk.g_00893	Prav.g_01996
OG0000227	Prbk.g_00895	Prav.g_01998
OG0000228	Prbk.g_00365	Prav.g_00974
OG0000229	Prbk.g_00328	Prav.g_01035
OG0000230	Prbk.g_00326	Prav.g_01037
OG0000231	Prbk.g_00311	Prav.g_01048
OG0000232	Prbk.g_00295	Prav.g_01056
OG0000233	Prbk.g_02092	Prav.g_01061
OG0000234	Prbk.g_02114	Prav.g_01074
OG0000235	Prbk.g_02060	Prav.g_01077
OG0000236	Prbk.g_02076	Prav.g_01091
OG0000237	Prbk.g_01047	Prav.g_01104
OG0000238	Prbk.g_01051	Prav.g_01110
OG0000239	Prbk.g_01067	Prav.g_01123
OG0000240	Prbk.g_01068	Prav.g_01124
OG0000241	Prbk.g_01965	Prav.g_01128
OG0000242	Prbk.g_01078	Prav.g_01130
OG0000243	Prbk.g_02684	Prav.g_01141, Prav.g_00954
OG0000244	Prbk.g_01897	Prav.g_01144
OG0000245	Prbk.g_01894	Prav.g_01146
OG0000246	Prbk.g_01890	Prav.g_01150
OG0000247	Prbk.g_01879	Prav.g_01160
OG0000248	Prbk.g_01876	Prav.g_01162
OG0000249	Prbk.g_01874	Prav.g_01164
OG0000250	Prbk.g_01106	Prav.g_01169
OG0000251	Prbk.g_01130	Prav.g_01187
OG0000252	Prbk.g_01133	Prav.g_01190
OG0000253	Prbk.g_01139	Prav.g_01191
OG0000254	Prbk.g_01158	Prav.g_01207
OG0000255	Prbk.g_02604	Prav.g_01213
OG0000256	Prbk.g_02618	Prav.g_01225
OG0000257	Prbk.g_02624	Prav.g_01228
OG0000258	Prbk.g_02647	Prav.g_01241
OG0000259	Prbk.g_00720	Prav.g_01258
OG0000260	Prbk.g_00717	Prav.g_01261
OG0000261	Prbk.g_00714	Prav.g_01263
OG0000262	Prbk.g_00709	Prav.g_01267
OG0000263	Prbk.g_00672	Prav.g_01279
OG0000264	Prbk.g_01815	Prav.g_01289
OG0000265	Prbk.g_01835, Prbk.g_00619	Prav.g_00306
OG0000266	Prbk.g_00608	Prav.g_00316
OG0000267	Prbk.g_02371	Prav.g_00327
OG0000268	Prbk.g_02370	Prav.g_00328
OG0000269	Prbk.g_02463	Prav.g_00392
OG0000270	Prbk.g_02466	Prav.g_00395
OG0000271	Prbk.g_02474	Prav.g_00403
OG0000272	Prbk.g_02475	Prav.g_00404
OG0000273	Prbk.g_02526	Prav.g_00427
OG0000274	Prbk.g_02527	Prav.g_00428
OG0000275	Prbk.g_02530	Prav.g_00430
OG0000276	Prbk.g_02536	Prav.g_00435
OG0000277	Prbk.g_02537	Prav.g_00436
OG0000278	Prbk.g_02540	Prav.g_00439
OG0000279	Prbk.g_02548	Prav.g_00446
OG0000280	Prbk.g_02554	Prav.g_00447
OG0000281	Prbk.g_02568	Prav.g_00452
OG0000282	Prbk.g_02398	Prav.g_00501
OG0000283	Prbk.g_02359	Prav.g_00533
OG0000284	Prbk.g_02353	Prav.g_00538
OG0000285	Prbk.g_01698	Prav.g_00543
OG0000286	Prbk.g_02325	Prav.g_00555
OG0000287	Prbk.g_01728	Prav.g_00572
OG0000288	Prbk.g_00583	Prav.g_00906
OG0000289	Prbk.g_00596	Prav.g_00917
OG0000290	Prbk.g_00059	Prav.g_00930
OG0000291	Prbk.g_00057	Prav.g_00932
OG0000292	Prbk.g_02271	Prav.g_00261
OG0000293	Prbk.g_01032	Prav.g_00056
OG0000294	Prbk.g_01031	Prav.g_00057
OG0000295	Prbk.g_00106	Prav.g_00077
OG0000296	Prbk.g_00104	Prav.g_01867
OG0000297	Prbk.g_01498	Prav.g_01859
OG0000298	Prbk.g_01497	Prav.g_01858
OG0000299	Prbk.g_01508	Prav.g_01841
OG0000300	Prbk.g_00186	Prav.g_01838
OG0000301	Prbk.g_00185	Prav.g_00955, Prav.g_01837
OG0000302	Prbk.g_00182	Prav.g_01835
OG0000303	Prbk.g_00097	Prav.g_01828
OG0000304	Prbk.g_00121	Prav.g_01824
OG0000305	Prbk.g_00055	Prav.g_01465
OG0000306	Prbk.g_02578	Prav.g_01468
OG0000307	Prbk.g_02044	Prav.g_01482
OG0000308	Prbk.g_02042	Prav.g_01483
OG0000309	Prbk.g_02038	Prav.g_01487
OG0000310	Prbk.g_01937	Prav.g_01563
OG0000311	Prbk.g_00243	Prav.g_01565
OG0000312	Prbk.g_00247	Prav.g_01568
OG0000313	Prbk.g_00271	Prav.g_01582
OG0000314	Prbk.g_01222	Prav.g_01605
OG0000315	Prbk.g_01212	Prav.g_01615
OG0000316	Prbk.g_01991	Prav.g_01635
OG0000317	Prbk.g_00913	Prav.g_01759
OG0000318	Prbk.g_00906	Prav.g_01762
OG0000319	Prbk.g_01443	Prav.g_01775
OG0000320	Prbk.g_01441	Prav.g_01777
OG0000321	Prbk.g_01440	Prav.g_01778
OG0000322	Prbk.g_01439	Prav.g_01779
OG0000323	Prbk.g_01428	Prav.g_01788
OG0000324	Prbk.g_01399	Prav.g_01815
OG0000325	Prbk.g_01904	Prav.g_00269
OG0000326	Prbk.g_01912	Prav.g_00275
OG0000327	Prbk.g_00987	Prav.g_00591
OG0000328	Prbk.g_00986	Prav.g_00592
OG0000329	Prbk.g_00969	Prav.g_00609
OG0000330	Prbk.g_00968	Prav.g_00610
OG0000331	Prbk.g_00967	Prav.g_00611
OG0000332	Prbk.g_00952	Prav.g_00625
OG0000333	Prbk.g_00950	Prav.g_00627
OG0000334	Prbk.g_00801	Prav.g_00635
OG0000335	Prbk.g_00806	Prav.g_00640
OG0000336	Prbk.g_00810	Prav.g_00644
OG0000337	Prbk.g_00506	Prav.g_00661
OG0000338	Prbk.g_00510	Prav.g_00662
OG0000339	Prbk.g_00516	Prav.g_00666
OG0000340	Prbk.g_00528	Prav.g_00674
OG0000341	Prbk.g_00530	Prav.g_00676
OG0000342	Prbk.g_00531	Prav.g_00677
OG0000343	Prbk.g_00215	Prav.g_00678
OG0000344	Prbk.g_00218	Prav.g_00681
OG0000345	Prbk.g_00233	Prav.g_00686
OG0000346	Prbk.g_00238	Prav.g_00690
OG0000347	Prbk.g_01540	Prav.g_00706
OG0000348	Prbk.g_01578	Prav.g_00715
OG0000349	Prbk.g_01602	Prav.g_00732
OG0000350	Prbk.g_02204	Prav.g_00751
