Orthogroup	Prbk	Syag
OG0000001	Prbk.g_00561, Prbk.g_02701	Syag.g_01943
OG0000003	Prbk.g_01375, Prbk.g_00214, Prbk.g_02704, Prbk.g_02705, Prbk.g_00332, Prbk.g_01523, Prbk.g_00695, Prbk.g_01676, Prbk.g_01675, Prbk.g_00349	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Prbk.g_00999, Prbk.g_02681, Prbk.g_02121, Prbk.g_00049	Syag.g_02658
OG0000004	Prbk.g_01760	Syag.g_00988
OG0000004	Prbk.g_01134	Syag.g_00370, Syag.g_01790
OG0000005	Prbk.g_00933	Syag.g_01667
OG0000006	Prbk.g_02695	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbk.g_00907	Syag.g_01687
OG0000008	Prbk.g_01819	Syag.g_00496
OG0000008	Prbk.g_01820	Syag.g_01017
OG0000009	Prbk.g_01932, Prbk.g_00013	Syag.g_01883
OG0000010	Prbk.g_02112	Syag.g_01355
OG0000012	Prbk.g_02610	Syag.g_00377
OG0000013	Prbk.g_00853	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prbk.g_00454	Syag.g_02559
OG0000015	Prbk.g_02558	Syag.g_02252, Syag.g_00596
OG0000017	Prbk.g_01142	Syag.g_00336
OG0000017	Prbk.g_01150	Syag.g_00344
OG0000018	Prbk.g_01227	Syag.g_01387
OG0000019	Prbk.g_01644, Prbk.g_01004	Syag.g_02663
OG0000020	Prbk.g_01331, Prbk.g_02697	Syag.g_00085
OG0000021	Prbk.g_01960, Prbk.g_01137	Syag.g_00229
OG0000022	Prbk.g_01667	Syag.g_00458
OG0000023	Prbk.g_02448	Syag.g_00261, Syag.g_00234
OG0000024	Prbk.g_01780	Syag.g_00455
OG0000025	Prbk.g_02531	Syag.g_00718
OG0000026	Prbk.g_01617	Syag.g_02309
OG0000028	Prbk.g_00469	Syag.g_02540
OG0000029	Prbk.g_00833	Syag.g_00195
OG0000030	Prbk.g_01532	Syag.g_02375
