Orthogroup	Prbk	Syao
OG0000001	Prbk.g_00561, Prbk.g_02701	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prbk.g_01760	Syao.g_02374
OG0000004	Prbk.g_01134	Syao.g_01271, Syao.g_01007
OG0000005	Prbk.g_00933	Syao.g_01578
OG0000006	Prbk.g_02695	Syao.g_00919, Syao.g_01518
OG0000007	Prbk.g_00907	Syao.g_01554
OG0000008	Prbk.g_01820	Syao.g_01321
OG0000009	Prbk.g_01932, Prbk.g_00013	Syao.g_02598
OG0000010	Prbk.g_02112	Syao.g_02683
OG0000013	Prbk.g_00853	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prbk.g_00454	Syao.g_02027
OG0000015	Prbk.g_02558	Syao.g_02339, Syao.g_00302
OG0000017	Prbk.g_01150	Syao.g_01064
OG0000018	Prbk.g_01227	Syao.g_00071
OG0000019	Prbk.g_01004	Syao.g_02108
OG0000021	Prbk.g_01960, Prbk.g_01137	Syao.g_01002
OG0000022	Prbk.g_01667	Syao.g_01218
OG0000023	Prbk.g_02448	Syao.g_01266
OG0000025	Prbk.g_02531	Syao.g_00436, Syao.g_00437
OG0000026	Prbk.g_01617	Syao.g_02234
OG0000028	Prbk.g_00469	Syao.g_02012
OG0000030	Prbk.g_01532	Syao.g_02189
OG0000030	Prbk.g_01533	Syao.g_02188
OG0000031	Prbk.g_00534, Prbk.g_00539	Syao.g_02008
OG0000032	Prbk.g_01209	Syao.g_00090
OG0000032	Prbk.g_00480	Syao.g_01984, Syao.g_01983
OG0000033	Prbk.g_00776	Syao.g_02507
OG0000035	Prbk.g_00259	Syao.g_01483, Syao.g_01486
OG0000036	Prbk.g_01948	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726, Syao.g_00572
OG0000037	Prbk.g_00007	Syao.g_00374
OG0000038	Prbk.g_02164	Syao.g_02440
OG0000038	Prbk.g_02166	Syao.g_02442
OG0000039	Prbk.g_01385, Prbk.g_00642	Syao.g_00704
OG0000041	Prbk.g_01406	Syao.g_00509, Syao.g_01637
OG0000042	Prbk.g_01495, Prbk.g_00140	Syao.g_00019, Syao.g_01941
OG0000045	Prbk.g_01321	Syao.g_01214
OG0000046	Prbk.g_00854	Syao.g_01909, Syao.g_01845
OG0000047	Prbk.g_02565	Syao.g_01899
OG0000048	Prbk.g_00405	Syao.g_02077
OG0000051	Prbk.g_02418	Syao.g_01261
OG0000052	Prbk.g_00499	Syao.g_02520, Syao.g_01972
OG0000053	Prbk.g_01230	Syao.g_00067
OG0000054	Prbk.g_01153	Syao.g_00295, Syao.g_00625
