Orthogroup	Prbk	Syai
OG0000001	Prbk.g_00561, Prbk.g_02701	Syai.g_02595
OG0000002	Prbk.g_02574, Prbk.g_01649	Syai.g_01728
OG0000004	Prbk.g_01760	Syai.g_01994
OG0000004	Prbk.g_01134	Syai.g_01062, Syai.g_00530
OG0000005	Prbk.g_00933	Syai.g_02356
OG0000006	Prbk.g_02695	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbk.g_00907	Syai.g_02378
OG0000008	Prbk.g_01819	Syai.g_01956
OG0000008	Prbk.g_01820	Syai.g_01955
OG0000009	Prbk.g_01932, Prbk.g_00013	Syai.g_02541
OG0000010	Prbk.g_02112	Syai.g_00864
OG0000011	Prbk.g_01851	Syai.g_01894, Syai.g_00582
OG0000012	Prbk.g_02610	Syai.g_01068
OG0000013	Prbk.g_00853	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbk.g_00454	Syai.g_00220
OG0000015	Prbk.g_02558	Syai.g_01246, Syai.g_01245
OG0000017	Prbk.g_01142	Syai.g_00801
OG0000017	Prbk.g_01150	Syai.g_00808
OG0000018	Prbk.g_01227	Syai.g_00915
OG0000019	Prbk.g_01644, Prbk.g_01004	Syai.g_00304
OG0000020	Prbk.g_01331, Prbk.g_02697	Syai.g_00476
OG0000021	Prbk.g_01960, Prbk.g_01137	Syai.g_00556
OG0000022	Prbk.g_01667	Syai.g_01159
OG0000023	Prbk.g_02448	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbk.g_01780	Syai.g_01951
OG0000025	Prbk.g_02531	Syai.g_02044
OG0000026	Prbk.g_01617	Syai.g_00038
OG0000028	Prbk.g_00469	Syai.g_00205
OG0000029	Prbk.g_00833	Syai.g_01035, Syai.g_01584
OG0000030	Prbk.g_01532	Syai.g_00096
OG0000030	Prbk.g_01533	Syai.g_00095
OG0000031	Prbk.g_00534, Prbk.g_00539	Syai.g_00197
OG0000032	Prbk.g_01209	Syai.g_00895
OG0000033	Prbk.g_00776	Syai.g_02634
OG0000034	Prbk.g_01171	Syai.g_02192, Syai.g_02604
OG0000035	Prbk.g_00259	Syai.g_00955
OG0000036	Prbk.g_01948	Syai.g_01848
OG0000037	Prbk.g_00007	Syai.g_02544, Syai.g_02815
OG0000038	Prbk.g_02164	Syai.g_02780
OG0000041	Prbk.g_01406	Syai.g_02265, Syai.g_02016
OG0000042	Prbk.g_01495, Prbk.g_00140	Syai.g_00099
OG0000046	Prbk.g_00854	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbk.g_01202, Prbk.g_02565	Syai.g_00462
OG0000048	Prbk.g_00405	Syai.g_00272
OG0000052	Prbk.g_00499	Syai.g_00176
OG0000053	Prbk.g_01230	Syai.g_00930
OG0000054	Prbk.g_01153	Syai.g_01040
OG0000057	Prbk.g_01765	Syai.g_01997
OG0000058	Prbk.g_00479	Syai.g_00195
OG0000059	Prbk.g_00992	Syai.g_00351
OG0000060	Prbk.g_02058	Syai.g_00635
OG0000061	Prbk.g_01019	Syai.g_02144
OG0000062	Prbk.g_00931	Syai.g_02358
OG0000063	Prbk.g_01613	Syai.g_00042
OG0000066	Prbk.g_01094	Syai.g_01709, Syai.g_00719
OG0000067	Prbk.g_02468	Syai.g_01321
OG0000068	Prbk.g_02052	Syai.g_00628
OG0000070	Prbk.g_00310	Syai.g_02196
