Orthogroup	Prbd	Prac
OG0000000	Prbd.g_01771	Prac.g_00210
OG0000000	Prbd.g_00566	Prac.g_00693
OG0000001	Prbd.g_00528	Prac.g_00926
OG0000001	Prbd.g_01836, Prbd.g_01569	Prac.g_00293
OG0000002	Prbd.g_01779	Prac.g_00202
OG0000002	Prbd.g_01930	Prac.g_00925
OG0000003	Prbd.g_01835	Prac.g_00157
OG0000004	Prbd.g_00031	Prac.g_01536
OG0000004	Prbd.g_00038	Prac.g_01529
OG0000005	Prbd.g_01914	Prac.g_00277
OG0000005	Prbd.g_01568	Prac.g_00292
OG0000006	Prbd.g_00745	Prac.g_00874
OG0000006	Prbd.g_01525	Prac.g_00625
OG0000007	Prbd.g_00572	Prac.g_00699
OG0000008	Prbd.g_00854	Prac.g_01149
OG0000008	Prbd.g_01894	Prac.g_01954
OG0000009	Prbd.g_00082	Prac.g_01496
OG0000009	Prbd.g_00990	Prac.g_01681
OG0000010	Prbd.g_01840	Prac.g_01958
OG0000010	Prbd.g_00409	Prac.g_01035
OG0000010	Prbd.g_01870	Prac.g_00139
OG0000011	Prbd.g_00909	Prac.g_01601
OG0000012	Prbd.g_00646	Prac.g_00773
OG0000013	Prbd.g_00826, Prbd.g_00065	Prac.g_00898
OG0000014	Prbd.g_00772, Prbd.g_01832	Prac.g_01074
OG0000015	Prbd.g_00856	Prac.g_01151
OG0000016	Prbd.g_01768	Prac.g_00213
OG0000017	Prbd.g_01669	Prac.g_00391
OG0000018	Prbd.g_00998	Prac.g_01689
OG0000019	Prbd.g_00874, Prbd.g_01546	Prac.g_01169
OG0000020	Prbd.g_00864, Prbd.g_00439	Prac.g_01159
OG0000021	Prbd.g_00084	Prac.g_01494
OG0000022	Prbd.g_01833	Prac.g_00159
OG0000023	Prbd.g_01576, Prbd.g_01887	Prac.g_00301
OG0000024	Prbd.g_00933	Prac.g_01625
OG0000025	Prbd.g_00375	Prac.g_01220
OG0000026	Prbd.g_01204	Prac.g_01913
OG0000027	Prbd.g_00034	Prac.g_01533
OG0000027	Prbd.g_01601	Prac.g_00325
OG0000028	Prbd.g_01689	Prac.g_00411
OG0000029	Prbd.g_01575	Prac.g_00300
OG0000033	Prbd.g_01224	Prac.g_01934
OG0000035	Prbd.g_00192	Prac.g_01399
OG0000035	Prbd.g_00379	Prac.g_01217
OG0000036	Prbd.g_00658	Prac.g_00788
OG0000037	Prbd.g_00621	Prac.g_00748
OG0000038	Prbd.g_00061	Prac.g_01510
OG0000039	Prbd.g_01074	Prac.g_01764
OG0000040	Prbd.g_00879	Prac.g_01174
OG0000041	Prbd.g_00833	Prac.g_01119
OG0000042	Prbd.g_00007	Prac.g_01560
