Orthogroup	Prbd	Prau
OG0000000	Prbd.g_01771	Prau.g_01402
OG0000000	Prbd.g_00566	Prau.g_00718
OG0000001	Prbd.g_00528	Prau.g_01266
OG0000001	Prbd.g_00528	Prau.g_01647
OG0000002	Prbd.g_01779	Prau.g_01394
OG0000002	Prbd.g_01930	Prau.g_01267, Prau.g_01269
OG0000003	Prbd.g_01567	Prau.g_01650
OG0000003	Prbd.g_01835	Prau.g_01350
OG0000004	Prbd.g_00031	Prau.g_00785
OG0000004	Prbd.g_00038	Prau.g_00792
OG0000005	Prbd.g_01914	Prau.g_01665
OG0000005	Prbd.g_01568	Prau.g_01648
OG0000006	Prbd.g_00745	Prau.g_00538
OG0000006	Prbd.g_01525	Prau.g_01732
OG0000007	Prbd.g_00572	Prau.g_00712
OG0000008	Prbd.g_00854	Prau.g_00387
OG0000008	Prbd.g_01894	Prau.g_01319
OG0000009	Prbd.g_00082	Prau.g_00834
OG0000009	Prbd.g_00990	Prau.g_00251
OG0000010	Prbd.g_00409	Prau.g_01156
OG0000010	Prbd.g_01870	Prau.g_01331
OG0000011	Prbd.g_00909	Prau.g_00332
OG0000012	Prbd.g_00646	Prau.g_00636
OG0000013	Prbd.g_00826, Prbd.g_00065	Prau.g_00817
OG0000014	Prbd.g_01832	Prau.g_01353
OG0000015	Prbd.g_00856	Prau.g_00385
OG0000016	Prbd.g_01768	Prau.g_01405
OG0000017	Prbd.g_01669	Prau.g_01551
OG0000018	Prbd.g_00998	Prau.g_00243, Prau.g_01316
OG0000019	Prbd.g_01546	Prau.g_01680
OG0000020	Prbd.g_00864	Prau.g_00377
OG0000021	Prbd.g_00084	Prau.g_00836
OG0000022	Prbd.g_01833	Prau.g_01352
OG0000023	Prbd.g_01887	Prau.g_01324
OG0000024	Prbd.g_00933	Prau.g_00308
OG0000025	Prbd.g_00375	Prau.g_01123
OG0000026	Prbd.g_01204	Prau.g_00032
OG0000027	Prbd.g_00034	Prau.g_00788
OG0000027	Prbd.g_01601	Prau.g_01618
OG0000028	Prbd.g_01689	Prau.g_01528, Prau.g_01531
OG0000029	Prbd.g_01575	Prau.g_01642
OG0000031	Prbd.g_01544	Prau.g_01275
OG0000033	Prbd.g_01224	Prau.g_00013
OG0000035	Prbd.g_00379	Prau.g_01126
OG0000036	Prbd.g_00658	Prau.g_00624
OG0000037	Prbd.g_00621	Prau.g_00663
OG0000038	Prbd.g_00061	Prau.g_00814
OG0000039	Prbd.g_01074	Prau.g_00167
OG0000040	Prbd.g_00879	Prau.g_00362
OG0000041	Prbd.g_00833	Prau.g_00432
OG0000042	Prbd.g_00007	Prau.g_00755
OG0000043	Prbd.g_00087	Prau.g_00839
OG0000044	Prbd.g_00468	Prau.g_01206
OG0000046	Prbd.g_01532	Prau.g_01725
OG0000047	Prbd.g_01335	Prau.g_01925
OG0000048	Prbd.g_01328	Prau.g_01932
OG0000050	Prbd.g_01206	Prau.g_00030
OG0000051	Prbd.g_01083	Prau.g_00158
OG0000052	Prbd.g_00868	Prau.g_00373
OG0000053	Prbd.g_00703	Prau.g_00579
OG0000054	Prbd.g_00055	Prau.g_00808
OG0000055	Prbd.g_00124	Prau.g_00876
OG0000057	Prbd.g_01537	Prau.g_00784
OG0000058	Prbd.g_00767	Prau.g_00516
OG0000059	Prbd.g_00546	Prau.g_00738
OG0000060	Prbd.g_00036	Prau.g_00790
OG0000061	Prbd.g_00284	Prau.g_01035
OG0000062	Prbd.g_00427	Prau.g_01174
OG0000063	Prbd.g_01895	Prau.g_01318
OG0000064	Prbd.g_01884	Prau.g_01325
OG0000064	Prbd.g_01547	Prau.g_01677
OG0000064	Prbd.g_01536	Prau.g_00783
OG0000065	Prbd.g_01801	Prau.g_01371
OG0000066	Prbd.g_01737	Prau.g_01430
OG0000067	Prbd.g_01867	Prau.g_01335
OG0000067	Prbd.g_00534	Prau.g_01307
OG0000068	Prbd.g_01391	Prau.g_01869
OG0000069	Prbd.g_01730	Prau.g_01446
OG0000071	Prbd.g_01226	Prau.g_00011
OG0000073	Prbd.g_00575	Prau.g_00709
OG0000074	Prbd.g_00553	Prau.g_00731
OG0000075	Prbd.g_00109	Prau.g_00861
OG0000076	Prbd.g_00340	Prau.g_01089
OG0000077	Prbd.g_01913	Prau.g_01666
OG0000078	Prbd.g_01734	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prbd.g_01610	Prau.g_01609
OG0000080	Prbd.g_01561	Prau.g_01658
OG0000081	Prbd.g_01361	Prau.g_01899
OG0000082	Prbd.g_01272	Prau.g_01297, Prau.g_01987
OG0000083	Prbd.g_01234	Prau.g_00003
OG0000084	Prbd.g_01231	Prau.g_00006
OG0000085	Prbd.g_01214	Prau.g_00023
OG0000086	Prbd.g_01199	Prau.g_00046
OG0000087	Prbd.g_01188	Prau.g_00057
OG0000088	Prbd.g_01131	Prau.g_00114
OG0000089	Prbd.g_01122	Prau.g_00122
OG0000090	Prbd.g_01104, Prbd.g_01103	Prau.g_00140
OG0000091	Prbd.g_01071	Prau.g_00170
OG0000092	Prbd.g_01070	Prau.g_00171
OG0000093	Prbd.g_01056	Prau.g_00185
OG0000094	Prbd.g_01038	Prau.g_00203
OG0000095	Prbd.g_01033	Prau.g_00208
OG0000096	Prbd.g_00988	Prau.g_00253
OG0000097	Prbd.g_00965	Prau.g_00276
OG0000098	Prbd.g_00955	Prau.g_00286
OG0000099	Prbd.g_00945	Prau.g_00296
OG0000100	Prbd.g_00942	Prau.g_00299
OG0000101	Prbd.g_00882	Prau.g_00359
OG0000102	Prbd.g_00855	Prau.g_00386
OG0000103	Prbd.g_00766	Prau.g_00517
OG0000104	Prbd.g_00762	Prau.g_00521
OG0000105	Prbd.g_00743	Prau.g_00540
OG0000106	Prbd.g_00710	Prau.g_00572
OG0000107	Prbd.g_00709	Prau.g_00573
OG0000108	Prbd.g_00699	Prau.g_00583
OG0000109	Prbd.g_00690	Prau.g_00592
OG0000110	Prbd.g_00674	Prau.g_00608
OG0000111	Prbd.g_00593	Prau.g_00691
OG0000112	Prbd.g_00592	Prau.g_00692
OG0000113	Prbd.g_00029	Prau.g_00777
OG0000114	Prbd.g_00100	Prau.g_00852
OG0000115	Prbd.g_00264	Prau.g_01015
OG0000116	Prbd.g_00268	Prau.g_01019
OG0000117	Prbd.g_00337	Prau.g_01086
OG0000118	Prbd.g_00389	Prau.g_01136
OG0000119	Prbd.g_00430	Prau.g_01177
OG0000120	Prbd.g_00474	Prau.g_01212
OG0000121	Prbd.g_00493	Prau.g_01231
OG0000122	Prbd.g_00512	Prau.g_01250
OG0000123	Prbd.g_00525	Prau.g_01263
OG0000124	Prbd.g_01921	Prau.g_01271
OG0000125	Prbd.g_01789	Prau.g_01383
OG0000126	Prbd.g_01764	Prau.g_01409
OG0000127	Prbd.g_01702	Prau.g_01515
OG0000128	Prbd.g_01688	Prau.g_01532
OG0000129	Prbd.g_01652	Prau.g_01568
OG0000130	Prbd.g_01527	Prau.g_01730
OG0000131	Prbd.g_01489	Prau.g_01768
OG0000132	Prbd.g_01486	Prau.g_01771
OG0000133	Prbd.g_01432	Prau.g_01828
OG0000134	Prbd.g_01396	Prau.g_01864
OG0000135	Prbd.g_01394	Prau.g_01866
OG0000136	Prbd.g_01350	Prau.g_01910
OG0000137	Prbd.g_01317	Prau.g_01942
OG0000138	Prbd.g_01281	Prau.g_01978
OG0000139	Prbd.g_01255	Prau.g_02004
OG0000140	Prbd.g_01236	Prau.g_00001
OG0000141	Prbd.g_01235	Prau.g_00002
OG0000142	Prbd.g_01233	Prau.g_00004
OG0000143	Prbd.g_01232	Prau.g_00005
OG0000144	Prbd.g_01230	Prau.g_00007
OG0000145	Prbd.g_01229	Prau.g_00008
OG0000146	Prbd.g_01228	Prau.g_00009
OG0000147	Prbd.g_01227	Prau.g_00010
OG0000148	Prbd.g_01225	Prau.g_00012
OG0000149	Prbd.g_01223	Prau.g_00014
OG0000150	Prbd.g_01222	Prau.g_00015
OG0000151	Prbd.g_01221	Prau.g_00016
OG0000152	Prbd.g_01220	Prau.g_00017
OG0000153	Prbd.g_01219	Prau.g_00018
OG0000154	Prbd.g_01218	Prau.g_00019
OG0000155	Prbd.g_01217	Prau.g_00020
OG0000156	Prbd.g_01216	Prau.g_00021
OG0000157	Prbd.g_01215	Prau.g_00022
OG0000158	Prbd.g_01213	Prau.g_00024
OG0000159	Prbd.g_01212	Prau.g_00025
