Orthogroup	Prbd	Prad
OG0000000	Prbd.g_01771	Prad.g_00601
OG0000000	Prbd.g_00566	Prad.g_01252
OG0000001	Prbd.g_00528	Prad.g_00393
OG0000001	Prbd.g_00528	Prad.g_01435
OG0000001	Prbd.g_01836	Prad.g_00372, Prad.g_00349
OG0000001	Prbd.g_01569	Prad.g_01297
OG0000002	Prbd.g_01779	Prad.g_00609
OG0000002	Prbd.g_01930	Prad.g_01434, Prad.g_01994
OG0000003	Prbd.g_01567	Prad.g_00389
OG0000003	Prbd.g_01835	Prad.g_00350
OG0000004	Prbd.g_00031	Prad.g_01075
OG0000004	Prbd.g_00038	Prad.g_01082
OG0000004	Prbd.g_01855	Prad.g_00345
OG0000005	Prbd.g_01914	Prad.g_01982
OG0000005	Prbd.g_01568	Prad.g_00392
OG0000006	Prbd.g_00745	Prad.g_00132
OG0000006	Prbd.g_01525	Prad.g_00941
OG0000007	Prbd.g_00572	Prad.g_01246
OG0000008	Prbd.g_00854	Prad.g_00726
OG0000008	Prbd.g_01894	Prad.g_01215
OG0000009	Prbd.g_00082	Prad.g_01125
OG0000009	Prbd.g_00990	Prad.g_01742
OG0000010	Prbd.g_00409	Prad.g_00650
OG0000010	Prbd.g_01870	Prad.g_00330
OG0000011	Prbd.g_00909	Prad.g_01661
OG0000012	Prbd.g_00646	Prad.g_01387
OG0000013	Prbd.g_00826, Prbd.g_00065	Prad.g_01108
OG0000014	Prbd.g_01832	Prad.g_00353
OG0000015	Prbd.g_00856	Prad.g_00728
OG0000016	Prbd.g_01768	Prad.g_00598
OG0000017	Prbd.g_01669	Prad.g_00494
OG0000018	Prbd.g_00998	Prad.g_01750
OG0000019	Prbd.g_01546	Prad.g_01981
OG0000020	Prbd.g_00864, Prbd.g_00439	Prad.g_00735
OG0000021	Prbd.g_00084	Prad.g_01127
OG0000022	Prbd.g_01833	Prad.g_00352
OG0000023	Prbd.g_01576	Prad.g_00401
OG0000023	Prbd.g_01887	Prad.g_00317
OG0000024	Prbd.g_00933	Prad.g_01685
OG0000025	Prbd.g_00375	Prad.g_00985
OG0000026	Prbd.g_01204	Prad.g_01953
OG0000027	Prbd.g_00034	Prad.g_01078
OG0000027	Prbd.g_01601	Prad.g_00427
OG0000028	Prbd.g_01689	Prad.g_00515
OG0000029	Prbd.g_01575	Prad.g_00400
OG0000033	Prbd.g_01224	Prad.g_01973
OG0000035	Prbd.g_00192	Prad.g_00258
OG0000036	Prbd.g_00658	Prad.g_01374
OG0000037	Prbd.g_00621	Prad.g_01412
OG0000038	Prbd.g_00061	Prad.g_01105
OG0000039	Prbd.g_01074	Prad.g_01825
OG0000040	Prbd.g_00879	Prad.g_00751
OG0000041	Prbd.g_00833	Prad.g_00697
OG0000042	Prbd.g_00007	Prad.g_01049
OG0000043	Prbd.g_00087	Prad.g_01130
OG0000044	Prbd.g_00468	Prad.g_01496
OG0000045	Prbd.g_01733	Prad.g_00565
OG0000046	Prbd.g_01532	Prad.g_00948
OG0000047	Prbd.g_01335	Prad.g_01631
OG0000048	Prbd.g_01328	Prad.g_01624
OG0000050	Prbd.g_01206	Prad.g_01955
OG0000051	Prbd.g_01083	Prad.g_01834
OG0000052	Prbd.g_00868	Prad.g_00739
OG0000053	Prbd.g_00703	Prad.g_00090
OG0000054	Prbd.g_00055	Prad.g_01099
OG0000055	Prbd.g_00124	Prad.g_01168
