Orthogroup	Prbd	Prax
OG0000000	Prbd.g_01771	Prax.g_01870
OG0000000	Prbd.g_00566	Prax.g_00964
OG0000001	Prbd.g_00528	Prax.g_00259
OG0000001	Prbd.g_00528	Prax.g_01609
OG0000001	Prbd.g_01836	Prax.g_01920
OG0000002	Prbd.g_01779	Prax.g_01878
OG0000003	Prbd.g_01567	Prax.g_01606
OG0000003	Prbd.g_01835	Prax.g_01919
OG0000004	Prbd.g_00031	Prax.g_00444
OG0000004	Prbd.g_00038	Prax.g_00437
OG0000004	Prbd.g_01855	Prax.g_01924
OG0000005	Prbd.g_01914	Prax.g_00496
OG0000005	Prbd.g_01568	Prax.g_01608
OG0000006	Prbd.g_00745	Prax.g_00704
OG0000006	Prbd.g_01525	Prax.g_01559
OG0000007	Prbd.g_00572	Prax.g_00970
OG0000008	Prbd.g_00854	Prax.g_00791
OG0000008	Prbd.g_00297	Prax.g_01162
OG0000008	Prbd.g_01894	Prax.g_01958
OG0000009	Prbd.g_00082	Prax.g_00393
OG0000009	Prbd.g_00990	Prax.g_00926
OG0000010	Prbd.g_01840	Prax.g_00500
OG0000010	Prbd.g_00409	Prax.g_00141
OG0000010	Prbd.g_01870	Prax.g_01936
OG0000011	Prbd.g_00909	Prax.g_00843
OG0000012	Prbd.g_00646	Prax.g_00057
OG0000013	Prbd.g_00826	Prax.g_00523
OG0000013	Prbd.g_00065	Prax.g_00410
OG0000014	Prbd.g_01832	Prax.g_01916
OG0000015	Prbd.g_00856	Prax.g_00793
OG0000016	Prbd.g_01768	Prax.g_01867
OG0000017	Prbd.g_01669	Prax.g_01708
OG0000018	Prbd.g_00998	Prax.g_01972
OG0000019	Prbd.g_00874	Prax.g_00808
OG0000019	Prbd.g_01546	Prax.g_01587
OG0000020	Prbd.g_00864	Prax.g_00799
OG0000020	Prbd.g_00439	Prax.g_00173
OG0000021	Prbd.g_00084	Prax.g_00391
OG0000022	Prbd.g_01833	Prax.g_01917
OG0000023	Prbd.g_01576	Prax.g_01617
OG0000023	Prbd.g_01887	Prax.g_01950
OG0000024	Prbd.g_00933	Prax.g_00869
OG0000025	Prbd.g_00375	Prax.g_01240
OG0000026	Prbd.g_01204	Prax.g_00280
OG0000027	Prbd.g_00034	Prax.g_00441
OG0000027	Prbd.g_01601	Prax.g_01641
OG0000028	Prbd.g_01689	Prax.g_01733, Prax.g_01728
OG0000029	Prbd.g_01575	Prax.g_01616
OG0000035	Prbd.g_00379	Prax.g_01244
OG0000036	Prbd.g_00658	Prax.g_00045
OG0000037	Prbd.g_00621	Prax.g_00082
OG0000038	Prbd.g_00061	Prax.g_00415
OG0000039	Prbd.g_01074	Prax.g_01052
OG0000040	Prbd.g_00879	Prax.g_00813
OG0000041	Prbd.g_00833	Prax.g_00772
OG0000042	Prbd.g_00007	Prax.g_00485
OG0000043	Prbd.g_00087	Prax.g_00388
OG0000044	Prbd.g_00468	Prax.g_00200
OG0000045	Prbd.g_01733	Prax.g_01823
OG0000046	Prbd.g_01532	Prax.g_01566
OG0000047	Prbd.g_01335	Prax.g_01394
OG0000048	Prbd.g_01328	Prax.g_01401
OG0000050	Prbd.g_01206	Prax.g_00458, Prax.g_00282
OG0000051	Prbd.g_01083	Prax.g_01061
OG0000052	Prbd.g_00868	Prax.g_00803
OG0000053	Prbd.g_00703	Prax.g_00662
OG0000054	Prbd.g_00055	Prax.g_00421, Prax.g_00457
OG0000055	Prbd.g_00124	Prax.g_00351
OG0000057	Prbd.g_01002	Prax.g_00981
OG0000057	Prbd.g_01537	Prax.g_01581
OG0000058	Prbd.g_00767	Prax.g_00727
OG0000059	Prbd.g_00546	Prax.g_00944
OG0000060	Prbd.g_00036	Prax.g_00439
OG0000061	Prbd.g_00425	Prax.g_00159
OG0000061	Prbd.g_00284	Prax.g_01149
OG0000062	Prbd.g_00427	Prax.g_00161
OG0000063	Prbd.g_01895	Prax.g_01959
OG0000064	Prbd.g_01884	Prax.g_01948
OG0000064	Prbd.g_01547	Prax.g_01589
OG0000064	Prbd.g_01536	Prax.g_01580
OG0000065	Prbd.g_01801	Prax.g_01899
OG0000066	Prbd.g_01737	Prax.g_01832
OG0000067	Prbd.g_00534	Prax.g_00454
OG0000068	Prbd.g_01391	Prax.g_01338
OG0000069	Prbd.g_01730	Prax.g_01838
OG0000071	Prbd.g_01226	Prax.g_01974
OG0000072	Prbd.g_00917	Prax.g_00852, Prax.g_01783
OG0000073	Prbd.g_00575	Prax.g_00973
OG0000074	Prbd.g_00553	Prax.g_00951
OG0000075	Prbd.g_00109	Prax.g_00366
OG0000076	Prbd.g_00340	Prax.g_01204
OG0000078	Prbd.g_01734	Prax.g_01825
OG0000079	Prbd.g_01610	Prax.g_01650
OG0000080	Prbd.g_01561	Prax.g_01600
OG0000081	Prbd.g_01361	Prax.g_01368
OG0000082	Prbd.g_01272	Prax.g_01456
OG0000083	Prbd.g_01234	Prax.g_01493
OG0000084	Prbd.g_01231	Prax.g_01496
OG0000085	Prbd.g_01214	Prax.g_00290
OG0000086	Prbd.g_01199	Prax.g_00274
OG0000087	Prbd.g_01188	Prax.g_00624
OG0000088	Prbd.g_01131	Prax.g_01106
OG0000089	Prbd.g_01122	Prax.g_01097
OG0000090	Prbd.g_01104, Prbd.g_01103	Prax.g_01079
OG0000091	Prbd.g_01071	Prax.g_01049
OG0000092	Prbd.g_01070	Prax.g_01048
OG0000093	Prbd.g_01056	Prax.g_01034
OG0000094	Prbd.g_01038	Prax.g_01016
OG0000095	Prbd.g_01033	Prax.g_01011
OG0000096	Prbd.g_00988	Prax.g_00924
OG0000097	Prbd.g_00965	Prax.g_00901
OG0000098	Prbd.g_00955	Prax.g_00891
