Orthogroup	Prbd	Prbk
OG0000000	Prbd.g_01771	Prbk.g_02574
OG0000000	Prbd.g_00566	Prbk.g_01649
OG0000001	Prbd.g_01836	Prbk.g_00167
OG0000001	Prbd.g_01569	Prbk.g_00165
OG0000002	Prbd.g_01779	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Prbd.g_01835	Prbk.g_00166
OG0000004	Prbd.g_00031, Prbd.g_00038, Prbd.g_01855	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prbd.g_01525	Prbk.g_00907
OG0000007	Prbd.g_00572	Prbk.g_01820
OG0000009	Prbd.g_00082, Prbd.g_00990	Prbk.g_01004
OG0000011	Prbd.g_00909	Prbk.g_01202
OG0000012	Prbd.g_00646	Prbk.g_01150, Prbk.g_01142
OG0000013	Prbd.g_00826	Prbk.g_02558
OG0000016	Prbd.g_01768	Prbk.g_01746, Prbk.g_01786
OG0000018	Prbd.g_00998	Prbk.g_02695
OG0000019	Prbd.g_01546	Prbk.g_01137
OG0000020	Prbd.g_00864, Prbd.g_00439	Prbk.g_00405
OG0000024	Prbd.g_00933	Prbk.g_00454
OG0000026	Prbd.g_01204	Prbk.g_01613
OG0000028	Prbd.g_01689	Prbk.g_00259
OG0000031	Prbd.g_01544	Prbk.g_01709
OG0000036	Prbd.g_00658	Prbk.g_01122
OG0000037	Prbd.g_00621	Prbk.g_02610
OG0000038	Prbd.g_00061	Prbk.g_01667, Prbk.g_00212
OG0000039	Prbd.g_01074	Prbk.g_01836, Prbk.g_00773
OG0000040	Prbd.g_00879	Prbk.g_02448
OG0000042	Prbd.g_00007	Prbk.g_01835, Prbk.g_00619
OG0000043	Prbd.g_00087	Prbk.g_01644, Prbk.g_01642
OG0000045	Prbd.g_01733	Prbk.g_00479
OG0000046	Prbd.g_01532	Prbk.g_00919
OG0000047	Prbd.g_01335	Prbk.g_00237
OG0000048	Prbd.g_01328	Prbk.g_00140, Prbk.g_01495
OG0000050	Prbd.g_01206	Prbk.g_01617
OG0000051	Prbd.g_01083	Prbk.g_00764
OG0000052	Prbd.g_00868	Prbk.g_00925
OG0000053	Prbd.g_00703	Prbk.g_01094
OG0000054	Prbd.g_00055	Prbk.g_01468
OG0000055	Prbd.g_00124	Prbk.g_02493
OG0000058	Prbd.g_00767	Prbk.g_02113
OG0000059	Prbd.g_00546	Prbk.g_01765
OG0000062	Prbd.g_00427	Prbk.g_02195
OG0000063	Prbd.g_01895	Prbk.g_01496
OG0000065	Prbd.g_01801	Prbk.g_01183
OG0000066	Prbd.g_01737	Prbk.g_00477
OG0000068	Prbd.g_01391	Prbk.g_00796, Prbk.g_00944
OG0000069	Prbd.g_01730	Prbk.g_00480, Prbk.g_01209
OG0000071	Prbd.g_01226	Prbk.g_02290
OG0000072	Prbd.g_00917	Prbk.g_00472
OG0000073	Prbd.g_00575	Prbk.g_00709
OG0000074	Prbd.g_00553	Prbk.g_01815
OG0000075	Prbd.g_00109	Prbk.g_02475
OG0000076	Prbd.g_00340	Prbk.g_00056
OG0000078	Prbd.g_01734	Prbk.g_00476
OG0000079	Prbd.g_01610	Prbk.g_00931
OG0000080	Prbd.g_01561	Prbk.g_02012
OG0000081	Prbd.g_01361	Prbk.g_00512
OG0000082	Prbd.g_01272	Prbk.g_02204
OG0000083	Prbd.g_01234	Prbk.g_02281
OG0000084	Prbd.g_01231	Prbk.g_02284
OG0000085	Prbd.g_01214	Prbk.g_01626
OG0000087	Prbd.g_01188	Prbk.g_02126
OG0000088	Prbd.g_01131	Prbk.g_00191
OG0000089	Prbd.g_01122	Prbk.g_00206
OG0000090	Prbd.g_01104, Prbd.g_01103	Prbk.g_00559
OG0000091	Prbd.g_01071	Prbk.g_00776
OG0000092	Prbd.g_01070	Prbk.g_00777
OG0000093	Prbd.g_01056	Prbk.g_01280
OG0000094	Prbd.g_01038	Prbk.g_01251
OG0000095	Prbd.g_01033	Prbk.g_00632
OG0000096	Prbd.g_00988	Prbk.g_01001
OG0000097	Prbd.g_00965	Prbk.g_00409
OG0000098	Prbd.g_00955	Prbk.g_00422
