Orthogroup	Prbd	Praa
OG0000000	Prbd.g_01771	Praa.g_01359
OG0000000	Prbd.g_00566	Praa.g_00678
OG0000001	Prbd.g_01836	Praa.g_01297
OG0000001	Prbd.g_01569	Praa.g_01597
OG0000002	Prbd.g_01779	Praa.g_01351
OG0000002	Prbd.g_01930	Praa.g_01220, Praa.g_01222
OG0000003	Prbd.g_01567	Praa.g_01599
OG0000003	Prbd.g_01835	Praa.g_01298
OG0000004	Prbd.g_00031	Praa.g_00735
OG0000004	Prbd.g_00038	Praa.g_00742
OG0000004	Prbd.g_01855	Praa.g_01294
OG0000005	Prbd.g_01914	Praa.g_01235
OG0000005	Prbd.g_01568	Praa.g_01598
OG0000006	Prbd.g_00745	Praa.g_00497
OG0000006	Prbd.g_01525	Praa.g_01635
OG0000007	Prbd.g_00572	Praa.g_00672
OG0000008	Prbd.g_00854	Praa.g_00382
OG0000008	Prbd.g_00297	Praa.g_00997
OG0000008	Prbd.g_01894	Praa.g_01256
OG0000009	Prbd.g_00082	Praa.g_00782
OG0000009	Prbd.g_00990	Praa.g_00249
OG0000010	Prbd.g_00409	Praa.g_01110
OG0000010	Prbd.g_01870	Praa.g_01280
OG0000011	Prbd.g_00909	Praa.g_00330
OG0000012	Prbd.g_00646	Praa.g_00598
OG0000013	Prbd.g_00065	Praa.g_00765
OG0000014	Prbd.g_00772	Praa.g_00470
OG0000014	Prbd.g_01832	Praa.g_01301
OG0000015	Prbd.g_00856	Praa.g_00380
OG0000016	Prbd.g_01768	Praa.g_01362
OG0000017	Prbd.g_01669	Praa.g_01496
OG0000018	Prbd.g_00998	Praa.g_00241
OG0000018	Prbd.g_00998	Praa.g_01245
OG0000019	Prbd.g_00874	Praa.g_00364
OG0000019	Prbd.g_01546	Praa.g_01623
OG0000020	Prbd.g_00864	Praa.g_00373
OG0000021	Prbd.g_00084	Praa.g_00784
OG0000022	Prbd.g_01833	Praa.g_01300
OG0000023	Prbd.g_01576	Praa.g_01589
OG0000023	Prbd.g_01887	Praa.g_01264
OG0000024	Prbd.g_00933	Praa.g_00306
OG0000025	Prbd.g_00375	Praa.g_01075
OG0000026	Prbd.g_01204	Praa.g_00033
OG0000027	Prbd.g_00034	Praa.g_00738
OG0000027	Prbd.g_01601	Praa.g_01564
OG0000028	Prbd.g_01689	Praa.g_01476
OG0000029	Prbd.g_01575	Praa.g_01590
OG0000033	Prbd.g_01224	Praa.g_00013
OG0000036	Prbd.g_00658	Praa.g_00585
OG0000037	Prbd.g_00621	Praa.g_00623
OG0000038	Prbd.g_00061	Praa.g_00763
OG0000039	Prbd.g_01074	Praa.g_00166
OG0000040	Prbd.g_00879	Praa.g_00359
OG0000041	Prbd.g_00833	Praa.g_00399
OG0000042	Prbd.g_00007	Praa.g_00711
OG0000043	Prbd.g_00087	Praa.g_00787
OG0000044	Prbd.g_00468	Praa.g_01159
OG0000045	Prbd.g_01733	Praa.g_01425
OG0000046	Prbd.g_01532	Praa.g_01628
OG0000047	Prbd.g_01335	Praa.g_01832
OG0000048	Prbd.g_01328	Praa.g_01839
OG0000050	Prbd.g_01206	Praa.g_00031
OG0000051	Prbd.g_01083	Praa.g_00157
OG0000052	Prbd.g_00868	Praa.g_00369
OG0000053	Prbd.g_00703	Praa.g_00539
OG0000054	Prbd.g_00055	Praa.g_00757
OG0000055	Prbd.g_00124	Praa.g_00826
OG0000058	Prbd.g_00767	Praa.g_00475, Praa.g_01414
OG0000059	Prbd.g_00546	Praa.g_00698
OG0000060	Prbd.g_00036	Praa.g_00740
OG0000061	Prbd.g_00425	Praa.g_01125
OG0000061	Prbd.g_00284	Praa.g_00984
OG0000062	Prbd.g_00427	Praa.g_01127
OG0000063	Prbd.g_01895	Praa.g_01255
OG0000064	Prbd.g_01884	Praa.g_01268
OG0000064	Prbd.g_01547	Praa.g_01620
OG0000065	Prbd.g_01801	Praa.g_01318
OG0000066	Prbd.g_01737	Praa.g_01387
OG0000067	Prbd.g_01867, Prbd.g_00534	Praa.g_01626
OG0000068	Prbd.g_01391	Praa.g_01775
OG0000071	Prbd.g_01226	Praa.g_00011
OG0000072	Prbd.g_00917	Praa.g_00322
OG0000073	Prbd.g_00575	Praa.g_00669
OG0000074	Prbd.g_00553	Praa.g_00691
OG0000075	Prbd.g_00109	Praa.g_00810
OG0000076	Prbd.g_00340	Praa.g_01039
OG0000077	Prbd.g_01913	Praa.g_01236
OG0000078	Prbd.g_01734	Praa.g_01394
OG0000079	Prbd.g_01610	Praa.g_01555
OG0000080	Prbd.g_01561	Praa.g_01606
OG0000081	Prbd.g_01361	Praa.g_01806
OG0000082	Prbd.g_01272	Praa.g_01894
OG0000083	Prbd.g_01234	Praa.g_00003
