HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N48.HOG0000000	OG0000000	n2	Praa.g_01300			Prad.g_00352	Prae.g_01310														Pras.g_00184		Prau.g_01352			Prax.g_01917	Pray.g_01888	Praz.g_01198	Prba.g_01174			Prbd.g_01833					Prbi.g_01373																									
N48.HOG0000001	OG0000000	n61																			Pras.g_00136		Prau.g_01300																																							
N48.HOG0000002	OG0000000	n66	Praa.g_01235			Prad.g_01982															Pras.g_00493		Prau.g_01665				Pray.g_01576	Praz.g_00894	Prba.g_00243			Prbd.g_01914																														
N48.HOG0000003	OG0000000	n91	Praa.g_01598			Prad.g_00392	Prae.g_01580														Pras.g_00470		Prau.g_01648			Prax.g_01608	Pray.g_01603	Praz.g_00921	Prba.g_00269			Prbd.g_01568					Prbi.g_01709																									
N48.HOG0000004	OG0000000	n117	Praa.g_01244																							Prax.g_00496																																				
N48.HOG0000005	OG0000000	n165																														Prbd.g_01569																														
N48.HOG0000006	OG0000000	n168				Prad.g_00393, Prad.g_01435	Prae.g_01222, Prae.g_01579														Pras.g_00117, Pras.g_00469		Prau.g_01266, Prau.g_01647			Prax.g_00259, Prax.g_01609	Pray.g_00003, Pray.g_01604	Praz.g_00694, Praz.g_00922	Prba.g_00003, Prba.g_00270			Prbd.g_00528					Prbi.g_01268, Prbi.g_01708																									
N48.HOG0000007	OG0000000	n171	Praa.g_01297			Prad.g_00372, Prad.g_00349	Prae.g_01300																			Prax.g_01920						Prbd.g_01836					Prbi.g_01370																									
N48.HOG0000008	OG0000000	n197	Praa.g_01298			Prad.g_00350	Prae.g_01308														Pras.g_00182		Prau.g_01350			Prax.g_01919	Pray.g_01890	Praz.g_01200	Prba.g_01172			Prbd.g_01835					Prbi.g_01371																									
N48.HOG0000009	OG0000000	n211	Praa.g_01599			Prad.g_00389	Prae.g_01581														Pras.g_00471		Prau.g_01650			Prax.g_01606	Pray.g_01602	Praz.g_00920	Prba.g_00268			Prbd.g_01567					Prbi.g_01710																									
N48.HOG0000010	OG0000001	n28	Praa.g_01351			Prad.g_00609	Prae.g_01353														Pras.g_00235		Prau.g_01394			Prax.g_01878	Pray.g_01844	Praz.g_01154	Prba.g_00211			Prbd.g_01779					Prbi.g_01424																									
N48.HOG0000011	OG0000001	n60																																			Prbi.g_01542, Prbi.g_01763																									
N48.HOG0000012	OG0000001	n93				Prad.g_01434, Prad.g_01994																																																								
N48.HOG0000013	OG0000001	n96					Prae.g_01236																			Prax.g_00522																																				
N48.HOG0000014	OG0000001	n103					Prae.g_01223, Prae.g_01224																																																							
N48.HOG0000015	OG0000001	n105																									Pray.g_00247	Praz.g_01939	Prba.g_01081																																	
N48.HOG0000016	OG0000001	n110																									Pray.g_00246	Praz.g_01940	Prba.g_01080																																	
N48.HOG0000017	OG0000001	n116	Praa.g_01220, Praa.g_01222																		Pras.g_00118, Pras.g_00120		Prau.g_01267, Prau.g_01269									Prbd.g_01930																														
N48.HOG0000018	OG0000001	n124																																			Prbi.g_01270																									
N48.HOG0000019	OG0000001	n125																			Pras.g_00541																																									
N48.HOG0000020	OG0000002	n8	Praa.g_01359			Prad.g_00601	Prae.g_01361														Pras.g_00243		Prau.g_01402			Prax.g_01870	Pray.g_01836	Praz.g_01146	Prba.g_00203			Prbd.g_01771					Prbi.g_01432																									
N48.HOG0000021	OG0000002	n99	Praa.g_00678			Prad.g_01252	Prae.g_00652														Pras.g_01554		Prau.g_00718			Prax.g_00964	Pray.g_01085	Praz.g_01652	Prba.g_01639			Prbd.g_00566					Prbi.g_00681																									
N48.HOG0000022	OG0000004	n1	Praa.g_00695			Prad.g_01269	Prae.g_00669														Pras.g_01571		Prau.g_00735			Prax.g_00947	Pray.g_01068	Praz.g_01635	Prba.g_01622			Prbd.g_00549					Prbi.g_00698																									
N48.HOG0000023	OG0000004	n54	Praa.g_00232			Prad.g_01759	Prae.g_00235														Pras.g_01084		Prau.g_00233			Prax.g_00986	Pray.g_00713	Praz.g_00592	Prba.g_00451			Prbd.g_01007					Prbi.g_00256																									
N48.HOG0000024	OG0000005	n1	Praa.g_01648			Prad.g_00928	Prae.g_01636														Pras.g_00563		Prau.g_01745			Prax.g_01546	Pray.g_01546	Praz.g_00864	Prba.g_00607			Prbd.g_01512					Prbi.g_01800																									
N48.HOG0000025	OG0000005	n46	Praa.g_01553			Prad.g_00438	Prae.g_01535														Pras.g_00429		Prau.g_01607			Prax.g_01652	Pray.g_01646	Praz.g_00965	Prba.g_00312			Prbd.g_01612					Prbi.g_01666																									
N48.HOG0000026	OG0000006	n2	Praa.g_00241, Praa.g_01245			Prad.g_01750	Prae.g_00244														Pras.g_00148, Pras.g_01093		Prau.g_01316			Prax.g_01972	Pray.g_00722	Praz.g_00601	Prba.g_00460			Prbd.g_00998					Prbi.g_00265																									
N48.HOG0000027	OG0000007	n1	Praa.g_00497			Prad.g_00132	Prae.g_00471														Pras.g_01375		Prau.g_00538			Prax.g_00704	Pray.g_00988, Pray.g_00987	Praz.g_01831	Prba.g_00964			Prbd.g_00745					Prbi.g_00500																									
N48.HOG0000028	OG0000007	n56	Praa.g_01635			Prad.g_00941	Prae.g_01623														Pras.g_00550		Prau.g_01732			Prax.g_01559	Pray.g_01559	Praz.g_00877	Prba.g_00226			Prbd.g_01525					Prbi.g_01787																									
N48.HOG0000029	OG0000008	n2	Praa.g_01241																				Prau.g_00781				Pray.g_01931	Praz.g_01241	Prba.g_01131								Prbi.g_01764																									
N48.HOG0000030	OG0000008	n46																																			Prbi.g_01540, Prbi.g_01765, Prbi.g_01539																									
N48.HOG0000031	OG0000008	n86	Praa.g_00672			Prad.g_01246	Prae.g_00646														Pras.g_01548		Prau.g_00712			Prax.g_00970	Pray.g_01091	Praz.g_01658	Prba.g_01645			Prbd.g_00572					Prbi.g_00675																									
N48.HOG0000032	OG0000009	n7	Praa.g_01264			Prad.g_00317	Prae.g_01270														Pras.g_00157		Prau.g_01324			Prax.g_01950	Pray.g_01920	Praz.g_01230	Prba.g_01142			Prbd.g_01887					Prbi.g_01338																									
N48.HOG0000033	OG0000009	n31	Praa.g_01589			Prad.g_00401	Prae.g_01572														Pras.g_00463		Prau.g_01641			Prax.g_01617	Pray.g_01610	Praz.g_00929	Prba.g_00276			Prbd.g_01576					Prbi.g_01701																									
N48.HOG0000034	OG0000009	n56	Praa.g_00105			Prad.g_01888															Pras.g_00956		Prau.g_00106				Pray.g_00184	Praz.g_00465	Prba.g_01893			Prbd.g_01139					Prbi.g_00112																									
N48.HOG0000035	OG0000010	n9				Prad.g_01304															Pras.g_00523		Prau.g_01698																																							
N48.HOG0000036	OG0000010	n15	Praa.g_01047			Prad.g_01011	Prae.g_01048														Pras.g_01942		Prau.g_01096			Prax.g_01212	Pray.g_00592	Praz.g_00074	Prba.g_01256			Prbd.g_00348					Prbi.g_01094																									
N48.HOG0000037	OG0000010	n37	Praa.g_00474			Prad.g_00033	Prae.g_00448														Pras.g_01352		Prau.g_00515			Prax.g_00728	Pray.g_00964	Praz.g_01854	Prba.g_00987			Prbd.g_00768					Prbi.g_00477																									
N48.HOG0000038	OG0000011	n14				Prad.g_01218																					Pray.g_00884	Praz.g_00768	Prba.g_00900																																	
N48.HOG0000039	OG0000011	n23	Praa.g_01288			Prad.g_00339	Prae.g_01291														Pras.g_00176					Prax.g_01930	Pray.g_01897	Praz.g_01207	Prba.g_01165			Prbd.g_01859					Prbi.g_01361																									
N48.HOG0000040	OG0000011	n35																			Pras.g_01289					Prax.g_00460																																				
N48.HOG0000041	OG0000011	n43	Praa.g_00396				Prae.g_00398																			Prax.g_00776						Prbd.g_00836					Prbi.g_00426																									
N48.HOG0000042	OG0000011	n58	Praa.g_01626			Prad.g_01212	Prae.g_01245														Pras.g_00142, Pras.g_00166		Prau.g_01307, Prau.g_01335			Prax.g_00454	Pray.g_01930	Praz.g_01240	Prba.g_01132			Prbd.g_00534, Prbd.g_01867																														
N48.HOG0000043	OG0000012	n7	Praa.g_00623			Prad.g_01412	Prae.g_00597														Pras.g_01499		Prau.g_00663			Prax.g_00082	Pray.g_01140	Praz.g_01707	Prba.g_01694			Prbd.g_00621					Prbi.g_00625																									
N48.HOG0000044	OG0000013	n2	Praa.g_00327			Prad.g_01664	Prae.g_00328														Pras.g_01179		Prau.g_00329			Prax.g_00846	Pray.g_00805	Praz.g_00684	Prba.g_00543			Prbd.g_00912					Prbi.g_00351																									
N48.HOG0000045	OG0000014	n2	Praa.g_00306			Prad.g_01685	Prae.g_00307														Pras.g_01158		Prau.g_00308			Prax.g_00869	Pray.g_00784	Praz.g_00663	Prba.g_00522			Prbd.g_00933					Prbi.g_00330																									
N48.HOG0000046	OG0000014	n60																			Pras.g_00304																Prbi.g_01502																									
N48.HOG0000047	OG0000014	n69																																			Prbi.g_01508																									
N48.HOG0000048	OG0000014	n73					Prae.g_01401																Prau.g_01470			Prax.g_01763	Pray.g_01792	Praz.g_01102	Prba.g_00159								Prbi.g_01475																									
N48.HOG0000049	OG0000015	n68	Praa.g_00765				Prae.g_00769																									Prbd.g_00065					Prbi.g_00810																									
N48.HOG0000050	OG0000015	n72				Prad.g_01108	Prae.g_01235														Pras.g_00127		Prau.g_00817			Prax.g_00523, Prax.g_00410	Pray.g_00309	Praz.g_01551	Prba.g_01538			Prbd.g_00826					Prbi.g_01304																									
N48.HOG0000051	OG0000016	n2	Praa.g_00013			Prad.g_01973	Prae.g_00013														Pras.g_00855		Prau.g_00013				Pray.g_01475	Praz.g_00378	Prba.g_01806			Prbd.g_01224					Prbi.g_00013																									
N48.HOG0000052	OG0000017	n28	Praa.g_00598			Prad.g_01387	Prae.g_00572														Pras.g_01474		Prau.g_00636			Prax.g_00057	Pray.g_01165	Praz.g_01732	Prba.g_01719			Prbd.g_00646					Prbi.g_00600																									
N48.HOG0000053	OG0000018	n21	Praa.g_01141			Prad.g_01515	Prae.g_01144														Pras.g_00037		Prau.g_01188			Prax.g_00181	Pray.g_00083	Praz.g_00011	Prba.g_00083			Prbd.g_00449					Prbi.g_01188																									
N48.HOG0000054	OG0000018	n49	Praa.g_00831			Prad.g_01173	Prae.g_00833														Pras.g_01728		Prau.g_00881			Prax.g_00346	Pray.g_00375	Praz.g_01485	Prba.g_01472			Prbd.g_00129					Prbi.g_00874																									
N48.HOG0000055	OG0000019	n10	Praa.g_00249			Prad.g_01742	Prae.g_00252														Pras.g_01101		Prau.g_00251			Prax.g_00926	Pray.g_00730	Praz.g_00609	Prba.g_00468			Prbd.g_00990					Prbi.g_00273																									
N48.HOG0000056	OG0000019	n34	Praa.g_00782			Prad.g_01125	Prae.g_00786														Pras.g_01681		Prau.g_00834			Prax.g_00393	Pray.g_00328	Praz.g_01532	Prba.g_01519			Prbd.g_00082					Prbi.g_00827																									
N48.HOG0000057	OG0000020	n6	Praa.g_01107			Prad.g_00647	Prae.g_01107														Pras.g_00001		Prau.g_01153			Prax.g_00138	Pray.g_00120	Praz.g_00048	Prba.g_00737			Prbd.g_00406					Prbi.g_01153																									
N48.HOG0000058	OG0000020	n42				Prad.g_01299															Pras.g_00530		Prau.g_01704																																							
N48.HOG0000059	OG0000021	n30	Praa.g_01623			Prad.g_01981	Prae.g_01600														Pras.g_00507		Prau.g_01680			Prax.g_01587	Pray.g_01578	Praz.g_00896	Prba.g_00245			Prbd.g_01546					Prbi.g_01742																									
N48.HOG0000060	OG0000021	n42	Praa.g_00364			Prad.g_00745	Prae.g_00364														Pras.g_01218		Prau.g_00367			Prax.g_00808	Pray.g_00842	Praz.g_00810	Prba.g_00858			Prbd.g_00874					Prbi.g_00389																									
N48.HOG0000061	OG0000022	n20	Praa.g_00763			Prad.g_01105	Prae.g_00764														Pras.g_01662		Prau.g_00814			Prax.g_00415	Pray.g_00304	Praz.g_01556	Prba.g_01543			Prbd.g_00061					Prbi.g_00805																									
N48.HOG0000062	OG0000022	n49	Praa.g_01124			Prad.g_01993	Prae.g_01125														Pras.g_00019		Prau.g_01170			Prax.g_00157	Pray.g_00101	Praz.g_00029	Prba.g_00101			Prbd.g_00423					Prbi.g_01170																									
