HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N42.HOG0000000	OG0000000	n2																	Praq.g_00117	Prar.g_00971																																										
N42.HOG0000001	OG0000000	n66																	Praq.g_01956	Prar.g_00713																																										
N42.HOG0000002	OG0000000	n89																	Praq.g_00026	Prar.g_00729																																										
N42.HOG0000003	OG0000000	n162																		Prar.g_00730																																										
N42.HOG0000004	OG0000000	n168																	Praq.g_00025, Praq.g_01392	Prar.g_01204																																										
N42.HOG0000005	OG0000000	n191																	Praq.g_00115	Prar.g_00973																																										
N42.HOG0000006	OG0000000	n197																	Praq.g_00028	Prar.g_00727																																										
N42.HOG0000007	OG0000001	n28																	Praq.g_00160	Prar.g_00926																																										
N42.HOG0000008	OG0000001	n102																	Praq.g_01394	Prar.g_01202																																										
N42.HOG0000009	OG0000001	n125																	Praq.g_01393	Prar.g_01203																																										
N42.HOG0000010	OG0000002	n8																	Praq.g_00168	Prar.g_00918																																										
N42.HOG0000011	OG0000002	n99																	Praq.g_00807	Prar.g_01508																																										
N42.HOG0000012	OG0000004	n1																	Praq.g_00824	Prar.g_01525																																										
N42.HOG0000013	OG0000004	n54																	Praq.g_01770	Prar.g_00095																																										
N42.HOG0000014	OG0000005	n1																	Praq.g_00484	Prar.g_01130																																										
N42.HOG0000015	OG0000005	n46																	Praq.g_00370	Prar.g_00771																																										
N42.HOG0000016	OG0000006	n2																	Praq.g_01761	Prar.g_00086																																										
N42.HOG0000017	OG0000007	n1																	Praq.g_01105	Prar.g_01328																																										
N42.HOG0000018	OG0000007	n56																	Praq.g_00497	Prar.g_01143																																										
N42.HOG0000019	OG0000008	n2																	Praq.g_00071	Prar.g_01185																																										
N42.HOG0000020	OG0000008	n86																	Praq.g_00801	Prar.g_01502																																										
N42.HOG0000021	OG0000009	n31																	Praq.g_00017	Prar.g_00737																																										
N42.HOG0000022	OG0000009	n56																	Praq.g_01898	Prar.g_00223																																										
N42.HOG0000023	OG0000010	n9																	Praq.g_00552	Prar.g_01567																																										
N42.HOG0000024	OG0000010	n15																	Praq.g_01626	Prar.g_01912																																										
N42.HOG0000025	OG0000010	n37																	Praq.g_00525	Prar.g_00524																																										
N42.HOG0000026	OG0000011	n23																	Praq.g_00110	Prar.g_00978																																										
N42.HOG0000027	OG0000011	n58																	Praq.g_00100	Prar.g_00988																																										
N42.HOG0000028	OG0000012	n7																	Praq.g_00979	Prar.g_01453																																										
N42.HOG0000029	OG0000013	n2																	Praq.g_01675	Prar.g_00260																																										
