HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N41.HOG0000000	OG0000001	n7																																											Syac.g_02154					Syah.g_00726												
N41.HOG0000001	OG0000001	n140																																																Syah.g_01516												
N41.HOG0000002	OG0000001	n193																																											Syac.g_00341					Syah.g_00040												
N41.HOG0000003	OG0000001	n196																																											Syac.g_00340					Syah.g_00041												
N41.HOG0000004	OG0000001	n203																																											Syac.g_02169					Syah.g_00710												
N41.HOG0000005	OG0000002	n0																																											Syac.g_01084					Syah.g_01829												
N41.HOG0000006	OG0000004	n1																																											Syac.g_00898					Syah.g_02017												
N41.HOG0000007	OG0000004	n88																																											Syac.g_00948					Syah.g_01967												
N41.HOG0000008	OG0000004	n108																																											Syac.g_01975					Syah.g_00901												
N41.HOG0000009	OG0000005	n1																																											Syac.g_00527					Syah.g_02403												
N41.HOG0000010	OG0000005	n46																																											Syac.g_00569					Syah.g_02363												
N41.HOG0000011	OG0000005	n83																																											Syac.g_01087					Syah.g_01827												
N41.HOG0000012	OG0000006	n31																																											Syac.g_01958, Syac.g_01961, Syac.g_02194					Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918												
N41.HOG0000013	OG0000006	n64																																											Syac.g_01002					Syah.g_01912												
N41.HOG0000014	OG0000007	n1																																											Syac.g_01885					Syah.g_01016												
N41.HOG0000015	OG0000007	n56																																											Syac.g_00544					Syah.g_02384												
N41.HOG0000016	OG0000008	n2																																											Syac.g_00921					Syah.g_01994												
N41.HOG0000017	OG0000008	n46																																											Syac.g_00922					Syah.g_01993												
N41.HOG0000018	OG0000009	n76																																											Syac.g_01004					Syah.g_01910												
N41.HOG0000019	OG0000009	n78																																											Syac.g_00398					Syah.g_02535												
N41.HOG0000020	OG0000010	n0																																											Syac.g_01701					Syah.g_01220												
N41.HOG0000021	OG0000011	n87																																											Syac.g_00924					Syah.g_01991												
N41.HOG0000022	OG0000012	n40																																											Syac.g_00758					Syah.g_02169												
N41.HOG0000023	OG0000012	n60																																											Syac.g_01577					Syah.g_01340												
N41.HOG0000024	OG0000012	n61																																											Syac.g_00955					Syah.g_01960												
N41.HOG0000025	OG0000013	n38																																											Syac.g_02046					Syah.g_00831												
N41.HOG0000026	OG0000013	n48																																											Syac.g_02062					Syah.g_00817												
N41.HOG0000027	OG0000013	n78																																											Syac.g_02056					Syah.g_00822												
N41.HOG0000028	OG0000014	n2																																											Syac.g_00253					Syah.g_00127												
N41.HOG0000029	OG0000014	n60																																											Syac.g_00100																	
N41.HOG0000030	OG0000014	n66																																																Syah.g_00223												
N41.HOG0000031	OG0000014	n73																																																Syah.g_00323												
N41.HOG0000032	OG0000015	n28																																																Syah.g_01511												
N41.HOG0000033	OG0000015	n36																																											Syac.g_01408					Syah.g_01510												
N41.HOG0000034	OG0000016	n2																																											Syac.g_00014					Syah.g_00359												
N41.HOG0000035	OG0000016	n52																																											Syac.g_01505					Syah.g_01402												
N41.HOG0000036	OG0000016	n76																																											Syac.g_01053					Syah.g_01859												
N41.HOG0000037	OG0000017	n1																																											Syac.g_01742					Syah.g_01159												
N41.HOG0000038	OG0000017	n28																																											Syac.g_01749					Syah.g_01152												
N41.HOG0000039	OG0000018	n0																																											Syac.g_01660					Syah.g_01264												
N41.HOG0000040	OG0000019	n0																																											Syac.g_02207					Syah.g_00669												
N41.HOG0000041	OG0000022	n0																																											Syac.g_01031					Syah.g_01881												
N41.HOG0000042	OG0000023	n45																																											Syac.g_00760					Syah.g_01330, Syah.g_02167												
N41.HOG0000043	OG0000023	n64																																																Syah.g_00930												
N41.HOG0000044	OG0000024	n0																																											Syac.g_00925					Syah.g_01990												
N41.HOG0000045	OG0000025	n0																																											Syac.g_00847					Syah.g_02082												
N41.HOG0000046	OG0000026	n0																																											Syac.g_00034					Syah.g_00340												
N41.HOG0000047	OG0000027	n11																																											Syac.g_01095					Syah.g_01541												
N41.HOG0000048	OG0000028	n0																																											Syac.g_00237					Syah.g_00141												
N41.HOG0000049	OG0000029	n48																																																Syah.g_01292												
N41.HOG0000050	OG0000029	n50																																											Syac.g_01942																	
N41.HOG0000051	OG0000030	n29																																											Syac.g_00143					Syah.g_00264												
N41.HOG0000052	OG0000030	n51																																											Syac.g_00142					Syah.g_00265												
N41.HOG0000053	OG0000031	n5																																											Syac.g_00232					Syah.g_00146												
N41.HOG0000054	OG0000031	n61																																																Syah.g_00322												
N41.HOG0000055	OG0000032	n1																																											Syac.g_01677					Syah.g_01246												
N41.HOG0000056	OG0000033	n8																																																Syah.g_00211												
N41.HOG0000057	OG0000033	n22																																											Syac.g_00304					Syah.g_00078												
N41.HOG0000058	OG0000034	n0																																											Syac.g_00334, Syac.g_00715					Syah.g_00048, Syah.g_02213												
N41.HOG0000059	OG0000035	n1																																											Syac.g_01630					Syah.g_01293												
N41.HOG0000060	OG0000036	n1																																																Syah.g_00962												
N41.HOG0000061	OG0000036	n10																																											Syac.g_01722, Syac.g_01536					Syah.g_00949												
N41.HOG0000062	OG0000036	n33																																																Syah.g_00964												
N41.HOG0000063	OG0000036	n67																																																Syah.g_00963												
N41.HOG0000064	OG0000037	n5																																																Syah.g_02541												
N41.HOG0000065	OG0000037	n28																																																Syah.g_00956, Syah.g_01365												
N41.HOG0000066	OG0000037	n30																																											Syac.g_01077																	
N41.HOG0000067	OG0000038	n2																																											Syac.g_02357					Syah.g_00508												
N41.HOG0000068	OG0000038	n24																																											Syac.g_02358					Syah.g_00506												
N41.HOG0000069	OG0000039	n32																																											Syac.g_00856					Syah.g_02074												
N41.HOG0000070	OG0000039	n51																																											Syac.g_02378																	
N41.HOG0000071	OG0000040	n1																																											Syac.g_02437					Syah.g_00431												
N41.HOG0000072	OG0000040	n20																																											Syac.g_01006					Syah.g_01908												
N41.HOG0000073	OG0000041	n6																																											Syac.g_00655					Syah.g_02271												
N41.HOG0000074	OG0000041	n59																																											Syac.g_00876					Syah.g_02039												
N41.HOG0000075	OG0000042	n0																																											Syac.g_00146					Syah.g_00261												
N41.HOG0000076	OG0000043	n2																																											Syac.g_00808					Syah.g_02119												
N41.HOG0000077	OG0000043	n41																																											Syac.g_01100					Syah.g_01546												
N41.HOG0000078	OG0000044	n14																																																Syah.g_01194												
N41.HOG0000079	OG0000044	n42																																											Syac.g_00477					Syah.g_02454												
N41.HOG0000080	OG0000044	n45																																											Syac.g_00858					Syah.g_02072												
N41.HOG0000081	OG0000045	n2																																											Syac.g_00576					Syah.g_02356												
N41.HOG0000082	OG0000045	n18																																											Syac.g_01040					Syah.g_01872												
N41.HOG0000083	OG0000046	n14																																											Syac.g_02063					Syah.g_00816												
N41.HOG0000084	OG0000046	n41																																											Syac.g_02055					Syah.g_00823												
N41.HOG0000085	OG0000046	n53																																											Syac.g_02047					Syah.g_00830												
N41.HOG0000086	OG0000047	n0																																											Syac.g_02031					Syah.g_00847												
N41.HOG0000087	OG0000048	n0																																											Syac.g_02240					Syah.g_00637												
N41.HOG0000088	OG0000050	n3																																											Syac.g_01937					Syah.g_00941												
N41.HOG0000089	OG0000051	n6																																											Syac.g_01073					Syah.g_02473												
N41.HOG0000090	OG0000051	n29																																											Syac.g_01292																	
N41.HOG0000091	OG0000052	n19																																											Syac.g_00207					Syah.g_00171												
N41.HOG0000092	OG0000053	n0																																											Syac.g_01657					Syah.g_01267												
N41.HOG0000093	OG0000054	n1																																											Syac.g_00933					Syah.g_01982												
N41.HOG0000094	OG0000054	n40																																											Syac.g_01050					Syah.g_01862												
N41.HOG0000095	OG0000055	n3																																											Syac.g_00859					Syah.g_02071												
N41.HOG0000096	OG0000055	n47																																											Syac.g_01034					Syah.g_01878												
N41.HOG0000097	OG0000057	n13																																											Syac.g_00894					Syah.g_02020												
N41.HOG0000098	OG0000058	n1																																											Syac.g_00226					Syah.g_00152												
N41.HOG0000099	OG0000059	n12																																											Syac.g_02142					Syah.g_00737												
N41.HOG0000100	OG0000060	n15																																											Syac.g_01909																	
N41.HOG0000101	OG0000060	n41																																																Syah.g_01515												
N41.HOG0000102	OG0000061	n0																																											Syac.g_00769					Syah.g_02158												
N41.HOG0000103	OG0000062	n4																																											Syac.g_00567					Syah.g_02365												
N41.HOG0000104	OG0000063	n0																																											Syac.g_00037					Syah.g_00337												
N41.HOG0000105	OG0000064	n45																																											Syac.g_01567					Syah.g_01353												
N41.HOG0000106	OG0000064	n53																																											Syac.g_00575					Syah.g_02357												
N41.HOG0000107	OG0000065	n15																																											Syac.g_00490					Syah.g_02443												
N41.HOG0000108	OG0000065	n24																																											Syac.g_00396					Syah.g_02537												
N41.HOG0000109	OG0000066	n0																																											Syac.g_01827					Syah.g_01073												
N41.HOG0000110	OG0000067	n7																																											Syac.g_01341					Syah.g_01779												
N41.HOG0000111	OG0000068	n0																																											Syac.g_01916					Syah.g_00986												
N41.HOG0000112	OG0000069	n13																																											Syac.g_01272					Syah.g_01715												
N41.HOG0000113	OG0000070	n0																																											Syac.g_00711					Syah.g_02217												
N41.HOG0000114	OG0000071	n3																																											Syac.g_00729					Syah.g_02199												
N41.HOG0000115	OG0000071	n52																																											Syac.g_01049					Syah.g_01863												
N41.HOG0000116	OG0000072	n32																																											Syac.g_00302					Syah.g_00080												
N41.HOG0000117	OG0000073	n20																																											Syac.g_01883					Syah.g_01018												
N41.HOG0000118	OG0000074	n0																																																Syah.g_00951												
N41.HOG0000119	OG0000075	n0																																											Syac.g_00191					Syah.g_00186												
N41.HOG0000120	OG0000076	n0																																											Syac.g_00156					Syah.g_00250												
N41.HOG0000121	OG0000077	n2																																											Syac.g_00439					Syah.g_02494												
