HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N57.HOG0000000	OG0000000	n2	Praa.g_01300																							Prax.g_01917						Prbd.g_01833																														
N57.HOG0000001	OG0000000	n66	Praa.g_01235																													Prbd.g_01914																														
N57.HOG0000002	OG0000000	n91	Praa.g_01598																							Prax.g_01608						Prbd.g_01568																														
N57.HOG0000003	OG0000000	n117	Praa.g_01244																							Prax.g_00496																																				
N57.HOG0000004	OG0000000	n165																														Prbd.g_01569																														
N57.HOG0000005	OG0000000	n168																								Prax.g_00259, Prax.g_01609						Prbd.g_00528																														
N57.HOG0000006	OG0000000	n171	Praa.g_01297																							Prax.g_01920						Prbd.g_01836																														
N57.HOG0000007	OG0000000	n197	Praa.g_01298																							Prax.g_01919						Prbd.g_01835																														
N57.HOG0000008	OG0000000	n211	Praa.g_01599																							Prax.g_01606						Prbd.g_01567																														
N57.HOG0000009	OG0000001	n28	Praa.g_01351																							Prax.g_01878						Prbd.g_01779																														
N57.HOG0000010	OG0000001	n96																								Prax.g_00522																																				
N57.HOG0000011	OG0000001	n116	Praa.g_01220, Praa.g_01222																													Prbd.g_01930																														
N57.HOG0000012	OG0000002	n8	Praa.g_01359																							Prax.g_01870						Prbd.g_01771																														
N57.HOG0000013	OG0000002	n99	Praa.g_00678																							Prax.g_00964						Prbd.g_00566																														
N57.HOG0000014	OG0000004	n1	Praa.g_00695																							Prax.g_00947						Prbd.g_00549																														
N57.HOG0000015	OG0000004	n54	Praa.g_00232																							Prax.g_00986						Prbd.g_01007																														
N57.HOG0000016	OG0000005	n1	Praa.g_01648																							Prax.g_01546						Prbd.g_01512																														
N57.HOG0000017	OG0000005	n46	Praa.g_01553																							Prax.g_01652						Prbd.g_01612																														
N57.HOG0000018	OG0000006	n2	Praa.g_00241, Praa.g_01245																							Prax.g_01972						Prbd.g_00998																														
N57.HOG0000019	OG0000007	n1	Praa.g_00497																							Prax.g_00704						Prbd.g_00745																														
N57.HOG0000020	OG0000007	n56	Praa.g_01635																							Prax.g_01559						Prbd.g_01525																														
N57.HOG0000021	OG0000008	n2	Praa.g_01241																																																											
N57.HOG0000022	OG0000008	n86	Praa.g_00672																							Prax.g_00970						Prbd.g_00572																														
N57.HOG0000023	OG0000009	n7	Praa.g_01264																							Prax.g_01950						Prbd.g_01887																														
N57.HOG0000024	OG0000009	n31	Praa.g_01589																							Prax.g_01617						Prbd.g_01576																														
N57.HOG0000025	OG0000009	n56	Praa.g_00105																													Prbd.g_01139																														
N57.HOG0000026	OG0000010	n15	Praa.g_01047																							Prax.g_01212						Prbd.g_00348																														
N57.HOG0000027	OG0000010	n37	Praa.g_00474																							Prax.g_00728						Prbd.g_00768																														
N57.HOG0000028	OG0000011	n23	Praa.g_01288																							Prax.g_01930						Prbd.g_01859																														
N57.HOG0000029	OG0000011	n35																								Prax.g_00460																																				
N57.HOG0000030	OG0000011	n43	Praa.g_00396																							Prax.g_00776						Prbd.g_00836																														
N57.HOG0000031	OG0000011	n68																								Prax.g_00454						Prbd.g_00534																														
N57.HOG0000032	OG0000011	n78																														Prbd.g_01867																														
N57.HOG0000033	OG0000012	n7	Praa.g_00623																							Prax.g_00082						Prbd.g_00621																														
N57.HOG0000034	OG0000013	n2	Praa.g_00327																							Prax.g_00846						Prbd.g_00912																														
N57.HOG0000035	OG0000014	n2	Praa.g_00306																							Prax.g_00869						Prbd.g_00933																														
N57.HOG0000036	OG0000014	n73																								Prax.g_01763																																				
N57.HOG0000037	OG0000015	n68	Praa.g_00765																													Prbd.g_00065																														
N57.HOG0000038	OG0000015	n72																								Prax.g_00523, Prax.g_00410						Prbd.g_00826																														
N57.HOG0000039	OG0000016	n2	Praa.g_00013																													Prbd.g_01224																														
N57.HOG0000040	OG0000017	n28	Praa.g_00598																							Prax.g_00057						Prbd.g_00646																														
N57.HOG0000041	OG0000018	n21	Praa.g_01141																							Prax.g_00181						Prbd.g_00449																														
N57.HOG0000042	OG0000018	n49	Praa.g_00831																							Prax.g_00346						Prbd.g_00129																														
N57.HOG0000043	OG0000019	n10	Praa.g_00249																							Prax.g_00926						Prbd.g_00990																														
N57.HOG0000044	OG0000019	n34	Praa.g_00782																							Prax.g_00393						Prbd.g_00082																														
N57.HOG0000045	OG0000020	n6	Praa.g_01107																							Prax.g_00138						Prbd.g_00406																														
N57.HOG0000046	OG0000021	n30	Praa.g_01623																							Prax.g_01587						Prbd.g_01546																														
N57.HOG0000047	OG0000021	n42	Praa.g_00364																							Prax.g_00808						Prbd.g_00874																														
N57.HOG0000048	OG0000022	n20	Praa.g_00763																							Prax.g_00415						Prbd.g_00061																														
N57.HOG0000049	OG0000022	n49	Praa.g_01124																							Prax.g_00157						Prbd.g_00423																														
N57.HOG0000050	OG0000023	n0	Praa.g_00359																							Prax.g_00813						Prbd.g_00879																														
N57.HOG0000051	OG0000024	n17	Praa.g_00747																							Prax.g_00432						Prbd.g_00045																														
N57.HOG0000052	OG0000024	n45	Praa.g_00675																							Prax.g_00967						Prbd.g_00569																														
N57.HOG0000053	OG0000025	n39	Praa.g_00839																							Prax.g_00338						Prbd.g_00137																														
N57.HOG0000054	OG0000025	n58	Praa.g_00331																							Prax.g_00842						Prbd.g_00908																														
N57.HOG0000055	OG0000026	n34																								Prax.g_00458																																				
N57.HOG0000056	OG0000026	n37	Praa.g_00031																							Prax.g_00282						Prbd.g_01206																														
N57.HOG0000057	OG0000026	n53	Praa.g_01054																							Prax.g_01220						Prbd.g_00355																														
N57.HOG0000058	OG0000027	n40	Praa.g_00470																													Prbd.g_00772																														
N57.HOG0000059	OG0000027	n56	Praa.g_01301																							Prax.g_01916						Prbd.g_01832																														
N57.HOG0000060	OG0000028	n21	Praa.g_00320																							Prax.g_00855						Prbd.g_00919																														
N57.HOG0000061	OG0000028	n31	Praa.g_01248																													Prbd.g_01864																														
N57.HOG0000062	OG0000029	n2	Praa.g_00374																							Prax.g_00798						Prbd.g_00863																														
