HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N25.HOG0000000	OG0000000	n64																																				Prbj.g_00164	Prbk.g_00165																							
N25.HOG0000001	OG0000000	n228																																				Prbj.g_00166	Prbk.g_00167																							
N25.HOG0000002	OG0000000	n229																																				Prbj.g_00165	Prbk.g_00166																							
N25.HOG0000003	OG0000001	n11																																				Prbj.g_00672	Prbk.g_01196																							
N25.HOG0000004	OG0000001	n16																																				Prbj.g_00169	Prbk.g_00170																							
N25.HOG0000005	OG0000001	n186																																				Prbj.g_01549	Prbk.g_00561																							
N25.HOG0000006	OG0000001	n188																																				Prbj.g_02662	Prbk.g_02701																							
N25.HOG0000007	OG0000001	n221																																				Prbj.g_02690	Prbk.g_00630																							
N25.HOG0000008	OG0000002	n8																																				Prbj.g_02517	Prbk.g_02574																							
N25.HOG0000009	OG0000002	n42																																				Prbj.g_00030	Prbk.g_01649																							
N25.HOG0000010	OG0000003	n28																																				Prbj.g_02017	Prbk.g_02222																							
N25.HOG0000011	OG0000003	n67																																				Prbj.g_00170	Prbk.g_01375																							
N25.HOG0000012	OG0000003	n69																																				Prbj.g_01574	Prbk.g_00214																							
N25.HOG0000013	OG0000003	n91																																				Prbj.g_02693	Prbk.g_02704																							
N25.HOG0000014	OG0000003	n92																																				Prbj.g_02694	Prbk.g_02705																							
N25.HOG0000015	OG0000003	n95																																				Prbj.g_00096	Prbk.g_00332																							
N25.HOG0000016	OG0000003	n99																																				Prbj.g_02605	Prbk.g_01523																							
N25.HOG0000017	OG0000003	n100																																				Prbj.g_00226	Prbk.g_00695																							
N25.HOG0000018	OG0000003	n101																																				Prbj.g_00059	Prbk.g_01676																							
N25.HOG0000019	OG0000003	n103																																				Prbj.g_00058	Prbk.g_01675																							
N25.HOG0000020	OG0000003	n108																																				Prbj.g_00079	Prbk.g_00349																							
N25.HOG0000021	OG0000003	n116																																				Prbj.g_01354	Prbk.g_00999																							
N25.HOG0000022	OG0000003	n118																																				Prbj.g_01356	Prbk.g_02681																							
N25.HOG0000023	OG0000003	n128																																				Prbj.g_01916	Prbk.g_02121																							
N25.HOG0000024	OG0000003	n129																																				Prbj.g_01831	Prbk.g_00049																							
N25.HOG0000025	OG0000004	n1																																				Prbj.g_00754	Prbk.g_01760																							
N25.HOG0000026	OG0000004	n54																																				Prbj.g_01777	Prbk.g_01134																							
N25.HOG0000027	OG0000005	n46																																				Prbj.g_00883	Prbk.g_00933																							
N25.HOG0000028	OG0000006	n2																																				Prbj.g_02699	Prbk.g_02695																							
N25.HOG0000029	OG0000007	n1																																				Prbj.g_01610																								
N25.HOG0000030	OG0000007	n56																																				Prbj.g_00857	Prbk.g_00907																							
N25.HOG0000031	OG0000008	n2																																				Prbj.g_00929	Prbk.g_01819																							
N25.HOG0000032	OG0000008	n46																																				Prbj.g_00928	Prbk.g_01820																							
N25.HOG0000033	OG0000009	n66																																				Prbj.g_01300	Prbk.g_01932																							
N25.HOG0000034	OG0000009	n69																																				Prbj.g_00618	Prbk.g_00013																							
N25.HOG0000035	OG0000010	n0																																				Prbj.g_00129	Prbk.g_02112																							
N25.HOG0000036	OG0000011	n6																																				Prbj.g_00897	Prbk.g_01851																							
N25.HOG0000037	OG0000012	n61																																				Prbj.g_02552	Prbk.g_02610																							
N25.HOG0000038	OG0000013	n2																																				Prbj.g_00359	Prbk.g_00853																							
N25.HOG0000039	OG0000014	n2																																				Prbj.g_01442	Prbk.g_00454																							
N25.HOG0000040	OG0000015	n23																																				Prbj.g_02502	Prbk.g_02558																							
N25.HOG0000041	OG0000017	n1																																				Prbj.g_01761	Prbk.g_01150																							
N25.HOG0000042	OG0000017	n28																																				Prbj.g_01769	Prbk.g_01142																							
N25.HOG0000043	OG0000018	n0																																				Prbj.g_00641	Prbk.g_01227																							
N25.HOG0000044	OG0000019	n4																																				Prbj.g_00025	Prbk.g_01644																							
N25.HOG0000045	OG0000019	n71																																				Prbj.g_01349	Prbk.g_01004																							
N25.HOG0000046	OG0000020	n6																																				Prbj.g_00046	Prbk.g_01664																							
N25.HOG0000047	OG0000020	n69																																				Prbj.g_00214	Prbk.g_01331																							
N25.HOG0000048	OG0000020	n70																																				Prbj.g_02701	Prbk.g_02697																							
N25.HOG0000049	OG0000021	n4																																				Prbj.g_01121	Prbk.g_01960																							
N25.HOG0000050	OG0000021	n56																																				Prbj.g_01774	Prbk.g_01137																							
N25.HOG0000051	OG0000022	n20																																				Prbj.g_01572	Prbk.g_00212																							
N25.HOG0000052	OG0000022	n49																																				Prbj.g_00050	Prbk.g_01667																							
N25.HOG0000053	OG0000023	n0																																				Prbj.g_02392	Prbk.g_02448																							
N25.HOG0000054	OG0000024	n0																																				Prbj.g_00773	Prbk.g_01780																							
N25.HOG0000055	OG0000025	n0																																				Prbj.g_02475	Prbk.g_02531																							
N25.HOG0000056	OG0000026	n0																																				Prbj.g_01204	Prbk.g_01617																							
N25.HOG0000057	OG0000028	n0																																				Prbj.g_01457	Prbk.g_00469																							
N25.HOG0000058	OG0000029	n19																																				Prbj.g_00378	Prbk.g_00833																							
N25.HOG0000059	OG0000030	n29																																				Prbj.g_01288	Prbk.g_01532																							
N25.HOG0000060	OG0000030	n51																																				Prbj.g_01287	Prbk.g_01533																							
N25.HOG0000061	OG0000031	n40																																				Prbj.g_01527	Prbk.g_00539																							
N25.HOG0000062	OG0000031	n42																																				Prbj.g_01522	Prbk.g_00534																							
N25.HOG0000063	OG0000032	n1																																				Prbj.g_00659	Prbk.g_01209																							
N25.HOG0000064	OG0000032	n41																																				Prbj.g_01468	Prbk.g_00480																							
N25.HOG0000065	OG0000033	n22																																				Prbj.g_00518	Prbk.g_00776																							
N25.HOG0000066	OG0000034	n0																																				Prbj.g_01740	Prbk.g_01171																							
N25.HOG0000067	OG0000035	n1																																				Prbj.g_01056	Prbk.g_00259																							
N25.HOG0000068	OG0000036	n37																																				Prbj.g_01382	Prbk.g_00394																							
N25.HOG0000069	OG0000036	n38																																				Prbj.g_01105	Prbk.g_01942																							
N25.HOG0000070	OG0000036	n41																																				Prbj.g_01106, Prbj.g_02087	Prbk.g_01040																							
N25.HOG0000071	OG0000036	n48																																				Prbj.g_00412	Prbk.g_00799																							
N25.HOG0000072	OG0000036	n49																																				Prbj.g_02670																								
N25.HOG0000073	OG0000036	n51																																				Prbj.g_00504	Prbk.g_00790																							
N25.HOG0000074	OG0000036	n54																																				Prbj.g_02686	Prbk.g_00075																							
N25.HOG0000075	OG0000036	n57																																				Prbj.g_01098	Prbk.g_01949																							
N25.HOG0000076	OG0000036	n59																																				Prbj.g_01134	Prbk.g_01284																							
N25.HOG0000077	OG0000036	n61																																				Prbj.g_01675	Prbk.g_02015																							
N25.HOG0000078	OG0000036	n67																																				Prbj.g_01099	Prbk.g_01948																							
N25.HOG0000079	OG0000037	n34																																				Prbj.g_00624	Prbk.g_00007																							
N25.HOG0000080	OG0000038	n2																																				Prbj.g_01959	Prbk.g_02164																							
N25.HOG0000081	OG0000038	n24																																				Prbj.g_01961	Prbk.g_02166																							
N25.HOG0000082	OG0000039	n44																																				Prbj.g_00429	Prbk.g_01385																							
N25.HOG0000083	OG0000039	n51																																				Prbj.g_00278	Prbk.g_00642																							
N25.HOG0000084	OG0000041	n6																																				Prbj.g_00450	Prbk.g_01406																							
N25.HOG0000085	OG0000042	n44																																				Prbj.g_01808	Prbk.g_01495																							
N25.HOG0000086	OG0000042	n48																																				Prbj.g_00001	Prbk.g_00140																							
N25.HOG0000087	OG0000044	n57																																				Prbj.g_01330	Prbk.g_01462																							
N25.HOG0000088	OG0000044	n63																																				Prbj.g_00194	Prbk.g_01351																							
N25.HOG0000089	OG0000044	n64																																				Prbj.g_02695	Prbk.g_02675																							
N25.HOG0000090	OG0000044	n65																																				Prbj.g_00726	Prbk.g_01732																							
N25.HOG0000091	OG0000045	n57																																				Prbj.g_00563	Prbk.g_01321																							
N25.HOG0000092	OG0000046	n1																																				Prbj.g_00358	Prbk.g_00854																							
N25.HOG0000093	OG0000047	n15																																				Prbj.g_02509	Prbk.g_02565																							
N25.HOG0000094	OG0000047	n37																																				Prbj.g_00666	Prbk.g_01202																							
N25.HOG0000095	OG0000048	n0																																				Prbj.g_01393	Prbk.g_00405																							
N25.HOG0000096	OG0000051	n51																																				Prbj.g_00705	Prbk.g_01709																							
N25.HOG0000097	OG0000051	n61																																				Prbj.g_02362	Prbk.g_02418																							
