Orthogroup	Prbc	Prbg
OG0000000	Prbc.g_01920	Prbg.g_01222
OG0000000	Prbc.g_01759	Prbg.g_01119
OG0000000	Prbc.g_01478	Prbg.g_00694
OG0000000	Prbc.g_01475	Prbg.g_01516
OG0000000	Prbc.g_01474	Prbg.g_00523, Prbg.g_01514
OG0000000	Prbc.g_01479, Prbc.g_01473	Prbg.g_01521
OG0000001	Prbc.g_02167	Prbg.g_01523, Prbg.g_01568
OG0000002	Prbc.g_00588	Prbg.g_00502
OG0000002	Prbc.g_00925, Prbc.g_01530	Prbg.g_01069
OG0000003	Prbc.g_00609, Prbc.g_00812	Prbg.g_01524
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Prbg.g_00451
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Prbg.g_01567
OG0000006	Prbc.g_01556	Prbg.g_00216
OG0000006	Prbc.g_00832	Prbg.g_01650
OG0000007	Prbc.g_00893	Prbg.g_00744
OG0000007	Prbc.g_00894	Prbg.g_00745
OG0000009	Prbc.g_01836	Prbg.g_01510
OG0000010	Prbc.g_01323	Prbg.g_00032
OG0000011	Prbc.g_01273	Prbg.g_00143
OG0000012	Prbc.g_01681	Prbg.g_00324
OG0000012	Prbc.g_01674	Prbg.g_00317
OG0000013	Prbc.g_00599	Prbg.g_01589, Prbg.g_01635
OG0000014	Prbc.g_00072	Prbg.g_01569, Prbg.g_00721
OG0000015	Prbc.g_00037, Prbc.g_00013	Prbg.g_01578, Prbg.g_01611
OG0000016	Prbc.g_00650	Prbg.g_01540, Prbg.g_00688
OG0000017	Prbc.g_00728	Prbg.g_01595, Prbg.g_00612
OG0000018	Prbc.g_02202	Prbg.g_01024
OG0000019	Prbc.g_02189	Prbg.g_01145
OG0000020	Prbc.g_01165	Prbg.g_00464
OG0000021	Prbc.g_02139, Prbc.g_00059	Prbg.g_01632
OG0000023	Prbc.g_01344	Prbg.g_00686
OG0000024	Prbc.g_01198	Prbg.g_00086
OG0000025	Prbc.g_00513, Prbc.g_01383	Prbg.g_01055
OG0000026	Prbc.g_00932	Prbg.g_00730
OG0000028	Prbc.g_00709	Prbg.g_00591
OG0000029	Prbc.g_02181, Prbc.g_00752	Prbg.g_00174
OG0000031	Prbc.g_00088	Prbg.g_00408
OG0000032	Prbc.g_01228	Prbg.g_00550
OG0000033	Prbc.g_00929	Prbg.g_01544
OG0000034	Prbc.g_00517	Prbg.g_00816
OG0000035	Prbc.g_01380	Prbg.g_00025
OG0000036	Prbc.g_00891	Prbg.g_01639
OG0000037	Prbc.g_02155	Prbg.g_00706
OG0000038	Prbc.g_00166	Prbg.g_00682
OG0000039	Prbc.g_00405	Prbg.g_00944
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prbg.g_00013
OG0000041	Prbc.g_01315	Prbg.g_01614, Prbg.g_01608
OG0000042	Prbc.g_01787	Prbg.g_01151
OG0000043	Prbc.g_01999	Prbg.g_01251
OG0000044	Prbc.g_01446	Prbg.g_01486
OG0000045	Prbc.g_01928	Prbg.g_00551
OG0000046	Prbc.g_00826	Prbg.g_00716, Prbg.g_01642
OG0000047	Prbc.g_00211	Prbg.g_01847
OG0000048	Prbc.g_00203	Prbg.g_01855
OG0000050	Prbc.g_01101	Prbg.g_00842
OG0000051	Prbc.g_00414	Prbg.g_00935
OG0000052	Prbc.g_00134, Prbc.g_00641	Prbg.g_00388
