Orthogroup	Prbc	Pray
OG0000000	Prbc.g_01920	Pray.g_01836
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Pray.g_01085
OG0000002	Prbc.g_00588	Pray.g_01844
OG0000002	Prbc.g_00925, Prbc.g_01530	Pray.g_00247, Pray.g_00246
OG0000003	Prbc.g_00609, Prbc.g_00812	Pray.g_01890, Pray.g_01602
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Pray.g_00284
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Pray.g_01603, Pray.g_01576
OG0000006	Prbc.g_01556	Pray.g_00988, Pray.g_00987
OG0000006	Prbc.g_00832	Pray.g_01559
OG0000007	Prbc.g_00893	Pray.g_01931
OG0000009	Prbc.g_01836	Pray.g_00328
OG0000010	Prbc.g_01323	Pray.g_00117, Pray.g_01905
OG0000011	Prbc.g_01273	Pray.g_00897
OG0000011	Prbc.g_01227	Pray.g_00808
OG0000012	Prbc.g_01681, Prbc.g_01674	Pray.g_01165
OG0000013	Prbc.g_00599	Pray.g_00309
OG0000014	Prbc.g_00072	Pray.g_01887, Pray.g_00960
OG0000015	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013	Pray.g_00860
OG0000016	Prbc.g_00650	Pray.g_01833
OG0000017	Prbc.g_00728	Pray.g_01702
OG0000018	Prbc.g_02202	Pray.g_00722
OG0000019	Prbc.g_02189	Pray.g_01578, Pray.g_00842
OG0000021	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Pray.g_00330
OG0000022	Prbc.g_02163, Prbc.g_00103	Pray.g_01888
OG0000023	Prbc.g_01344	Pray.g_01920
OG0000024	Prbc.g_01198, Prbc.g_00680	Pray.g_00784
OG0000025	Prbc.g_00513, Prbc.g_01383	Pray.g_00883
OG0000026	Prbc.g_00932	Pray.g_01495
OG0000027	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Pray.g_01635
OG0000028	Prbc.g_00709	Pray.g_01722
OG0000029	Prbc.g_02181, Prbc.g_00752	Pray.g_01609
OG0000032	Prbc.g_01228	Pray.g_01806
OG0000033	Prbc.g_01083	Pray.g_01475
OG0000034	Prbc.g_00518, Prbc.g_00517	Pray.g_01793
OG0000035	Prbc.g_01380	Pray.g_00438
OG0000036	Prbc.g_00891	Pray.g_01177
OG0000037	Prbc.g_02155	Pray.g_01140
OG0000038	Prbc.g_00166	Pray.g_00304
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Pray.g_00838
OG0000041	Prbc.g_01315	Pray.g_00910
OG0000042	Prbc.g_01787	Pray.g_01040
OG0000043	Prbc.g_01999	Pray.g_00333
OG0000044	Prbc.g_01446	Pray.g_00064
OG0000045	Prbc.g_01928	Pray.g_01786
OG0000046	Prbc.g_00826	Pray.g_01566
OG0000047	Prbc.g_00211	Pray.g_01364
OG0000048	Prbc.g_00203	Pray.g_01371
OG0000050	Prbc.g_01101	Pray.g_01493
OG0000051	Prbc.g_00414	Pray.g_00638
OG0000052	Prbc.g_00134, Prbc.g_00641	Pray.g_00848
OG0000053	Prbc.g_01618	Pray.g_01222
OG0000055	Prbc.g_01882, Prbc.g_00153	Pray.g_00370
OG0000056	Prbc.g_01117	Pray.g_00110
OG0000057	Prbc.g_00333	Pray.g_00718
OG0000058	Prbc.g_01534	Pray.g_00965
OG0000059	Prbc.g_00055, Prbc.g_01780	Pray.g_01065
OG0000061	Prbc.g_00645	Pray.g_00099, Pray.g_00531
OG0000062	Prbc.g_00896	Pray.g_00097
OG0000063	Prbc.g_00102	Pray.g_01927
OG0000065	Prbc.g_00566	Pray.g_01870
OG0000066	Prbc.g_01753	Pray.g_01808
OG0000067	Prbc.g_00616, Prbc.g_00066	Pray.g_00884
OG0000067	Prbc.g_00136	Pray.g_01930
OG0000068	Prbc.g_00284	Pray.g_01306
OG0000070	Prbc.g_00532	Pray.g_01942
OG0000071	Prbc.g_01081	Pray.g_01473
OG0000072	Prbc.g_01214	Pray.g_00800
OG0000073	Prbc.g_01748	Pray.g_01094
OG0000074	Prbc.g_01773	Pray.g_01072
OG0000075	Prbc.g_01865	Pray.g_00355
OG0000076	Prbc.g_02113	Pray.g_00584
OG0000077	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807	Pray.g_01575
OG0000078	Prbc.g_01229	Pray.g_01788
OG0000079	Prbc.g_00790	Pray.g_01644
OG0000080	Prbc.g_00144	Pray.g_01595
OG0000081	Prbc.g_00238	Pray.g_01337
