Orthogroup	Prbc	Prbd
OG0000000	Prbc.g_01920	Prbd.g_01771
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Prbd.g_00566
OG0000001	Prbc.g_00525	Prbd.g_01836
OG0000002	Prbc.g_00588	Prbd.g_01779
OG0000002	Prbc.g_00925, Prbc.g_01530	Prbd.g_01930
OG0000003	Prbc.g_00609, Prbc.g_00812	Prbd.g_01835, Prbd.g_01567
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Prbd.g_00038
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Prbd.g_01568, Prbd.g_01914
OG0000006	Prbc.g_01556	Prbd.g_00745
OG0000006	Prbc.g_00832	Prbd.g_01525
OG0000009	Prbc.g_01836	Prbd.g_00082
OG0000010	Prbc.g_01323	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000011	Prbc.g_01227	Prbd.g_00909
OG0000012	Prbc.g_01681, Prbc.g_01674	Prbd.g_00646
OG0000013	Prbc.g_00599	Prbd.g_00065, Prbd.g_00826
OG0000014	Prbc.g_00072	Prbd.g_01832, Prbd.g_00772
OG0000015	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013	Prbd.g_00856
OG0000016	Prbc.g_00650	Prbd.g_01768
OG0000017	Prbc.g_00728	Prbd.g_01669
OG0000018	Prbc.g_02202	Prbd.g_00998
OG0000019	Prbc.g_02189	Prbd.g_01546, Prbd.g_00874
OG0000020	Prbc.g_01165	Prbd.g_00439
OG0000021	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Prbd.g_00084
OG0000022	Prbc.g_02163, Prbc.g_00103	Prbd.g_01833
OG0000023	Prbc.g_01344	Prbd.g_01887
OG0000024	Prbc.g_01198, Prbc.g_00680	Prbd.g_00933
OG0000026	Prbc.g_00932	Prbd.g_01204
OG0000027	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Prbd.g_01601
