Orthogroup	Prbc	Prau
OG0000000	Prbc.g_01920	Prau.g_01402
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Prau.g_00718
OG0000002	Prbc.g_00588	Prau.g_01394
OG0000002	Prbc.g_00925, Prbc.g_01530	Prau.g_01267, Prau.g_01269
OG0000003	Prbc.g_00609, Prbc.g_00812	Prau.g_01350, Prau.g_01650, Prau.g_01300
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Prau.g_00792
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Prau.g_01648, Prau.g_01665
OG0000006	Prbc.g_01556	Prau.g_00538
OG0000006	Prbc.g_00832	Prau.g_01732
OG0000007	Prbc.g_00893	Prau.g_00781
OG0000009	Prbc.g_01836	Prau.g_00834
OG0000010	Prbc.g_01323	Prau.g_01156, Prau.g_01331
OG0000011	Prbc.g_01273	Prau.g_00414
OG0000011	Prbc.g_01227	Prau.g_00332
OG0000012	Prbc.g_01681, Prbc.g_01674	Prau.g_00636
OG0000013	Prbc.g_00599	Prau.g_00817
OG0000014	Prbc.g_00072	Prau.g_01353
OG0000015	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013	Prau.g_01284, Prau.g_00385
OG0000016	Prbc.g_00650	Prau.g_01405
OG0000017	Prbc.g_00728	Prau.g_01551, Prau.g_00040
OG0000018	Prbc.g_02202	Prau.g_01316
OG0000019	Prbc.g_02189	Prau.g_01680, Prau.g_00367
OG0000021	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Prau.g_00836
OG0000022	Prbc.g_02163, Prbc.g_00103	Prau.g_01352
OG0000023	Prbc.g_01344	Prau.g_01324
OG0000024	Prbc.g_01198, Prbc.g_00680	Prau.g_00308
OG0000026	Prbc.g_00932	Prau.g_00032, Prau.g_01295
OG0000027	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Prau.g_01618
OG0000028	Prbc.g_00709	Prau.g_01528, Prau.g_01531
OG0000029	Prbc.g_02181, Prbc.g_00752	Prau.g_01642, Prau.g_01285
OG0000031	Prbc.g_00095	Prau.g_01681
OG0000031	Prbc.g_00088	Prau.g_01275
OG0000032	Prbc.g_01228	Prau.g_01469
OG0000033	Prbc.g_01083	Prau.g_00013
OG0000034	Prbc.g_00518, Prbc.g_00517	Prau.g_01489
OG0000036	Prbc.g_00891	Prau.g_00624
OG0000037	Prbc.g_02155	Prau.g_00663
OG0000038	Prbc.g_00166	Prau.g_00814
OG0000039	Prbc.g_00405	Prau.g_00167
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prau.g_00362
OG0000041	Prbc.g_01315	Prau.g_00458, Prau.g_00432
OG0000042	Prbc.g_01787	Prau.g_00755
OG0000043	Prbc.g_01999	Prau.g_00839
OG0000044	Prbc.g_01446	Prau.g_01206
OG0000045	Prbc.g_01928	Prau.g_01432, Prau.g_01460
OG0000046	Prbc.g_00826	Prau.g_01725
OG0000047	Prbc.g_00211	Prau.g_00037, Prau.g_01925
OG0000048	Prbc.g_00203	Prau.g_01932
OG0000050	Prbc.g_01101	Prau.g_00030
OG0000051	Prbc.g_00414	Prau.g_00158
OG0000052	Prbc.g_00134, Prbc.g_00641	Prau.g_00373
OG0000053	Prbc.g_01618	Prau.g_00579
OG0000055	Prbc.g_01882, Prbc.g_00153	Prau.g_00876
OG0000056	Prbc.g_01117	Prau.g_01162, Prau.g_00749
OG0000057	Prbc.g_00333	Prau.g_00238, Prau.g_00784
OG0000058	Prbc.g_01534	Prau.g_00516
OG0000059	Prbc.g_00055, Prbc.g_01780	Prau.g_00738
OG0000060	Prbc.g_00148	Prau.g_01703
OG0000061	Prbc.g_00645	Prau.g_01172, Prau.g_01035
OG0000062	Prbc.g_00896	Prau.g_01174
OG0000063	Prbc.g_00102	Prau.g_01318
OG0000065	Prbc.g_00566	Prau.g_01371
OG0000066	Prbc.g_01753	Prau.g_01430
OG0000067	Prbc.g_00136	Prau.g_01335, Prau.g_01307
OG0000068	Prbc.g_00284	Prau.g_01869
OG0000071	Prbc.g_01081	Prau.g_00011
OG0000072	Prbc.g_01214	Prau.g_00324
OG0000073	Prbc.g_01748	Prau.g_00709
OG0000074	Prbc.g_01773	Prau.g_00731
OG0000075	Prbc.g_01865	Prau.g_00861
