Orthogroup	Prbc	Praz
OG0000000	Prbc.g_01920	Praz.g_01146
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Praz.g_01652
OG0000002	Prbc.g_00588	Praz.g_01154
OG0000002	Prbc.g_00925, Prbc.g_01530	Praz.g_01939, Praz.g_01940
OG0000003	Prbc.g_00609, Prbc.g_00812	Praz.g_01200, Praz.g_00920
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Praz.g_01576
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Praz.g_00921, Praz.g_00894
OG0000006	Prbc.g_01556	Praz.g_01831
OG0000006	Prbc.g_00832	Praz.g_00877
OG0000007	Prbc.g_00893	Praz.g_01241
OG0000009	Prbc.g_01836	Praz.g_01532
OG0000010	Prbc.g_01323	Praz.g_00045, Praz.g_01215
OG0000011	Prbc.g_01273	Praz.g_01921
OG0000011	Prbc.g_01227	Praz.g_00687
OG0000012	Prbc.g_01681, Prbc.g_01674	Praz.g_01732
OG0000013	Prbc.g_00599	Praz.g_01551
OG0000014	Prbc.g_00072	Praz.g_01197, Praz.g_01858
OG0000015	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013	Praz.g_00792
OG0000016	Prbc.g_00650	Praz.g_01143
OG0000017	Prbc.g_00728	Praz.g_01021
OG0000018	Prbc.g_02202	Praz.g_00601
OG0000019	Prbc.g_02189	Praz.g_00896, Praz.g_00810
OG0000021	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Praz.g_01530
OG0000022	Prbc.g_02163, Prbc.g_00103	Praz.g_01198
OG0000023	Prbc.g_01344	Praz.g_01230
OG0000024	Prbc.g_01198, Prbc.g_00680	Praz.g_00663
OG0000025	Prbc.g_00513, Prbc.g_01383	Praz.g_00769
OG0000026	Prbc.g_00932	Praz.g_00398
OG0000027	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Praz.g_00954
OG0000028	Prbc.g_00709	Praz.g_01041
OG0000029	Prbc.g_02181, Prbc.g_00752	Praz.g_00928
OG0000032	Prbc.g_01228	Praz.g_01116
OG0000033	Prbc.g_01083	Praz.g_00378
OG0000034	Prbc.g_00518, Prbc.g_00517	Praz.g_01103
OG0000035	Prbc.g_01380	Praz.g_01422
OG0000036	Prbc.g_00891	Praz.g_01744
OG0000037	Prbc.g_02155	Praz.g_01707
OG0000038	Prbc.g_00166	Praz.g_01556
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Praz.g_00814
OG0000041	Prbc.g_01315	Praz.g_01908
OG0000042	Prbc.g_01787	Praz.g_01607
OG0000043	Prbc.g_01999	Praz.g_01527
OG0000044	Prbc.g_01446	Praz.g_00755
OG0000045	Prbc.g_01928	Praz.g_01096
OG0000046	Prbc.g_00826	Praz.g_00884
OG0000047	Prbc.g_00211	Praz.g_00205
OG0000048	Prbc.g_00203	Praz.g_00198
OG0000050	Prbc.g_01101	Praz.g_00396
OG0000051	Prbc.g_00414	Praz.g_00517
OG0000052	Prbc.g_00134, Prbc.g_00641	Praz.g_00804
OG0000053	Prbc.g_01618	Praz.g_01789
OG0000055	Prbc.g_01882, Prbc.g_00153	Praz.g_01490
OG0000056	Prbc.g_01117	Praz.g_00038
OG0000057	Prbc.g_00333	Praz.g_00597
OG0000058	Prbc.g_01534	Praz.g_01853
OG0000059	Prbc.g_00055, Prbc.g_01780	Praz.g_01632
OG0000061	Prbc.g_00645	Praz.g_00027, Praz.g_01330
OG0000062	Prbc.g_00896	Praz.g_00025
OG0000063	Prbc.g_00102	Praz.g_01237
OG0000065	Prbc.g_00566	Praz.g_01180
OG0000066	Prbc.g_01753	Praz.g_01118
OG0000067	Prbc.g_00616, Prbc.g_00066	Praz.g_00768
OG0000067	Prbc.g_00136	Praz.g_01240
OG0000068	Prbc.g_00284	Praz.g_00263
OG0000070	Prbc.g_00532	Praz.g_01253
OG0000071	Prbc.g_01081	Praz.g_00376
OG0000072	Prbc.g_01214	Praz.g_00679
OG0000073	Prbc.g_01748	Praz.g_01661
OG0000074	Prbc.g_01773	Praz.g_01639
OG0000075	Prbc.g_01865	Praz.g_01505
OG0000076	Prbc.g_02113	Praz.g_00066
OG0000077	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807	Praz.g_00893
OG0000078	Prbc.g_01229	Praz.g_01098
OG0000079	Prbc.g_00790	Praz.g_00963
OG0000080	Prbc.g_00144	Praz.g_00913
OG0000081	Prbc.g_00238	Praz.g_00232
OG0000083	Prbc.g_01073	Praz.g_00368
OG0000084	Prbc.g_01076	Praz.g_00371
OG0000085	Prbc.g_01093	Praz.g_00388
OG0000086	Prbc.g_00132	Praz.g_00405, Praz.g_01911
OG0000087	Prbc.g_01127	Praz.g_00415
OG0000088	Prbc.g_00458	Praz.g_00473
OG0000089	Prbc.g_00449	Praz.g_00481
OG0000090	Prbc.g_00432	Praz.g_00499
OG0000091	Prbc.g_00402	Praz.g_00529
OG0000092	Prbc.g_00401	Praz.g_00530
OG0000093	Prbc.g_00388	Praz.g_00544
OG0000094	Prbc.g_00369	Praz.g_00562
OG0000095	Prbc.g_00365	Praz.g_00567
OG0000096	Prbc.g_01147	Praz.g_00611
OG0000097	Prbc.g_01167	Praz.g_00632
OG0000099	Prbc.g_01186	Praz.g_00651
OG0000100	Prbc.g_01189	Praz.g_00654
OG0000101	Prbc.g_01270	Praz.g_00817
OG0000102	Prbc.g_02183	Praz.g_00791
OG0000103	Prbc.g_01535	Praz.g_01852
OG0000104	Prbc.g_01540	Praz.g_01848
OG0000105	Prbc.g_01579	Praz.g_01829
OG0000106	Prbc.g_01611	Praz.g_01796
OG0000107	Prbc.g_01612	Praz.g_01795
OG0000108	Prbc.g_01622	Praz.g_01785
OG0000109	Prbc.g_01632	Praz.g_01776
OG0000110	Prbc.g_01648	Praz.g_01760
OG0000111	Prbc.g_01728	Praz.g_01679
OG0000112	Prbc.g_01729	Praz.g_01678
OG0000113	Prbc.g_01811	Praz.g_01585
OG0000114	Prbc.g_01856	Praz.g_01514
OG0000115	Prbc.g_02036	Praz.g_01350
OG0000116	Prbc.g_02040	Praz.g_01346
OG0000117	Prbc.g_02110	Praz.g_01279, Praz.g_00063
OG0000118	Prbc.g_00173	Praz.g_00114
OG0000119	Prbc.g_00899	Praz.g_00022
OG0000120	Prbc.g_01439	Praz.g_00748
OG0000121	Prbc.g_01417	Praz.g_00729
OG0000122	Prbc.g_01397	Praz.g_00710
OG0000123	Prbc.g_01387	Praz.g_00697
OG0000124	Prbc.g_02103	Praz.g_01936
OG0000125	Prbc.g_00577	Praz.g_01168
OG0000126	Prbc.g_00657	Praz.g_01139
OG0000127	Prbc.g_00695	Praz.g_01054
OG0000128	Prbc.g_00710	Praz.g_01040
OG0000129	Prbc.g_00744	Praz.g_01004
OG0000130	Prbc.g_00830	Praz.g_00879
OG0000131	Prbc.g_00867	Praz.g_00841
OG0000132	Prbc.g_00869	Praz.g_00838
OG0000133	Prbc.g_00326, Prbc.g_01572	Praz.g_00304
OG0000134	Prbc.g_00290	Praz.g_00268
OG0000135	Prbc.g_01560, Prbc.g_00288	Praz.g_00266
OG0000136	Prbc.g_00226	Praz.g_00221
OG0000137	Prbc.g_00190	Praz.g_00188
OG0000138	Prbc.g_00997	Praz.g_00152
OG0000139	Prbc.g_01047	Praz.g_00125
OG0000140	Prbc.g_01071	Praz.g_00366
OG0000141	Prbc.g_01072	Praz.g_00367
OG0000142	Prbc.g_01074	Praz.g_00369
OG0000143	Prbc.g_01075	Praz.g_00370
OG0000144	Prbc.g_01077	Praz.g_00372
OG0000145	Prbc.g_01078	Praz.g_00373
OG0000146	Prbc.g_01079	Praz.g_00374
OG0000147	Prbc.g_01080	Praz.g_00375
OG0000148	Prbc.g_01082	Praz.g_00377
OG0000149	Prbc.g_01084	Praz.g_00379
OG0000150	Prbc.g_01085	Praz.g_00380
OG0000151	Prbc.g_01086	Praz.g_00381
OG0000152	Prbc.g_01087	Praz.g_00382
OG0000153	Prbc.g_01088	Praz.g_00383
OG0000154	Prbc.g_01089	Praz.g_00384
OG0000155	Prbc.g_01090	Praz.g_00385
OG0000156	Prbc.g_01091	Praz.g_00386
OG0000157	Prbc.g_01092	Praz.g_00387
OG0000158	Prbc.g_01094	Praz.g_00389
OG0000159	Prbc.g_01095	Praz.g_00390
OG0000160	Prbc.g_01096	Praz.g_00391
OG0000161	Prbc.g_01097	Praz.g_00392
OG0000162	Prbc.g_01098	Praz.g_00393
OG0000163	Prbc.g_01099	Praz.g_00394
OG0000164	Prbc.g_01102	Praz.g_00397
OG0000165	Prbc.g_01104	Praz.g_00400
OG0000166	Prbc.g_01105	Praz.g_00401
OG0000167	Prbc.g_01106	Praz.g_00402
OG0000168	Prbc.g_01118	Praz.g_00406
OG0000169	Prbc.g_01120	Praz.g_00408
OG0000170	Prbc.g_01121	Praz.g_00409
OG0000171	Prbc.g_01122	Praz.g_00410
OG0000172	Prbc.g_01123	Praz.g_00411
OG0000173	Prbc.g_01124	Praz.g_00412
OG0000174	Prbc.g_01125	Praz.g_00413
OG0000175	Prbc.g_01126	Praz.g_00414
OG0000176	Prbc.g_01128	Praz.g_00416
OG0000177	Prbc.g_01129	Praz.g_00417
OG0000178	Prbc.g_01130	Praz.g_00418
OG0000179	Prbc.g_00509	Praz.g_00424
OG0000180	Prbc.g_00508	Praz.g_00425
OG0000181	Prbc.g_00507	Praz.g_00426
OG0000182	Prbc.g_00504	Praz.g_00429
OG0000183	Prbc.g_00503	Praz.g_00430
OG0000184	Prbc.g_00500	Praz.g_00433
OG0000185	Prbc.g_00496	Praz.g_00437
OG0000186	Prbc.g_00495	Praz.g_00438
OG0000187	Prbc.g_00494	Praz.g_00439
OG0000188	Prbc.g_00493	Praz.g_00440
OG0000189	Prbc.g_00492	Praz.g_00441
OG0000190	Prbc.g_00491	Praz.g_00442
