Orthogroup	Prbc	Prax
OG0000000	Prbc.g_01920	Prax.g_01870
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Prax.g_00964
OG0000001	Prbc.g_00525	Prax.g_01920
OG0000002	Prbc.g_00588	Prax.g_01878
OG0000002	Prbc.g_00925, Prbc.g_01530	Prax.g_00522
OG0000003	Prbc.g_00609, Prbc.g_00812	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Prax.g_00437
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Prax.g_01608, Prax.g_00496
OG0000006	Prbc.g_01556	Prax.g_00704
OG0000006	Prbc.g_00832	Prax.g_01559
OG0000009	Prbc.g_01836	Prax.g_00393
OG0000010	Prbc.g_01323	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000011	Prbc.g_01227	Prax.g_00843
OG0000012	Prbc.g_01681, Prbc.g_01674	Prax.g_00057
OG0000013	Prbc.g_00599	Prax.g_00523
OG0000014	Prbc.g_00072	Prax.g_01916
OG0000015	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013	Prax.g_00793
OG0000016	Prbc.g_00650	Prax.g_01867
OG0000017	Prbc.g_00728	Prax.g_01708
OG0000018	Prbc.g_02202	Prax.g_01972
OG0000019	Prbc.g_02189	Prax.g_01587, Prax.g_00808
OG0000020	Prbc.g_01165	Prax.g_00173
OG0000021	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Prax.g_00391
OG0000022	Prbc.g_02163, Prbc.g_00103	Prax.g_01917
OG0000023	Prbc.g_01344	Prax.g_01950
OG0000024	Prbc.g_01198, Prbc.g_00680	Prax.g_00869
OG0000025	Prbc.g_00513, Prbc.g_01383	Prax.g_00448
OG0000026	Prbc.g_00932	Prax.g_00280
OG0000027	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Prax.g_01641
OG0000028	Prbc.g_00709	Prax.g_01733, Prax.g_01728
OG0000029	Prbc.g_02181, Prbc.g_00752	Prax.g_01616
OG0000036	Prbc.g_00891	Prax.g_00045
OG0000037	Prbc.g_02155	Prax.g_00082
