Orthogroup	Prbc	Prba
OG0000000	Prbc.g_01920	Prba.g_00203
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Prba.g_01639
OG0000002	Prbc.g_00588	Prba.g_00211
OG0000002	Prbc.g_00925, Prbc.g_01530	Prba.g_01081, Prba.g_01080
OG0000003	Prbc.g_00609, Prbc.g_00812	Prba.g_01172, Prba.g_00268
OG0000004	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193	Prba.g_01563
OG0000005	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165	Prba.g_00269, Prba.g_00243
OG0000006	Prbc.g_01556	Prba.g_00964
OG0000006	Prbc.g_00832	Prba.g_00226
OG0000007	Prbc.g_00893	Prba.g_01131
OG0000009	Prbc.g_01836	Prba.g_01519
OG0000010	Prbc.g_01323	Prba.g_00734, Prba.g_01157
OG0000011	Prbc.g_01273	Prba.g_00913
OG0000011	Prbc.g_01227	Prba.g_00546
OG0000012	Prbc.g_01681, Prbc.g_01674	Prba.g_01719
OG0000013	Prbc.g_00599	Prba.g_01538
OG0000014	Prbc.g_00072	Prba.g_01175, Prba.g_00991
OG0000015	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013	Prba.g_00876
OG0000016	Prbc.g_00650	Prba.g_00200
OG0000017	Prbc.g_00728	Prba.g_00693
OG0000018	Prbc.g_02202	Prba.g_00460
OG0000019	Prbc.g_02189	Prba.g_00245, Prba.g_00858
OG0000021	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059	Prba.g_01517
OG0000022	Prbc.g_02163, Prbc.g_00103	Prba.g_01174
OG0000023	Prbc.g_01344	Prba.g_01142
OG0000024	Prbc.g_01198, Prbc.g_00680	Prba.g_00522
OG0000025	Prbc.g_00513, Prbc.g_01383	Prba.g_00899
OG0000026	Prbc.g_00932	Prba.g_01826
OG0000027	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171	Prba.g_00301
OG0000028	Prbc.g_00709	Prba.g_00713
OG0000029	Prbc.g_02181, Prbc.g_00752	Prba.g_00275
OG0000032	Prbc.g_01228	Prba.g_00173
OG0000033	Prbc.g_01083	Prba.g_01806
OG0000034	Prbc.g_00518, Prbc.g_00517	Prba.g_00160
OG0000035	Prbc.g_01380	Prba.g_01409
OG0000036	Prbc.g_00891	Prba.g_01731
OG0000037	Prbc.g_02155	Prba.g_01694
OG0000038	Prbc.g_00166	Prba.g_01543
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prba.g_00854
OG0000041	Prbc.g_01315	Prba.g_01041
OG0000042	Prbc.g_01787	Prba.g_01594
OG0000043	Prbc.g_01999	Prba.g_01514
OG0000044	Prbc.g_01446	Prba.g_00064
OG0000045	Prbc.g_01928	Prba.g_00153
OG0000046	Prbc.g_00826	Prba.g_00233
OG0000047	Prbc.g_00211	Prba.g_00768
OG0000048	Prbc.g_00203	Prba.g_00775
OG0000050	Prbc.g_01101	Prba.g_01824
OG0000051	Prbc.g_00414	Prba.g_01945
OG0000052	Prbc.g_00134, Prbc.g_00641	Prba.g_00864
OG0000053	Prbc.g_01618	Prba.g_00922
OG0000055	Prbc.g_01882, Prbc.g_00153	Prba.g_01477
OG0000056	Prbc.g_01117	Prba.g_00727
OG0000057	Prbc.g_00333	Prba.g_00456
OG0000058	Prbc.g_01534	Prba.g_00986
OG0000059	Prbc.g_00055, Prbc.g_01780	Prba.g_01619
OG0000061	Prbc.g_00645	Prba.g_00099, Prba.g_01317
OG0000062	Prbc.g_00896	Prba.g_00097
OG0000063	Prbc.g_00102	Prba.g_01135
OG0000065	Prbc.g_00566	Prba.g_01192
OG0000066	Prbc.g_01753	Prba.g_00175
OG0000067	Prbc.g_00616, Prbc.g_00066	Prba.g_00900
OG0000067	Prbc.g_00136	Prba.g_01132
OG0000068	Prbc.g_00284	Prba.g_00429
OG0000070	Prbc.g_00532	Prba.g_01120
OG0000071	Prbc.g_01081	Prba.g_01804
OG0000072	Prbc.g_01214	Prba.g_00538
OG0000073	Prbc.g_01748	Prba.g_01648
OG0000074	Prbc.g_01773	Prba.g_01626
OG0000075	Prbc.g_01865	Prba.g_01492
OG0000076	Prbc.g_02113	Prba.g_01264
OG0000077	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807	Prba.g_00242
OG0000078	Prbc.g_01229	Prba.g_00155
OG0000079	Prbc.g_00790	Prba.g_00310
