Orthogroup	Prbc	Prbl
OG0000000	Prbc.g_01920	Prbl.g_01582
OG0000000	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473	Prbl.g_01092
OG0000001	Prbc.g_00525	Prbl.g_00118
OG0000002	Prbc.g_00588	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121
OG0000002	Prbc.g_00925, Prbc.g_01530	Prbl.g_02599
OG0000003	Prbc.g_00609, Prbc.g_00812	Prbl.g_00117
OG0000004	Prbc.g_01294	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Prbc.g_01556	Prbl.g_00531
OG0000006	Prbc.g_00832	Prbl.g_00394
OG0000007	Prbc.g_00893, Prbc.g_00894	Prbl.g_01854, Prbl.g_01855
OG0000009	Prbc.g_01836	Prbl.g_01509
OG0000011	Prbc.g_01273	Prbl.g_01574
OG0000011	Prbc.g_01227	Prbl.g_00719
OG0000012	Prbc.g_01681	Prbl.g_01755
OG0000012	Prbc.g_01674	Prbl.g_01763
OG0000013	Prbc.g_00599	Prbl.g_01566
OG0000016	Prbc.g_00650	Prbl.g_00007, Prbl.g_00046
OG0000017	Prbc.g_00728	Prbl.g_00691
OG0000018	Prbc.g_02202	Prbl.g_02601
OG0000019	Prbc.g_02189	Prbl.g_01768
OG0000020	Prbc.g_01165	Prbl.g_01465
OG0000024	Prbc.g_01198	Prbl.g_01416
OG0000026	Prbc.g_00932	Prbl.g_01981
OG0000028	Prbc.g_00709	Prbl.g_00242
OG0000031	Prbc.g_00088	Prbl.g_01677
OG0000034	Prbc.g_00518, Prbc.g_00517	Prbl.g_00870
OG0000036	Prbc.g_00891	Prbl.g_01783
OG0000037	Prbc.g_02155	Prbl.g_01618
OG0000038	Prbc.g_00166	Prbl.g_01072, Prbl.g_01310
OG0000039	Prbc.g_00405	Prbl.g_00281
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prbl.g_02355
OG0000042	Prbc.g_01787	Prbl.g_02567, Prbl.g_01839
OG0000043	Prbc.g_01999	Prbl.g_01099, Prbl.g_01097
OG0000044	Prbc.g_01446	Prbl.g_02084
OG0000045	Prbc.g_01928	Prbl.g_00890
OG0000046	Prbc.g_00826	Prbl.g_00405
OG0000047	Prbc.g_00211	Prbl.g_01285
OG0000048	Prbc.g_00203	Prbl.g_01236, Prbl.g_01121
OG0000050	Prbc.g_01101	Prbl.g_01977
OG0000051	Prbc.g_00414	Prbl.g_00290
OG0000052	Prbc.g_00134, Prbc.g_00641	Prbl.g_00411
OG0000053	Prbc.g_01618	Prbl.g_00752
OG0000054	Prbc.g_01116	Prbl.g_01943
OG0000055	Prbc.g_01882, Prbc.g_00153	Prbl.g_02310
OG0000056	Prbc.g_01117	Prbl.g_00138
OG0000058	Prbc.g_01534	Prbl.g_01340
OG0000059	Prbc.g_00055, Prbc.g_01780	Prbl.g_00025
OG0000062	Prbc.g_00896	Prbl.g_02204
OG0000063	Prbc.g_00102	Prbl.g_01384
OG0000065	Prbc.g_00566	Prbl.g_01722
OG0000066	Prbc.g_01753	Prbl.g_00892
OG0000068	Prbc.g_00284	Prbl.g_01126, Prbl.g_01000
OG0000069	Prbc.g_00746	Prbl.g_00712
OG0000070	Prbc.g_00532	Prbl.g_01171
OG0000071	Prbc.g_01081	Prbl.g_02109
OG0000072	Prbc.g_01214	Prbl.g_00897
OG0000073	Prbc.g_01748	Prbl.g_01395
OG0000074	Prbc.g_01773	Prbl.g_01859
OG0000075	Prbc.g_01865	Prbl.g_02328
OG0000076	Prbc.g_02113	Prbl.g_00927
OG0000078	Prbc.g_01229	Prbl.g_00893
OG0000079	Prbc.g_00790	Prbl.g_00417
OG0000080	Prbc.g_00144	Prbl.g_00462
OG0000081	Prbc.g_00238	Prbl.g_00857
OG0000082	Prbc.g_01009	Prbl.g_02195
OG0000083	Prbc.g_01073	Prbl.g_02118
OG0000084	Prbc.g_01076	Prbl.g_02115
OG0000085	Prbc.g_01093	Prbl.g_01968
OG0000087	Prbc.g_01127	Prbl.g_02273
OG0000088	Prbc.g_00458	Prbl.g_01331
OG0000089	Prbc.g_00449	Prbl.g_01316
OG0000090	Prbc.g_00432	Prbl.g_00810
OG0000091	Prbc.g_00402	Prbl.g_00278
OG0000092	Prbc.g_00401	Prbl.g_00277
OG0000093	Prbc.g_00388	Prbl.g_00069
OG0000094	Prbc.g_00369	Prbl.g_00098
OG0000095	Prbc.g_00365	Prbl.g_01282
OG0000096	Prbc.g_01147	Prbl.g_01506
OG0000097	Prbc.g_01167	Prbl.g_01461
OG0000098	Prbc.g_01177	Prbl.g_01448
OG0000099	Prbc.g_01186	Prbl.g_01436
OG0000100	Prbc.g_01189	Prbl.g_01432
OG0000101	Prbc.g_01270	Prbl.g_02677
OG0000102	Prbc.g_02183	Prbl.g_02190
OG0000103	Prbc.g_01535	Prbl.g_01339
