Prokaryotes	NCBI_Taxonomy_ID	NCBI_Accession_ID	Genome Size (Mbp)	Class	Group
Prochlorococcus_marinus_str_AS9601	146891	GCA_000015645	1.67	Oxygenic	HL II
Prochlorococcus_marinus_str_MED4	59919	GCA_000011465	1.66	Oxygenic	HL I
Prochlorococcus_marinus_str_MIT_9107	59921	GCA_000759855	1.7	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9201	93057	GCA_000759955	1.67	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9301	167546	GCA_000015965	1.64	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9303	59922	GCA_000015705	2.68	Oxygenic	LL IV
Prochlorococcus_marinus_str_MIT_9312	74546	GCA_000012645	1.71	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9313	74547	GCA_000011485	2.41	Oxygenic	LL IV
Prochlorococcus_marinus_str_MIT_9515	167542	GCA_000015665	1.7	Oxygenic	HL I
Prochlorococcus_marinus_str_NATL2A	59920	GCA_000012465	1.84	Oxygenic	LL I
Prochlorococcus_marinus_str_SS120	167539	GCA_000007925	1.75	Oxygenic	LL II/III
Prochlorococcus_sp_MIT_0601	1499498	GCA_000760175	1.71	Oxygenic	LL II/III
Prochlorococcus_sp_MIT_0603	1499500	GCA_000760215	1.75	Oxygenic	LL II/III
Prochlorococcus_marinus_str_EQPAC1	190047	GCA_000759875	1.65	Oxygenic	HL I
Prochlorococcus_marinus_str_GP2	59925	GCA_000759885	1.62	Oxygenic	HL II
Prochlorococcus_marinus_str_LG	167556	GCA_000760155	1.75	Oxygenic	LL II/III
Prochlorococcus_marinus_str_MIT_9116	167544	GCA_000759865	1.69	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9123	167545	GCA_000759935	1.7	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9202	93058	GCA_000158595	1.69	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9211	93059	GCA_000018585	1.69	Oxygenic	LL II/III
Prochlorococcus_marinus_str_MIT_9215	93060	GCA_000018065	1.74	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9302	74545	GCA_000759975	1.75	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9311	167547	GCA_000760015	1.71	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9314	167548	GCA_000760035	1.69	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9321	167549	GCA_000760055	1.66	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9322	167550	GCA_000760075	1.66	Oxygenic	HL II
Prochlorococcus_marinus_str_MIT_9401	167551	GCA_000760095	1.67	Oxygenic	HL II
Prochlorococcus_marinus_str_NATL1A	167555	GCA_000015685	1.86	Oxygenic	LL I
Prochlorococcus_marinus_str_PAC1	59924	GCA_000760235	1.84	Oxygenic	LL I
Prochlorococcus_marinus_str_SB	59926	GCA_000760115	1.67	Oxygenic	HL II
Prochlorococcus_marinus_str_SS2	167552	GCA_000760255	1.75	Oxygenic	LL II/III
Prochlorococcus_marinus_str_SS35	167553	GCA_000760275	1.75	Oxygenic	LL II/III
Prochlorococcus_marinus_str_SS51	167554	GCA_000760355	1.75	Oxygenic	LL II/III
Prochlorococcus_sp_MIT_0602*	1499499	GCA_000760195	1.75	Oxygenic	LL II/III
Prochlorococcus_sp_MIT_0604	1501268	GCA_000757845	1.78	Oxygenic	HL II
Prochlorococcus_sp_MIT_0701	1499502	GCA_000760295	2.59	Oxygenic	LL IV
Prochlorococcus_sp_MIT_0702	1499503	GCA_000760315	2.58	Oxygenic	LL IV
Prochlorococcus_sp_MIT_0703	1499504	GCA_000760335	2.58	Oxygenic	LL IV
Prochlorococcus_sp_MIT_0801	1501269	GCA_000757865	1.93	Oxygenic	LL I
Prochlorococcus_sp_SS52	1499501	GCA_000760375	1.75	Oxygenic	LL II/III
Synechococcus_sp_WH_8102	84588	GCA_000195975	2.43	Oxygenic	Syn 5.1
Synechococcus_sp_CC9311	64471	GCA_000014585	2.61	Oxygenic	Syn 5.1
Synechococcus_sp_CC9902	316279	GCA_000012505	2.23	Oxygenic	Syn 5.1
Synechococcus_sp_KORDI-100	1280380	GCA_000737535	2.79	Oxygenic	Syn 5.1
Synechococcus_sp_KORDI-49	585423	GCA_000737575	2.59	Oxygenic	Syn 5.1
Synechococcus_sp_KORDI-52	585425	GCA_000737595	2.57	Oxygenic	Syn 5.1
Synechococcus_sp_RS9916	221359	GCA_000153825	2.66	Oxygenic	Syn 5.1
Synechococcus_sp_WH_7803	32051	GCA_000063505	2.37	Oxygenic	Syn 5.1
Synechococcus_sp_BL107	313625	GCA_000153805	2.29	Oxygenic	Syn 5.1
Synechococcus_sp_CC9605	110662	GCA_000012625	2.51	Oxygenic	Syn 5.1
Synechococcus_sp_CC9616	110663	GCA_000515235	2.65	Oxygenic	Syn 5.1
Synechococcus_sp_WH_7805	59931	GCA_000153285	2.63	Oxygenic	Syn 5.1
Synechococcus_sp_WH_8016	166318	GCA_000230675	2.69	Oxygenic	Syn 5.1
Synechococcus_sp_WH_8109	166314	GCA_000161795	2.11	Oxygenic	Syn 5.1
Synechococcus_sp_CB0101	232348	GCA_000179235	2.69	Oxygenic	Syn 5.2
Synechococcus_sp_CB0205	232363	GCA_000179255	2.43	Oxygenic	Syn 5.2
Synechococcus_sp_GFB01	1662190	GCA_001039265	2.34	Oxygenic	Syn 5.2
Synechococcus_sp_RS9917_RCC556	221360	GCA_000153065	2.58	Oxygenic	Syn 5.1
Synechococcus_sp_WH_5701	69042	GCA_000153045	3.28	Oxygenic	Syn 5.2
Synechocystis_sp_PCC_7001	927677	GCA_000155635	4.91	Oxygenic	Syn 5.2
Synechocystis_sp_PCC_6307	927677	GCA_000316515	4.91	Oxygenic	Syn 5.2
