Orthogroup	Praw	Syan
OG0000001	Praw.g_01000	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528
OG0000004	Praw.g_01827	Syan.g_00183
OG0000004	Praw.g_01203	Syan.g_00989
OG0000005	Praw.g_00528	Syan.g_01423
OG0000005	Praw.g_00413	Syan.g_01378
OG0000006	Praw.g_01950	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Praw.g_00651	Syan.g_02743
OG0000007	Praw.g_00515	Syan.g_01400
OG0000008	Praw.g_00501	Syan.g_00640, Syan.g_02532
OG0000008	Praw.g_00502	Syan.g_00641, Syan.g_02531
OG0000009	Praw.g_00447, Praw.g_01330	Syan.g_02972
OG0000010	Praw.g_01460	Syan.g_02847
OG0000012	Praw.g_00159	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Praw.g_00807	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Praw.g_00828	Syan.g_01987
OG0000015	Praw.g_01738	Syan.g_01691, Syan.g_00248
OG0000016	Praw.g_01415	Syan.g_02598
OG0000017	Praw.g_01944	Syan.g_01006, Syan.g_01013
OG0000018	Praw.g_00215	Syan.g_02816
OG0000019	Praw.g_00884, Praw.g_01717	Syan.g_02088
OG0000021	Praw.g_00479, Praw.g_00767	Syan.g_01001
OG0000022	Praw.g_00197	Syan.g_00089
OG0000023	Praw.g_00772	Syan.g_00404
OG0000025	Praw.g_00803, Praw.g_01664	Syan.g_00374
OG0000026	Praw.g_01397, Praw.g_01453	Syan.g_01743
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syan.g_02678
OG0000028	Praw.g_00334, Praw.g_00814	Syan.g_01971
OG0000030	Praw.g_00029	Syan.g_01884, Syan.g_01883
OG0000032	Praw.g_01043	Syan.g_01819, Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000034	Praw.g_00991	Syan.g_01227, Syan.g_03003
OG0000035	Praw.g_01081, Praw.g_01083	Syan.g_01279, Syan.g_01276
OG0000037	Praw.g_01326	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Praw.g_01182	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Praw.g_01836	Syan.g_02771, Syan.g_00535
OG0000040	Praw.g_00214	Syan.g_01651
OG0000041	Praw.g_00562	Syan.g_00302, Syan.g_01465
OG0000042	Praw.g_00032	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Praw.g_00761	Syan.g_00151
OG0000048	Praw.g_00504, Praw.g_00758	Syan.g_02036
OG0000053	Praw.g_00357	Syan.g_02812
OG0000054	Praw.g_00142	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Praw.g_01716	Syan.g_00312
OG0000057	Praw.g_01824	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000059	Praw.g_01894	Syan.g_02255
OG0000060	Praw.g_01743	Syan.g_02856, Syan.g_02250, Syan.g_00249, Syan.g_00277
OG0000061	Praw.g_00234	Syan.g_02696
OG0000062	Praw.g_00415	Syan.g_01380
OG0000063	Praw.g_01395	Syan.g_01739
OG0000065	Praw.g_01328	Syan.g_02974
OG0000066	Praw.g_00609	Syan.g_01156
OG0000067	Praw.g_01697	Syan.g_00690
OG0000068	Praw.g_01016	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Praw.g_00448	Syan.g_00459, Syan.g_00278
OG0000070	Praw.g_00697	Syan.g_00289
OG0000071	Praw.g_00981	Syan.g_01213
OG0000072	Praw.g_01264	Syan.g_03038, Syan.g_02999
OG0000073	Praw.g_00649	Syan.g_02741
OG0000075	Praw.g_00064	Syan.g_00981, Syan.g_01937
OG0000076	Praw.g_00039	Syan.g_01896
OG0000077	Praw.g_01356	Syan.g_02919, Syan.g_02579
OG0000078	Praw.g_01196	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000082	Praw.g_01932	Syan.g_00952
OG0000084	Praw.g_01087	Syan.g_01283
OG0000085	Praw.g_00508	Syan.g_01387
