Orthogroup	Praw	Syaj
OG0000001	Praw.g_01000	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Praw.g_01009, Praw.g_01844	Syaj.g_02667
OG0000004	Praw.g_01827	Syaj.g_00441
OG0000004	Praw.g_01203	Syaj.g_01314, Syaj.g_02853
OG0000005	Praw.g_00528	Syaj.g_01736
OG0000005	Praw.g_00413	Syaj.g_01698
OG0000006	Praw.g_01950	Syaj.g_02635
OG0000007	Praw.g_00651	Syaj.g_00091
OG0000007	Praw.g_00515	Syaj.g_01721
OG0000008	Praw.g_00501	Syaj.g_00496
OG0000008	Praw.g_00502	Syaj.g_00497
OG0000009	Praw.g_00447	Syaj.g_01069
OG0000009	Praw.g_01330	Syaj.g_01885
OG0000010	Praw.g_01460	Syaj.g_01445
OG0000011	Praw.g_00952	Syaj.g_01133
OG0000012	Praw.g_00159	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000013	Praw.g_00807	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Praw.g_00828	Syaj.g_02522
OG0000015	Praw.g_01738	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Praw.g_01415	Syaj.g_00590
OG0000016	Praw.g_00484	Syaj.g_01191
OG0000017	Praw.g_01944	Syaj.g_00248, Syaj.g_00255
OG0000018	Praw.g_00215	Syaj.g_01413
OG0000019	Praw.g_00884, Praw.g_01717	Syaj.g_02613
OG0000021	Praw.g_00479, Praw.g_00767	Syaj.g_00982, Syaj.g_00042
OG0000022	Praw.g_00197	Syaj.g_01220
OG0000023	Praw.g_00772	Syaj.g_00829, Syaj.g_01791
OG0000024	Praw.g_01763, Praw.g_01847	Syaj.g_00500
OG0000025	Praw.g_00803, Praw.g_01664	Syaj.g_00383
OG0000026	Praw.g_01397, Praw.g_01453	Syaj.g_02298
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syaj.g_00396
OG0000028	Praw.g_00334, Praw.g_00814	Syaj.g_02506
OG0000029	Praw.g_01755	Syaj.g_01229
OG0000030	Praw.g_00029	Syaj.g_02396, Syaj.g_02395
OG0000034	Praw.g_00991	Syaj.g_01959
OG0000035	Praw.g_01081, Praw.g_01083	Syaj.g_01378
OG0000037	Praw.g_01326	Syaj.g_01891, Syaj.g_02902
OG0000038	Praw.g_01182	Syaj.g_02115
