Orthogroup	Praw	Prbj
OG0000000	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prbj.g_00166, Prbj.g_00165
OG0000000	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974	Prbj.g_00164
OG0000001	Praw.g_01000	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Praw.g_01009	Prbj.g_02517
OG0000002	Praw.g_01844	Prbj.g_00030
OG0000004	Praw.g_01827	Prbj.g_00754
OG0000004	Praw.g_01203	Prbj.g_01777
OG0000005	Praw.g_00413	Prbj.g_00883
OG0000006	Praw.g_01950	Prbj.g_02699
OG0000007	Praw.g_00651	Prbj.g_01610
OG0000007	Praw.g_00515	Prbj.g_00857
OG0000008	Praw.g_00501	Prbj.g_00929
OG0000008	Praw.g_00502	Prbj.g_00928
OG0000009	Praw.g_01330	Prbj.g_01300, Prbj.g_00618
OG0000010	Praw.g_01460	Prbj.g_00129
OG0000011	Praw.g_00952	Prbj.g_00897
OG0000012	Praw.g_00159	Prbj.g_02552
OG0000013	Praw.g_00807	Prbj.g_00359
OG0000014	Praw.g_00828	Prbj.g_01442
OG0000015	Praw.g_01738	Prbj.g_02502
OG0000017	Praw.g_01944	Prbj.g_01769, Prbj.g_01761
OG0000018	Praw.g_00215	Prbj.g_00641
OG0000019	Praw.g_00884, Praw.g_01717	Prbj.g_00025, Prbj.g_01349
OG0000020	Praw.g_00483	Prbj.g_00214, Prbj.g_02701
OG0000021	Praw.g_00479, Praw.g_00767	Prbj.g_01121, Prbj.g_01774
OG0000022	Praw.g_00197	Prbj.g_00050
OG0000022	Praw.g_01746	Prbj.g_01572
OG0000023	Praw.g_00772	Prbj.g_02392
OG0000024	Praw.g_01763, Praw.g_01847	Prbj.g_00773
OG0000025	Praw.g_00803, Praw.g_01664	Prbj.g_02475
OG0000026	Praw.g_01397, Praw.g_01453	Prbj.g_01204
OG0000028	Praw.g_00814	Prbj.g_01457
OG0000029	Praw.g_01755	Prbj.g_00378
OG0000030	Praw.g_00029	Prbj.g_01288, Prbj.g_01287
OG0000032	Praw.g_01043	Prbj.g_01468
OG0000034	Praw.g_00991	Prbj.g_01740
OG0000035	Praw.g_01081, Praw.g_01083	Prbj.g_01056
OG0000037	Praw.g_01326	Prbj.g_00624
OG0000038	Praw.g_01182	Prbj.g_01959, Prbj.g_01961
OG0000039	Praw.g_01836	Prbj.g_00429, Prbj.g_00278
OG0000041	Praw.g_00562	Prbj.g_00450
OG0000042	Praw.g_00032	Prbj.g_01808, Prbj.g_00001
OG0000047	Praw.g_00804	Prbj.g_00666
OG0000048	Praw.g_00504, Praw.g_00758	Prbj.g_01393
OG0000053	Praw.g_00357	Prbj.g_00638
OG0000054	Praw.g_00142	Prbj.g_01758
OG0000057	Praw.g_01824	Prbj.g_00758
OG0000059	Praw.g_01894	Prbj.g_01029
OG0000060	Praw.g_01743	Prbj.g_01633, Prbj.g_01132
OG0000061	Praw.g_00234	Prbj.g_00971
OG0000062	Praw.g_00415	Prbj.g_00881
OG0000063	Praw.g_01395	Prbj.g_01208
OG0000065	Praw.g_01328	Prbj.g_00620
OG0000066	Praw.g_00609	Prbj.g_02141
OG0000067	Praw.g_01697	Prbj.g_02412
OG0000068	Praw.g_01016	Prbj.g_01639
OG0000070	Praw.g_00697	Prbj.g_00118
OG0000071	Praw.g_00981	Prbj.g_01728
OG0000072	Praw.g_01264	Prbj.g_00516
OG0000073	Praw.g_00649	Prbj.g_01608
OG0000075	Praw.g_00064	Prbj.g_01502
OG0000076	Praw.g_00039	Prbj.g_01598
OG0000077	Praw.g_01356	Prbj.g_01900, Prbj.g_00576
OG0000078	Praw.g_01196	Prbj.g_02614
OG0000081	Praw.g_00617	Prbj.g_00799, Prbj.g_00765
OG0000082	Praw.g_01932	Prbj.g_01789
OG0000084	Praw.g_01087	Prbj.g_01052
OG0000085	Praw.g_00508	Prbj.g_00869
OG0000086	Praw.g_01346	Prbj.g_00589
OG0000087	Praw.g_01296	Prbj.g_01547
OG0000088	Praw.g_01269	Prbj.g_00521, Prbj.g_00912
OG0000089	Praw.g_00776	Prbj.g_00064
OG0000090	Praw.g_00615	Prbj.g_02127
OG0000091	Praw.g_01880	Prbj.g_02581
OG0000093	Praw.g_01571	Prbj.g_02388
OG0000094	Praw.g_01486	Prbj.g_01985
OG0000095	Praw.g_01467	Prbj.g_01838
OG0000097	Praw.g_00275	Prbj.g_02152
OG0000098	Praw.g_00997	Prbj.g_00669
OG0000099	Praw.g_01051	Prbj.g_01464
OG0000100	Praw.g_00411	Prbj.g_00185, Prbj.g_02442
OG0000101	Praw.g_00096	Prbj.g_00415, Prbj.g_00981
OG0000102	Praw.g_00034	Prbj.g_01819
OG0000103	Praw.g_01148	Prbj.g_02055
OG0000104	Praw.g_01140	Prbj.g_02069
OG0000105	Praw.g_00860	Prbj.g_01397
OG0000106	Praw.g_00762	Prbj.g_00875
OG0000107	Praw.g_00748	Prbj.g_02659
OG0000108	Praw.g_00667	Prbj.g_01630
OG0000109	Praw.g_00654	Prbj.g_01614
OG0000110	Praw.g_01922	Prbj.g_01801
OG0000111	Praw.g_01823	Prbj.g_00759
OG0000112	Praw.g_01732	Prbj.g_02276
OG0000113	Praw.g_01675	Prbj.g_02437
OG0000114	Praw.g_01597	Prbj.g_02340
OG0000115	Praw.g_00178	Prbj.g_00634
OG0000116	Praw.g_00224	Prbj.g_00956
OG0000117	Praw.g_00926	Prbj.g_01915
OG0000118	Praw.g_00993	Prbj.g_01742
OG0000119	Praw.g_01012	Prbj.g_00740, Prbj.g_00778
OG0000120	Praw.g_01050	Prbj.g_01465
OG0000121	Praw.g_01078	Prbj.g_01064, Prbj.g_01058
OG0000122	Praw.g_00377	Prbj.g_02627
OG0000123	Praw.g_00089	Prbj.g_00406
OG0000124	Praw.g_00023	Prbj.g_01281
OG0000125	Praw.g_01180	Prbj.g_01963
OG0000126	Praw.g_01141	Prbj.g_02067
OG0000128	Praw.g_01125	Prbj.g_02085
OG0000129	Praw.g_01384	Prbj.g_01951
OG0000130	Praw.g_01365	Prbj.g_00564
OG0000131	Praw.g_01290	Prbj.g_00543
OG0000132	Praw.g_01271	Prbj.g_00523
OG0000133	Praw.g_00812	Prbj.g_01460
OG0000134	Praw.g_00775	Prbj.g_00067
OG0000135	Praw.g_00751	Prbj.g_02004
OG0000136	Praw.g_00706	Prbj.g_00105
OG0000137	Praw.g_00672	Prbj.g_00128
OG0000138	Praw.g_00653	Prbj.g_01613
OG0000139	Praw.g_00611	Prbj.g_02133
OG0000140	Praw.g_00610	Prbj.g_02139
OG0000141	Praw.g_00143	Prbj.g_01757
OG0000142	Praw.g_01887	Prbj.g_02573
OG0000143	Praw.g_01883	Prbj.g_02577
OG0000144	Praw.g_01870	Prbj.g_00793
OG0000145	Praw.g_01745	Prbj.g_01607
OG0000146	Praw.g_01731	Prbj.g_02277
OG0000147	Praw.g_01730	Prbj.g_02278
OG0000148	Praw.g_01681	Prbj.g_02431
OG0000149	Praw.g_01652	Prbj.g_02488
OG0000150	Praw.g_01644	Prbj.g_02511
OG0000151	Praw.g_01587	Prbj.g_02361
OG0000152	Praw.g_01539	Prbj.g_02268
OG0000153	Praw.g_01520	Prbj.g_02241
OG0000154	Praw.g_01493	Prbj.g_02213
OG0000155	Praw.g_00254	Prbj.g_00312
