Orthogroup	Praw	Syai
OG0000001	Praw.g_01000	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Praw.g_01009, Praw.g_01844	Syai.g_01728
OG0000004	Praw.g_01827	Syai.g_01994
OG0000004	Praw.g_01203	Syai.g_01062, Syai.g_00530
OG0000005	Praw.g_00528	Syai.g_02393
OG0000005	Praw.g_00413	Syai.g_02356
OG0000006	Praw.g_01950	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Praw.g_00651	Syai.g_00657
OG0000007	Praw.g_00515	Syai.g_02378
OG0000008	Praw.g_00501	Syai.g_01956
OG0000008	Praw.g_00502	Syai.g_01955
OG0000009	Praw.g_00447	Syai.g_01626
OG0000009	Praw.g_01330	Syai.g_02541
OG0000010	Praw.g_01460	Syai.g_00864
OG0000011	Praw.g_00952	Syai.g_01894, Syai.g_00582
OG0000012	Praw.g_00159	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Praw.g_00807	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Praw.g_00828	Syai.g_00220
OG0000015	Praw.g_01738	Syai.g_01246, Syai.g_01245
OG0000016	Praw.g_01415	Syai.g_01785
OG0000016	Praw.g_00484	Syai.g_01632
OG0000017	Praw.g_01944	Syai.g_00801, Syai.g_00808
OG0000018	Praw.g_00215	Syai.g_00915
OG0000019	Praw.g_00884, Praw.g_01717	Syai.g_00304
OG0000020	Praw.g_00181, Praw.g_00483	Syai.g_00476
OG0000021	Praw.g_00479, Praw.g_00767	Syai.g_00556
OG0000022	Praw.g_00197	Syai.g_01159
OG0000023	Praw.g_00772	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Praw.g_01763, Praw.g_01847	Syai.g_01951
OG0000025	Praw.g_00803, Praw.g_01664	Syai.g_02044
OG0000026	Praw.g_01397, Praw.g_01453	Syai.g_00038
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syai.g_01128, Syai.g_01654
OG0000028	Praw.g_00334, Praw.g_00814	Syai.g_00205
OG0000029	Praw.g_01755	Syai.g_01035, Syai.g_01584
OG0000030	Praw.g_00029	Syai.g_00096, Syai.g_00095
OG0000034	Praw.g_00991	Syai.g_02192, Syai.g_02604
OG0000035	Praw.g_01081, Praw.g_01083	Syai.g_00955
OG0000037	Praw.g_01326	Syai.g_02544, Syai.g_02815
OG0000038	Praw.g_01182	Syai.g_02780
OG0000039	Praw.g_01836	Syai.g_02034
OG0000040	Praw.g_00214	Syai.g_02876
OG0000041	Praw.g_00562	Syai.g_02265, Syai.g_02016
OG0000042	Praw.g_00032	Syai.g_00099
OG0000045	Praw.g_00761	Syai.g_02432
OG0000047	Praw.g_00804	Syai.g_00462
OG0000048	Praw.g_00504, Praw.g_00758	Syai.g_00272
OG0000050	Praw.g_01432	Syai.g_01332
OG0000051	Praw.g_00955	Syai.g_01773
OG0000053	Praw.g_00357	Syai.g_00930
OG0000054	Praw.g_00142	Syai.g_01040
OG0000055	Praw.g_01716	Syai.g_02029
OG0000057	Praw.g_01824	Syai.g_01997
OG0000059	Praw.g_01894	Syai.g_00351
OG0000060	Praw.g_01743	Syai.g_00635, Syai.g_01758
OG0000061	Praw.g_00234	Syai.g_02144
OG0000062	Praw.g_00415	Syai.g_02358
OG0000063	Praw.g_01395	Syai.g_00042
OG0000066	Praw.g_00609	Syai.g_01709, Syai.g_00719
OG0000067	Praw.g_01697	Syai.g_01321
OG0000068	Praw.g_01016	Syai.g_00628
OG0000070	Praw.g_00697	Syai.g_02196
OG0000071	Praw.g_00981	Syai.g_02179
OG0000072	Praw.g_01264	Syai.g_02636
OG0000073	Praw.g_00649	Syai.g_00659
OG0000075	Praw.g_00064	Syai.g_00161
OG0000076	Praw.g_00039	Syai.g_00111
OG0000077	Praw.g_01356	Syai.g_02486
OG0000078	Praw.g_01196	Syai.g_00543
OG0000081	Praw.g_00617	Syai.g_00553, Syai.g_02292
OG0000082	Praw.g_01932	Syai.g_00781
OG0000084	Praw.g_01087	Syai.g_01196, Syai.g_00958
OG0000085	Praw.g_00508	Syai.g_02365
