Orthogroup	Praw	Syak
OG0000001	Praw.g_01000	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Praw.g_01827	Syak.g_01219, Syak.g_00720
OG0000004	Praw.g_01203	Syak.g_00003, Syak.g_02297
OG0000005	Praw.g_00528	Syak.g_02401
OG0000005	Praw.g_00413	Syak.g_00885, Syak.g_02436
OG0000006	Praw.g_01950	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Praw.g_00651	Syak.g_02595
OG0000007	Praw.g_00515	Syak.g_02416
OG0000008	Praw.g_00501	Syak.g_00267
OG0000008	Praw.g_00502	Syak.g_00692
OG0000009	Praw.g_01330	Syak.g_02194
OG0000010	Praw.g_01460	Syak.g_01119
OG0000012	Praw.g_00159	Syak.g_00010
OG0000013	Praw.g_00807	Syak.g_01270, Syak.g_01275
OG0000014	Praw.g_00828	Syak.g_01505
OG0000015	Praw.g_01738	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Praw.g_01415	Syak.g_00818
OG0000017	Praw.g_01944	Syak.g_02730, Syak.g_02738
OG0000018	Praw.g_00215	Syak.g_01072
OG0000019	Praw.g_00884, Praw.g_01717	Syak.g_01413
OG0000021	Praw.g_00479, Praw.g_00767	Syak.g_00566
OG0000022	Praw.g_00197	Syak.g_00088
OG0000023	Praw.g_00772	Syak.g_00316, Syak.g_00223
OG0000025	Praw.g_00803, Praw.g_01664	Syak.g_00610
OG0000026	Praw.g_01397, Praw.g_01453	Syak.g_01757
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syak.g_00127
OG0000028	Praw.g_00334, Praw.g_00814	Syak.g_01522
OG0000029	Praw.g_01755	Syak.g_00169, Syak.g_00178
OG0000030	Praw.g_00029	Syak.g_01684, Syak.g_01685
OG0000032	Praw.g_01043	Syak.g_01707
OG0000033	Praw.g_01266	Syak.g_02101
OG0000034	Praw.g_00991	Syak.g_00950, Syak.g_02133
OG0000035	Praw.g_01081, Praw.g_01083	Syak.g_01041, Syak.g_01040
OG0000037	Praw.g_01326	Syak.g_02188
OG0000038	Praw.g_01182	Syak.g_01938, Syak.g_01936
OG0000039	Praw.g_01836	Syak.g_00772, Syak.g_01918
OG0000040	Praw.g_00214	Syak.g_01852
OG0000041	Praw.g_00562	Syak.g_02354, Syak.g_00752
OG0000042	Praw.g_00032	Syak.g_00843, Syak.g_01681
OG0000043	Praw.g_01627	Syak.g_00335
OG0000045	Praw.g_00761	Syak.g_00228
OG0000047	Praw.g_00804	Syak.g_01147
OG0000048	Praw.g_00504, Praw.g_00758	Syak.g_01446
OG0000053	Praw.g_00357	Syak.g_01068
OG0000054	Praw.g_00142	Syak.g_02744, Syak.g_02321
OG0000055	Praw.g_01716	Syak.g_00766
OG0000057	Praw.g_01824	Syak.g_00724, Syak.g_01676
OG0000059	Praw.g_01894	Syak.g_01355
OG0000060	Praw.g_01743	Syak.g_01138, Syak.g_02572, Syak.g_00844
OG0000061	Praw.g_00234	Syak.g_00898
OG0000062	Praw.g_00415	Syak.g_02434
OG0000063	Praw.g_01395	Syak.g_01752
