Orthogroup	Praw	Prad
OG0000000	Praw.g_01782, Praw.g_00961	Prad.g_00352
OG0000000	Praw.g_00455	Prad.g_00392
OG0000000	Praw.g_00294	Prad.g_00393
OG0000000	Praw.g_00454	Prad.g_00393
OG0000000	Praw.g_00496	Prad.g_00393
OG0000000	Praw.g_00294	Prad.g_01435
OG0000000	Praw.g_00454	Prad.g_01435
OG0000000	Praw.g_00496	Prad.g_01435
OG0000000	Praw.g_00472	Prad.g_00372, Prad.g_00349
OG0000000	Praw.g_00959	Prad.g_00350
OG0000000	Praw.g_00495, Praw.g_00457	Prad.g_00389
OG0000001	Praw.g_01000	Prad.g_00609
OG0000001	Praw.g_01739, Praw.g_01951	Prad.g_01434, Prad.g_01994
OG0000002	Praw.g_01009	Prad.g_00601
OG0000002	Praw.g_01844	Prad.g_01252
OG0000004	Praw.g_01827	Prad.g_01269
OG0000004	Praw.g_01203	Prad.g_01759
OG0000005	Praw.g_00528	Prad.g_00928
OG0000005	Praw.g_00413	Prad.g_00438
OG0000006	Praw.g_01950	Prad.g_01750
OG0000007	Praw.g_00651	Prad.g_00132
OG0000007	Praw.g_00515	Prad.g_00941
OG0000008	Praw.g_01850	Prad.g_01246
OG0000009	Praw.g_00447	Prad.g_00401
OG0000009	Praw.g_01330	Prad.g_01888
OG0000010	Praw.g_00673	Prad.g_00033
OG0000010	Praw.g_01460	Prad.g_01011
OG0000011	Praw.g_00952	Prad.g_00339
OG0000012	Praw.g_00159	Prad.g_01412
OG0000013	Praw.g_00807	Prad.g_01664
OG0000014	Praw.g_00828	Prad.g_01685
OG0000015	Praw.g_01738	Prad.g_01108
OG0000017	Praw.g_01944	Prad.g_01387
OG0000018	Praw.g_01670	Prad.g_01173
OG0000018	Praw.g_00215	Prad.g_01515
OG0000019	Praw.g_00884	Prad.g_01742
OG0000019	Praw.g_01717	Prad.g_01125
OG0000020	Praw.g_00181	Prad.g_00647
OG0000020	Praw.g_00483	Prad.g_01299
OG0000021	Praw.g_00479	Prad.g_01981
OG0000021	Praw.g_00767	Prad.g_00745
OG0000022	Praw.g_00197	Prad.g_01993
OG0000022	Praw.g_01746	Prad.g_01105
OG0000023	Praw.g_00772	Prad.g_00751
OG0000024	Praw.g_01763	Prad.g_01088
OG0000024	Praw.g_01847	Prad.g_01249
OG0000025	Praw.g_00803	Prad.g_01660
OG0000025	Praw.g_01664	Prad.g_01181
OG0000026	Praw.g_01397	Prad.g_01955
OG0000026	Praw.g_01453	Prad.g_01004
OG0000027	Praw.g_00492	Prad.g_01298
OG0000027	Praw.g_00962	Prad.g_00353
OG0000028	Praw.g_00334	Prad.g_01204
OG0000028	Praw.g_00814	Prad.g_01671
OG0000029	Praw.g_01755	Prad.g_01096
OG0000032	Praw.g_01043	Prad.g_00561
OG0000033	Praw.g_01266	Prad.g_01822
OG0000034	Praw.g_00991	Prad.g_00618
OG0000035	Praw.g_01081, Praw.g_01083	Prad.g_00515
OG0000037	Praw.g_01326	Prad.g_01884
OG0000038	Praw.g_01182	Prad.g_01582
OG0000039	Praw.g_01836	Prad.g_01260
OG0000040	Praw.g_00476	Prad.g_00369
OG0000040	Praw.g_00214	Prad.g_01516
OG0000041	Praw.g_00562	Prad.g_00894
OG0000042	Praw.g_00032	Prad.g_01624
OG0000043	Praw.g_01627	Prad.g_00276
OG0000045	Praw.g_00761	Prad.g_00738
OG0000047	Praw.g_00804	Prad.g_01661
OG0000048	Praw.g_00758	Prad.g_00735
OG0000049	Praw.g_00750	Prad.g_00726
OG0000049	Praw.g_00928	Prad.g_01215
OG0000050	Praw.g_01432	Prad.g_00985
OG0000051	Praw.g_00955	Prad.g_00342
OG0000053	Praw.g_00357	Prad.g_00494
OG0000054	Praw.g_00142	Prad.g_01395
OG0000055	Praw.g_01716	Prad.g_01126
OG0000057	Praw.g_01824	Prad.g_01272
OG0000058	Praw.g_01055	Prad.g_00565
OG0000059	Praw.g_01894	Prad.g_00855
OG0000061	Praw.g_00234	Prad.g_01496
