Orthogroup	Syap	Prap
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prap.g_01925
OG0000004	Syap.g_01987	Prap.g_01480
OG0000005	Syap.g_01218	Prap.g_00204
OG0000006	Syap.g_02770	Prap.g_01470
OG0000007	Syap.g_00275	Prap.g_01270
OG0000007	Syap.g_00621	Prap.g_01779
OG0000010	Syap.g_02757	Prap.g_00669, Prap.g_00318
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prap.g_01385
OG0000014	Syap.g_01675	Prap.g_01403
OG0000015	Syap.g_02606, Syap.g_00786	Prap.g_01840, Prap.g_01794
OG0000016	Syap.g_00404	Prap.g_00514
OG0000018	Syap.g_02708	Prap.g_00755
OG0000018	Syap.g_02010	Prap.g_00478
OG0000019	Syap.g_01586	Prap.g_01462, Prap.g_00480
OG0000025	Syap.g_01846	Prap.g_00747
OG0000027	Syap.g_01440	Prap.g_01912, Prap.g_01860
OG0000028	Syap.g_01658	Prap.g_01889
OG0000030	Syap.g_00787, Syap.g_00788	Prap.g_01569
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Prap.g_00080
OG0000033	Syap.g_01198	Prap.g_00087
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prap.g_00572
OG0000035	Syap.g_02125, Syap.g_02465	Prap.g_00121
OG0000037	Syap.g_02492	Prap.g_01067
OG0000038	Syap.g_00139	Prap.g_01530
OG0000039	Syap.g_01749, Syap.g_01748	Prap.g_00814
OG0000041	Syap.g_01510	Prap.g_01731
OG0000042	Syap.g_01891, Syap.g_01120	Prap.g_01572
OG0000043	Syap.g_01998	Prap.g_00477
OG0000045	Syap.g_02525	Prap.g_00500
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prap.g_01384
OG0000048	Syap.g_02340	Prap.g_00548
OG0000051	Syap.g_01574	Prap.g_00611
OG0000053	Syap.g_02006	Prap.g_00142, Prap.g_01834
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prap.g_01161
OG0000057	Syap.g_01569	Prap.g_00799
OG0000058	Syap.g_02074	Prap.g_00081
OG0000059	Syap.g_01918	Prap.g_01691
OG0000061	Syap.g_00228	Prap.g_00456
OG0000062	Syap.g_01220	Prap.g_00206
OG0000063	Syap.g_01796	Prap.g_01903
OG0000066	Syap.g_01972	Prap.g_01230, Prap.g_01867
OG0000067	Syap.g_00194	Prap.g_00783
OG0000068	Syap.g_00108, Syap.g_00144	Prap.g_00059
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prap.g_01312
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prap.g_01316
OG0000071	Syap.g_01483	Prap.g_00561
OG0000072	Syap.g_00555	Prap.g_00999
OG0000073	Syap.g_00273	Prap.g_01267
OG0000075	Syap.g_01064, Syap.g_00664	Prap.g_01606
OG0000076	Syap.g_01111	Prap.g_01580
OG0000077	Syap.g_00416	Prap.g_01099
OG0000078	Syap.g_01149	Prap.g_01472
OG0000079	Syap.g_01589	Prap.g_01459
OG0000080	Syap.g_01707, Syap.g_00630, Syap.g_01035	Prap.g_00093, Prap.g_00095
OG0000085	Syap.g_00611	Prap.g_01917, Prap.g_01787
