Orthogroup	Syap	Syah
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syah.g_00040, Syah.g_00041
OG0000004	Syap.g_01987	Syah.g_00901
OG0000005	Syap.g_01773	Syah.g_02403
OG0000005	Syap.g_01218	Syah.g_02363
OG0000006	Syap.g_02770	Syah.g_01912
OG0000007	Syap.g_00275	Syah.g_01016
OG0000007	Syap.g_00621	Syah.g_02384
OG0000009	Syap.g_02081	Syah.g_01910, Syah.g_02535
OG0000010	Syap.g_02757	Syah.g_01220
OG0000013	Syap.g_00972	Syah.g_00817
OG0000014	Syap.g_01675	Syah.g_00127
OG0000014	Syap.g_00813	Syah.g_00323
OG0000016	Syap.g_00071	Syah.g_00359
OG0000018	Syap.g_02010	Syah.g_01264
OG0000019	Syap.g_01586	Syah.g_00669
OG0000025	Syap.g_01846	Syah.g_02082
OG0000028	Syap.g_01658	Syah.g_00141
OG0000030	Syap.g_00787	Syah.g_00264
OG0000030	Syap.g_00788	Syah.g_00265
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syah.g_00146
OG0000031	Syap.g_00722	Syah.g_00226
OG0000033	Syap.g_01198	Syah.g_00078, Syah.g_00211
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syah.g_00048, Syah.g_02213
OG0000035	Syap.g_02125, Syap.g_02465	Syah.g_01293
OG0000037	Syap.g_02492	Syah.g_00956, Syah.g_01365
OG0000038	Syap.g_00139	Syah.g_00506
OG0000039	Syap.g_01749, Syap.g_01748	Syah.g_02074
OG0000040	Syap.g_01819	Syah.g_00431
OG0000042	Syap.g_01891, Syap.g_01120	Syah.g_00261
OG0000043	Syap.g_01998	Syah.g_02119
OG0000045	Syap.g_02525	Syah.g_02356
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syah.g_00816
OG0000048	Syap.g_02340	Syah.g_00637
OG0000051	Syap.g_01574	Syah.g_02473
OG0000053	Syap.g_02006	Syah.g_01267
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Syah.g_01862
OG0000057	Syap.g_01569	Syah.g_02020
OG0000058	Syap.g_02074	Syah.g_00152
OG0000059	Syap.g_01918	Syah.g_00737
OG0000060	Syap.g_00795	Syah.g_01515
OG0000061	Syap.g_00870	Syah.g_00215
