Orthogroup	Syap	Prar
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prar.g_00926
OG0000004	Syap.g_01987	Prar.g_00095
OG0000005	Syap.g_01773	Prar.g_01130
OG0000005	Syap.g_01218	Prar.g_00771
OG0000006	Syap.g_02770	Prar.g_00086
OG0000007	Syap.g_00275	Prar.g_01328
OG0000007	Syap.g_00621	Prar.g_01143
OG0000009	Syap.g_02081	Prar.g_00223
OG0000010	Syap.g_02757	Prar.g_01567, Prar.g_01912
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prar.g_00260
OG0000014	Syap.g_01675	Prar.g_00281
OG0000015	Syap.g_02606, Syap.g_00786	Prar.g_01179
OG0000016	Syap.g_00071	Prar.g_00025
OG0000017	Syap.g_00449	Prar.g_01428
OG0000018	Syap.g_02708	Prar.g_01711
OG0000018	Syap.g_02010	Prar.g_01282
OG0000019	Syap.g_01586	Prar.g_00078, Prar.g_01663
OG0000025	Syap.g_01846	Prar.g_00256, Prar.g_01718
OG0000027	Syap.g_01440	Prar.g_00520
OG0000028	Syap.g_01658	Prar.g_00985, Prar.g_00267
OG0000030	Syap.g_00787, Syap.g_00788	Prar.g_00662
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Prar.g_00879
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prar.g_00886
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prar.g_00945
OG0000035	Syap.g_02125, Syap.g_02465	Prar.g_00339
OG0000037	Syap.g_02492	Prar.g_00219
OG0000038	Syap.g_00139	Prar.g_00702
OG0000039	Syap.g_01749, Syap.g_01748	Prar.g_01516
OG0000040	Syap.g_01819	Prar.g_01283
OG0000041	Syap.g_01510	Prar.g_00602
OG0000042	Syap.g_01891, Syap.g_01120	Prar.g_00660
OG0000044	Syap.g_00378	Prar.g_01172
OG0000045	Syap.g_02525	Prar.g_01583
OG0000048	Syap.g_02340	Prar.g_00435
OG0000053	Syap.g_02006	Prar.g_00589, Prar.g_00827
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prar.g_01436
OG0000057	Syap.g_01569	Prar.g_01528
OG0000059	Syap.g_01918	Prar.g_01090
OG0000061	Syap.g_00228	Prar.g_01263
OG0000062	Syap.g_01220	Prar.g_00769
OG0000063	Syap.g_01796	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000066	Syap.g_01972	Prar.g_01369
OG0000067	Syap.g_00194	Prar.g_01684
OG0000068	Syap.g_00108, Syap.g_00144	Prar.g_00911
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prar.g_01170, Prar.g_00736
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prar.g_00498
OG0000071	Syap.g_01483	Prar.g_00955
OG0000072	Syap.g_00555	Prar.g_00156
OG0000073	Syap.g_01020, Syap.g_00273	Prar.g_01330
OG0000075	Syap.g_01064, Syap.g_00664	Prar.g_00629
OG0000076	Syap.g_01111	Prar.g_00592, Prar.g_00653
OG0000077	Syap.g_00416	Prar.g_00250
OG0000078	Syap.g_01149	Prar.g_00088
OG0000085	Syap.g_00611	Prar.g_01150
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prar.g_00189
OG0000088	Syap.g_01202	Prar.g_00161
OG0000089	Syap.g_00115, Syap.g_02042	Prar.g_00416
OG0000090	Syap.g_01451	Prar.g_01363
OG0000091	Syap.g_01861	Prar.g_01472
OG0000094	Syap.g_02781	Prar.g_01885
OG0000095	Syap.g_01556	Prar.g_01904
OG0000098	Syap.g_01975	Prar.g_00929
OG0000099	Syap.g_01385	Prar.g_00872
OG0000101	Syap.g_00472	Prar.g_01027
OG0000102	Syap.g_01116	Prar.g_00658
OG0000103	Syap.g_02607, Syap.g_02608	Prar.g_00050
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prar.g_00042
OG0000105	Syap.g_01369, Syap.g_01368	Prar.g_00313
OG0000107	Syap.g_02496	Prar.g_00446
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prar.g_00530
OG0000109	Syap.g_00279, Syap.g_02237	Prar.g_00544
OG0000110	Syap.g_01313	Prar.g_01404
OG0000111	Syap.g_01566, Syap.g_01568	Prar.g_01529
OG0000112	Syap.g_02023	Prar.g_01652
OG0000113	Syap.g_02714	Prar.g_01706
OG0000114	Syap.g_01255	Prar.g_01776
OG0000115	Syap.g_02004	Prar.g_01318
OG0000116	Syap.g_00241	Prar.g_01273
OG0000117	Syap.g_01889	Prar.g_01003
OG0000118	Syap.g_02286	Prar.g_00943
OG0000120	Syap.g_02075	Prar.g_00880
OG0000121	Syap.g_02471	Prar.g_00337
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prar.g_01021
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prar.g_00668
OG0000125	Syap.g_01046, Syap.g_01047	Prar.g_00704
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prar.g_00043
OG0000128	Syap.g_00069	Prar.g_00027
OG0000129	Syap.g_00130, Syap.g_00129	Prar.g_00576
OG0000130	Syap.g_01688, Syap.g_01689	Prar.g_00549
OG0000131	Syap.g_02189	Prar.g_00182
OG0000132	Syap.g_01205	Prar.g_00163
OG0000133	Syap.g_02017	Prar.g_00265
OG0000134	Syap.g_02047	Prar.g_00417
OG0000135	Syap.g_02090	Prar.g_00444
OG0000136	Syap.g_00089	Prar.g_00489
OG0000137	Syap.g_02756	Prar.g_00525
OG0000138	Syap.g_00278	Prar.g_00545
OG0000139	Syap.g_00410	Prar.g_01367
OG0000140	Syap.g_01976	Prar.g_01368
