Orthogroup	Syap	Syab
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syab.g_02553, Syab.g_02555
OG0000001	Syap.g_00399	Syab.g_00673
OG0000004	Syap.g_01987	Syab.g_02377
OG0000005	Syap.g_01773	Syab.g_02289
OG0000005	Syap.g_01218	Syab.g_02806, Syab.g_02232
OG0000006	Syap.g_02770	Syab.g_01849
OG0000007	Syap.g_00275	Syab.g_02117
OG0000007	Syap.g_00621	Syab.g_02256
OG0000009	Syap.g_02081	Syab.g_02498
OG0000010	Syap.g_02757	Syab.g_00696
OG0000013	Syap.g_00972	Syab.g_00482
OG0000014	Syap.g_01675	Syab.g_00249
OG0000014	Syap.g_00813	Syab.g_00178
OG0000015	Syap.g_02606	Syab.g_02889
OG0000016	Syap.g_00071	Syab.g_00014
OG0000018	Syap.g_02010	Syab.g_00742
OG0000019	Syap.g_01586	Syab.g_00344
OG0000025	Syap.g_01846	Syab.g_01705
OG0000028	Syap.g_01658	Syab.g_00234
OG0000030	Syap.g_00787	Syab.g_00096
OG0000030	Syap.g_00788	Syab.g_00095
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syab.g_00160
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syab.g_00149
OG0000033	Syap.g_01198	Syab.g_02590
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syab.g_00900, Syab.g_02560
OG0000035	Syap.g_02125, Syap.g_02465	Syab.g_00778
OG0000037	Syap.g_02492	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205
OG0000038	Syap.g_00139	Syab.g_02761
OG0000039	Syap.g_01749, Syap.g_01748	Syab.g_02791
OG0000040	Syap.g_01819	Syab.g_02853
OG0000042	Syap.g_01891, Syap.g_01120	Syab.g_01019, Syab.g_00099
OG0000043	Syap.g_01998	Syab.g_02802
OG0000045	Syap.g_02525	Syab.g_00871
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syab.g_00481
OG0000048	Syap.g_02340	Syab.g_00308
OG0000051	Syap.g_01574	Syab.g_01073, Syab.g_02216
OG0000053	Syap.g_02006	Syab.g_00746
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Syab.g_01932
OG0000057	Syap.g_01569	Syab.g_01200
OG0000058	Syap.g_02074	Syab.g_00227
OG0000059	Syap.g_01918	Syab.g_00397
OG0000061	Syap.g_00870	Syab.g_00171
OG0000061	Syap.g_00228	Syab.g_00969
OG0000062	Syap.g_01220	Syab.g_02234
OG0000063	Syap.g_01796	Syab.g_00040
OG0000066	Syap.g_01972	Syab.g_01516, Syab.g_02031
OG0000068	Syap.g_00108, Syap.g_00144	Syab.g_02087
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syab.g_00614
OG0000073	Syap.g_00273	Syab.g_02119
OG0000075	Syap.g_01064, Syap.g_00664	Syab.g_00202
OG0000076	Syap.g_01111	Syab.g_00113
OG0000077	Syap.g_00416	Syab.g_02446
OG0000078	Syap.g_01149	Syab.g_02366
OG0000079	Syap.g_01589	Syab.g_00340
OG0000080	Syap.g_01035	Syab.g_00140
OG0000085	Syap.g_00611	Syab.g_02243
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syab.g_02551
OG0000088	Syap.g_01202	Syab.g_02586
OG0000089	Syap.g_00115, Syap.g_02042	Syab.g_00551
OG0000090	Syap.g_01451	Syab.g_02041
OG0000091	Syap.g_01861	Syab.g_01866
OG0000094	Syap.g_02781	Syab.g_01306
OG0000095	Syap.g_01556	Syab.g_01210
OG0000099	Syap.g_01385	Syab.g_00230
OG0000102	Syap.g_01116	Syab.g_00104
OG0000103	Syap.g_02607, Syap.g_02608	Syab.g_01296
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syab.g_02910
OG0000105	Syap.g_01369, Syap.g_01368	Syab.g_00303
OG0000107	Syap.g_02496	Syab.g_00367
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Syab.g_02096
