Orthogroup	Syap	Praz
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Praz.g_01154
OG0000004	Syap.g_01987	Praz.g_00592
OG0000005	Syap.g_01773	Praz.g_00864
OG0000005	Syap.g_01218	Praz.g_00965
OG0000006	Syap.g_02770	Praz.g_00601
OG0000007	Syap.g_00275	Praz.g_01831
OG0000007	Syap.g_00621	Praz.g_00877
OG0000009	Syap.g_02081	Praz.g_00465
OG0000010	Syap.g_02757	Praz.g_00074
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Praz.g_00684
OG0000014	Syap.g_01675	Praz.g_00663
OG0000014	Syap.g_00813	Praz.g_01102
OG0000015	Syap.g_02606, Syap.g_00786	Praz.g_01551
OG0000016	Syap.g_00071	Praz.g_00378
OG0000017	Syap.g_00449	Praz.g_01732
OG0000018	Syap.g_02708	Praz.g_01485
OG0000018	Syap.g_02010	Praz.g_00011
OG0000019	Syap.g_01586	Praz.g_00609, Praz.g_01532
OG0000025	Syap.g_01846	Praz.g_00688, Praz.g_01477
OG0000027	Syap.g_01440	Praz.g_01858, Praz.g_01197
OG0000028	Syap.g_01658	Praz.g_01246, Praz.g_00677
OG0000030	Syap.g_00787, Syap.g_00788	Praz.g_00195
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Praz.g_01116
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Praz.g_01170
OG0000035	Syap.g_02125, Syap.g_02465	Praz.g_01041
OG0000037	Syap.g_02492	Praz.g_00469
OG0000038	Syap.g_00139	Praz.g_00154
OG0000039	Syap.g_01749, Syap.g_01748	Praz.g_01644
OG0000040	Syap.g_01819	Praz.g_00012
OG0000042	Syap.g_01891, Syap.g_01120	Praz.g_00198
OG0000043	Syap.g_01998	Praz.g_01234
OG0000044	Syap.g_00378	Praz.g_00693
OG0000048	Syap.g_02340	Praz.g_00800
OG0000051	Syap.g_01574	Praz.g_01204
OG0000053	Syap.g_02006	Praz.g_01021
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Praz.g_01724
OG0000057	Syap.g_01569	Praz.g_01632
OG0000058	Syap.g_02074	Praz.g_01096
OG0000059	Syap.g_01082, Syap.g_02478	Praz.g_01071
OG0000059	Syap.g_01918	Praz.g_00311
OG0000061	Syap.g_00228	Praz.g_00755
OG0000062	Syap.g_01220	Praz.g_00963
OG0000063	Syap.g_01796	Praz.g_00398
OG0000066	Syap.g_01972	Praz.g_01789
OG0000067	Syap.g_00194	Praz.g_01512
OG0000068	Syap.g_00108, Syap.g_00144	Praz.g_01139
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Praz.g_00928
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Praz.g_01878
OG0000071	Syap.g_01483	Praz.g_01180
OG0000072	Syap.g_00555	Praz.g_00531
OG0000073	Syap.g_01020, Syap.g_00273	Praz.g_01829
OG0000075	Syap.g_01064, Syap.g_00664	Praz.g_00230
OG0000076	Syap.g_01111	Praz.g_00205
OG0000077	Syap.g_00416	Praz.g_00438
OG0000078	Syap.g_01149	Praz.g_00599
OG0000079	Syap.g_01589	Praz.g_00612
OG0000085	Syap.g_00611	Praz.g_00884
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Praz.g_00499
OG0000088	Syap.g_01202	Praz.g_00526
OG0000089	Syap.g_00115, Syap.g_02042	Praz.g_00818
OG0000090	Syap.g_01451	Praz.g_01795
OG0000091	Syap.g_01861	Praz.g_01688
OG0000094	Syap.g_02781	Praz.g_01296
OG0000095	Syap.g_01556	Praz.g_00066
OG0000098	Syap.g_01975	Praz.g_01157
OG0000099	Syap.g_01385	Praz.g_01098
OG0000101	Syap.g_00472	Praz.g_00263
OG0000102	Syap.g_01116	Praz.g_00200
OG0000103	Syap.g_02607, Syap.g_02608	Praz.g_00120
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Praz.g_00361
OG0000105	Syap.g_01369, Syap.g_01368	Praz.g_00632
OG0000107	Syap.g_02496	Praz.g_00788
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Praz.g_01848
OG0000109	Syap.g_00279, Syap.g_02237	Praz.g_01834
OG0000110	Syap.g_01313	Praz.g_01754
OG0000111	Syap.g_01566, Syap.g_01568	Praz.g_01631
OG0000112	Syap.g_02023	Praz.g_01547
OG0000113	Syap.g_02714	Praz.g_01490
OG0000114	Syap.g_01255	Praz.g_01408
OG0000115	Syap.g_02004	Praz.g_00054
OG0000116	Syap.g_00241	Praz.g_00002
OG0000117	Syap.g_01889	Praz.g_01237
OG0000118	Syap.g_02286	Praz.g_01168
OG0000120	Syap.g_02075	Praz.g_01118
OG0000121	Syap.g_02471	Praz.g_01039
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Praz.g_00256
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Praz.g_00189
OG0000125	Syap.g_01046, Syap.g_01047	Praz.g_00152
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Praz.g_00360
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Praz.g_01255
OG0000128	Syap.g_00069	Praz.g_00376
OG0000129	Syap.g_00130, Syap.g_00129	Praz.g_00410
OG0000130	Syap.g_01688, Syap.g_01689	Praz.g_00429
OG0000131	Syap.g_02189	Praz.g_00505
OG0000132	Syap.g_01205	Praz.g_00524
OG0000133	Syap.g_02017	Praz.g_00679
OG0000134	Syap.g_02047	Praz.g_00817
OG0000135	Syap.g_02090	Praz.g_00791
OG0000136	Syap.g_00089	Praz.g_01887
OG0000137	Syap.g_02756	Praz.g_01853
OG0000138	Syap.g_00278	Praz.g_01833
OG0000139	Syap.g_00410	Praz.g_01791
OG0000140	Syap.g_01976	Praz.g_01790
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Praz.g_01723
OG0000142	Syap.g_00895, Syap.g_00894	Praz.g_01695
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Praz.g_01691
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Praz.g_01678
OG0000145	Syap.g_01860, Syap.g_01859	Praz.g_01554
OG0000146	Syap.g_02024	Praz.g_01546
OG0000147	Syap.g_02025	Praz.g_01545
OG0000148	Syap.g_02720	Praz.g_01496
OG0000149	Syap.g_00824	Praz.g_01465
OG0000150	Syap.g_01540	Praz.g_01457
OG0000151	Syap.g_00142	Praz.g_01398
OG0000152	Syap.g_02012	Praz.g_01350
OG0000153	Syap.g_02682	Praz.g_01331
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Praz.g_01303
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Praz.g_00734
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Praz.g_01191
OG0000157	Syap.g_00249, Syap.g_00286	Praz.g_01190
OG0000158	Syap.g_01075	Praz.g_01097
OG0000159	Syap.g_00700	Praz.g_01095
OG0000160	Syap.g_02470, Syap.g_02469	Praz.g_01040
OG0000161	Syap.g_02476	Praz.g_01034
OG0000162	Syap.g_02531	Praz.g_01028
OG0000164	Syap.g_01391, Syap.g_01392	Praz.g_00853
OG0000165	Syap.g_01381, Syap.g_01382	Praz.g_00846
OG0000166	Syap.g_00512, Syap.g_01238	Praz.g_00299
OG0000167	Syap.g_02080	Praz.g_00232
OG0000168	Syap.g_01076	Praz.g_00222
OG0000169	Syap.g_01049, Syap.g_01093	Praz.g_00212
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Praz.g_00210
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Praz.g_00190
OG0000172	Syap.g_01143, Syap.g_00635	Praz.g_00181
