Orthogroup	Syap	Pray
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Pray.g_01844
OG0000004	Syap.g_01987	Pray.g_00713
OG0000005	Syap.g_01773	Pray.g_01546
OG0000005	Syap.g_01218	Pray.g_01646
OG0000006	Syap.g_02770	Pray.g_00722
OG0000007	Syap.g_00275	Pray.g_00988, Pray.g_00987
OG0000007	Syap.g_00621	Pray.g_01559
OG0000009	Syap.g_02081	Pray.g_00184
OG0000010	Syap.g_02757	Pray.g_00592
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Pray.g_00805
OG0000014	Syap.g_01675	Pray.g_00784
OG0000014	Syap.g_00813	Pray.g_01792
OG0000015	Syap.g_02606, Syap.g_00786	Pray.g_00309
OG0000016	Syap.g_00071	Pray.g_01475
OG0000017	Syap.g_00449	Pray.g_01165
OG0000018	Syap.g_02708	Pray.g_00375
OG0000018	Syap.g_02010	Pray.g_00083
OG0000019	Syap.g_01586	Pray.g_00730, Pray.g_00328
OG0000025	Syap.g_01846	Pray.g_00809, Pray.g_00383
OG0000027	Syap.g_01440	Pray.g_00960, Pray.g_01887
OG0000028	Syap.g_01658	Pray.g_01935, Pray.g_00798
OG0000030	Syap.g_00787, Syap.g_00788	Pray.g_01374
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Pray.g_01806
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Pray.g_01860
OG0000035	Syap.g_02125, Syap.g_02465	Pray.g_01722
OG0000037	Syap.g_02492	Pray.g_00180
OG0000038	Syap.g_00139	Pray.g_01415
OG0000039	Syap.g_01749, Syap.g_01748	Pray.g_01077
OG0000040	Syap.g_01819	Pray.g_00084
OG0000042	Syap.g_01891, Syap.g_01120	Pray.g_01371
OG0000043	Syap.g_01998	Pray.g_01924
OG0000044	Syap.g_00378	Pray.g_00002
OG0000048	Syap.g_02340	Pray.g_00852
OG0000051	Syap.g_01574	Pray.g_01894
OG0000053	Syap.g_02006	Pray.g_01702
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Pray.g_01157
OG0000057	Syap.g_01569	Pray.g_01065
OG0000058	Syap.g_02074	Pray.g_01786
OG0000059	Syap.g_01082, Syap.g_02478	Pray.g_01761
OG0000059	Syap.g_01918	Pray.g_01258
OG0000061	Syap.g_00228	Pray.g_00064
OG0000062	Syap.g_01220	Pray.g_01644
OG0000063	Syap.g_01796	Pray.g_01495
OG0000066	Syap.g_01972	Pray.g_01222
OG0000067	Syap.g_00194	Pray.g_00348
OG0000068	Syap.g_00108, Syap.g_00144	Pray.g_01829
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Pray.g_01609
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Pray.g_00940
OG0000071	Syap.g_01483	Pray.g_01870
OG0000072	Syap.g_00555	Pray.g_00652
OG0000073	Syap.g_01020, Syap.g_00273	Pray.g_00990
OG0000075	Syap.g_01064, Syap.g_00664	Pray.g_01339
OG0000076	Syap.g_01111	Pray.g_01364
OG0000077	Syap.g_00416	Pray.g_00211
OG0000078	Syap.g_01149	Pray.g_00720
OG0000079	Syap.g_01589	Pray.g_00733
OG0000085	Syap.g_00611	Pray.g_01566
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Pray.g_00150
OG0000088	Syap.g_01202	Pray.g_00647
OG0000089	Syap.g_00115, Syap.g_02042	Pray.g_00834
OG0000090	Syap.g_01451	Pray.g_01024, Pray.g_01228
OG0000091	Syap.g_01861	Pray.g_01121
OG0000094	Syap.g_02781	Pray.g_00565
