Orthogroup	Syap	Prbi
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prbi.g_01424
OG0000004	Syap.g_01987	Prbi.g_00256
OG0000005	Syap.g_01773	Prbi.g_01800
OG0000005	Syap.g_01218	Prbi.g_01666
OG0000006	Syap.g_02770	Prbi.g_00265
OG0000007	Syap.g_00275	Prbi.g_00500
OG0000007	Syap.g_00621	Prbi.g_01787
OG0000009	Syap.g_02081	Prbi.g_00112
OG0000010	Syap.g_02757	Prbi.g_01094
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbi.g_00351
OG0000014	Syap.g_01675	Prbi.g_00330
OG0000014	Syap.g_00813	Prbi.g_01475
OG0000015	Syap.g_02606, Syap.g_00786	Prbi.g_00810, Prbi.g_01304
OG0000016	Syap.g_00071	Prbi.g_00013
OG0000017	Syap.g_00449	Prbi.g_00600
OG0000018	Syap.g_02708	Prbi.g_00874
OG0000018	Syap.g_02010	Prbi.g_01188
OG0000019	Syap.g_01586	Prbi.g_00273, Prbi.g_00827
OG0000025	Syap.g_01846	Prbi.g_00355, Prbi.g_00882
OG0000027	Syap.g_01440	Prbi.g_00472, Prbi.g_01374
OG0000028	Syap.g_01658	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344
OG0000030	Syap.g_00787, Syap.g_00788	Prbi.g_02004
OG0000031	Syap.g_00722	Prbi.g_01467
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prbi.g_01497
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbi.g_01401
OG0000035	Syap.g_02125, Syap.g_02465	Prbi.g_01589, Prbi.g_01591
OG0000037	Syap.g_02492	Prbi.g_00116
OG0000038	Syap.g_00139	Prbi.g_02057
OG0000039	Syap.g_01749, Syap.g_01748	Prbi.g_00689
OG0000040	Syap.g_01819	Prbi.g_01187
OG0000041	Syap.g_01510	Prbi.g_01833
OG0000042	Syap.g_01891, Syap.g_01120	Prbi.g_02001
OG0000043	Syap.g_01998	Prbi.g_01334
OG0000044	Syap.g_00378	Prbi.g_01744, Prbi.g_01760
OG0000048	Syap.g_02340	Prbi.g_00398
OG0000051	Syap.g_01574	Prbi.g_01281, Prbi.g_01364
OG0000053	Syap.g_02006	Prbi.g_01611
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prbi.g_00608
OG0000057	Syap.g_01569	Prbi.g_00702
OG0000059	Syap.g_01082, Syap.g_02478	Prbi.g_01717
OG0000059	Syap.g_01918	Prbi.g_01873
OG0000061	Syap.g_00228	Prbi.g_01207
OG0000062	Syap.g_01365	Prbi.g_01482
OG0000062	Syap.g_01220	Prbi.g_01668
OG0000063	Syap.g_01796	Prbi.g_00033
OG0000066	Syap.g_01972	Prbi.g_00542
OG0000067	Syap.g_00194	Prbi.g_00847
OG0000068	Syap.g_00108, Syap.g_00144	Prbi.g_01439
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prbi.g_01702
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbi.g_00451
OG0000071	Syap.g_01483	Prbi.g_01391
OG0000072	Syap.g_00555	Prbi.g_00195
OG0000073	Syap.g_01020, Syap.g_00273	Prbi.g_00502
OG0000075	Syap.g_01064, Syap.g_00664	Prbi.g_01970
OG0000076	Syap.g_01111	Prbi.g_01994
OG0000077	Syap.g_00416	Prbi.g_00085
OG0000078	Syap.g_01149	Prbi.g_00263
OG0000079	Syap.g_01589	Prbi.g_00276
OG0000080	Syap.g_01003	Prbi.g_01492
OG0000085	Syap.g_00611	Prbi.g_01780
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbi.g_00147
OG0000088	Syap.g_01202	Prbi.g_00190
OG0000089	Syap.g_00115, Syap.g_02042	Prbi.g_00380
OG0000090	Syap.g_01451	Prbi.g_00536
OG0000091	Syap.g_01861	Prbi.g_00645
OG0000094	Syap.g_02781	Prbi.g_01067
OG0000095	Syap.g_01556	Prbi.g_01086
OG0000098	Syap.g_01975	Prbi.g_01421
OG0000099	Syap.g_01385	Prbi.g_01462
OG0000101	Syap.g_00472	Prbi.g_01938
OG0000102	Syap.g_01116	Prbi.g_01999
OG0000103	Syap.g_02607, Syap.g_02608	Prbi.g_02091
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbi.g_02099
OG0000105	Syap.g_01369, Syap.g_01368	Prbi.g_00298
OG0000107	Syap.g_02496	Prbi.g_00409
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prbi.g_00483
OG0000109	Syap.g_00279, Syap.g_02237	Prbi.g_00497
OG0000110	Syap.g_01313	Prbi.g_00577
