Orthogroup	Syap	Syan
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syan.g_02266
OG0000001	Syap.g_00399	Syan.g_02528
OG0000003	Syap.g_00679	Syan.g_00157
OG0000005	Syap.g_01773	Syan.g_01423
OG0000005	Syap.g_01218	Syan.g_01378
OG0000006	Syap.g_02770	Syan.g_00791
OG0000007	Syap.g_00275	Syan.g_02743
OG0000007	Syap.g_00621	Syan.g_01400
OG0000009	Syap.g_02081	Syan.g_02972
OG0000010	Syap.g_02757	Syan.g_02847
OG0000013	Syap.g_00586, Syap.g_00580, Syap.g_00583	Syan.g_02156, Syan.g_02159
OG0000014	Syap.g_01675	Syan.g_01987
OG0000015	Syap.g_02606	Syan.g_01691
OG0000015	Syap.g_00786	Syan.g_00248
OG0000016	Syap.g_00071	Syan.g_01766
OG0000016	Syap.g_00404	Syan.g_00440
OG0000017	Syap.g_00449	Syan.g_01006
OG0000018	Syap.g_02010	Syan.g_02816
OG0000019	Syap.g_01586	Syan.g_02088
OG0000025	Syap.g_01846	Syan.g_00374
OG0000028	Syap.g_01658	Syan.g_01971
OG0000030	Syap.g_00787	Syan.g_01884
OG0000030	Syap.g_00788	Syan.g_01883
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syan.g_01967
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syan.g_01819
OG0000033	Syap.g_01198	Syan.g_03036
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syan.g_01227, Syan.g_03003
OG0000035	Syap.g_02125	Syan.g_01279
OG0000035	Syap.g_02465	Syan.g_01276
OG0000037	Syap.g_02492	Syan.g_00917
OG0000038	Syap.g_00139	Syan.g_01571
OG0000039	Syap.g_01749, Syap.g_01748	Syan.g_00535
OG0000040	Syap.g_01819	Syan.g_01651
OG0000042	Syap.g_01891	Syan.g_00991, Syan.g_02643
OG0000042	Syap.g_01120	Syan.g_01888
OG0000044	Syap.g_00378	Syan.g_00431, Syan.g_00435
