Orthogroup	Syap	Praj
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Praj.g_01549
OG0000004	Syap.g_01987	Praj.g_00271
OG0000005	Syap.g_01773	Praj.g_01349
OG0000005	Syap.g_01218	Praj.g_01712
OG0000006	Syap.g_02770	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syap.g_00275	Praj.g_00489
OG0000007	Syap.g_00621	Praj.g_01768
OG0000010	Syap.g_02757	Praj.g_01026
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Praj.g_00362
OG0000014	Syap.g_01675	Praj.g_00341
OG0000014	Syap.g_00813	Praj.g_01609
OG0000015	Syap.g_02606, Syap.g_00786	Praj.g_01113
OG0000016	Syap.g_00071	Praj.g_00013
OG0000016	Syap.g_00404	Praj.g_01865
OG0000017	Syap.g_00449	Praj.g_00592
OG0000018	Syap.g_02708	Praj.g_00798
OG0000018	Syap.g_02010	Praj.g_01482
OG0000019	Syap.g_01586	Praj.g_00747
OG0000025	Syap.g_01846	Praj.g_00805
OG0000027	Syap.g_01440	Praj.g_01331
OG0000028	Syap.g_01658	Praj.g_01571
OG0000030	Syap.g_00787, Syap.g_00788	Praj.g_02024
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Praj.g_00371
OG0000033	Syap.g_01198	Praj.g_00209
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Praj.g_01538
OG0000035	Syap.g_02125, Syap.g_02465	Praj.g_01632
OG0000037	Syap.g_02492	Praj.g_00147
OG0000038	Syap.g_00139	Praj.g_02089
OG0000039	Syap.g_01749, Syap.g_01748	Praj.g_00679
OG0000041	Syap.g_01510	Praj.g_01813
OG0000042	Syap.g_01891, Syap.g_01120	Praj.g_02020
OG0000043	Syap.g_01998	Praj.g_01157
OG0000045	Syap.g_02525	Praj.g_01303, Praj.g_01049
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Praj.g_00363
OG0000048	Syap.g_02340	Praj.g_00308
OG0000051	Syap.g_01574	Praj.g_01339, Praj.g_01347
OG0000053	Syap.g_02006	Praj.g_01651
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Praj.g_00594
OG0000057	Syap.g_01569	Praj.g_01313, Praj.g_00691
OG0000058	Syap.g_02074	Praj.g_00839
OG0000059	Syap.g_01918	Praj.g_01892
OG0000060	Syap.g_00795	Praj.g_01108
OG0000061	Syap.g_00228	Praj.g_01461
OG0000062	Syap.g_01220	Praj.g_01714
OG0000063	Syap.g_01796	Praj.g_01867
OG0000066	Syap.g_01972	Praj.g_00530
OG0000067	Syap.g_00194	Praj.g_00769
OG0000068	Syap.g_00108, Syap.g_00144	Praj.g_01575
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Praj.g_01276, Praj.g_01675
