Orthogroup	Syap	Syaj
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syaj.g_01950
OG0000004	Syap.g_01987	Syaj.g_02853
OG0000005	Syap.g_01773	Syaj.g_01736
OG0000005	Syap.g_01218	Syaj.g_01698
OG0000007	Syap.g_00275	Syaj.g_00091
OG0000007	Syap.g_00621	Syaj.g_01721
OG0000009	Syap.g_02081	Syaj.g_01885
OG0000010	Syap.g_02757	Syaj.g_01445
OG0000013	Syap.g_00972	Syaj.g_02769
OG0000014	Syap.g_01675	Syaj.g_02522
OG0000014	Syap.g_00813	Syaj.g_02344
OG0000015	Syap.g_02606	Syaj.g_02242
OG0000016	Syap.g_00071	Syaj.g_02276
OG0000018	Syap.g_02010	Syaj.g_01413
OG0000019	Syap.g_01586	Syaj.g_02613
OG0000025	Syap.g_01846	Syaj.g_00383
OG0000028	Syap.g_01658	Syaj.g_02506
OG0000030	Syap.g_00787	Syaj.g_02396
OG0000030	Syap.g_00788	Syaj.g_02395
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syaj.g_02501
OG0000033	Syap.g_01198	Syaj.g_01990
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syaj.g_01959
OG0000035	Syap.g_02125, Syap.g_02465	Syaj.g_01378
OG0000037	Syap.g_02492	Syaj.g_02902
OG0000039	Syap.g_01749, Syap.g_01748	Syaj.g_00392, Syaj.g_00275
OG0000040	Syap.g_01819	Syaj.g_02208
OG0000042	Syap.g_01891, Syap.g_01120	Syaj.g_02399
OG0000043	Syap.g_01998	Syaj.g_01085
OG0000044	Syap.g_00378	Syaj.g_01344
OG0000045	Syap.g_02525	Syaj.g_00132
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syaj.g_02768
OG0000048	Syap.g_02340	Syaj.g_02578
OG0000051	Syap.g_01574	Syaj.g_02898, Syaj.g_00017
OG0000053	Syap.g_02006	Syaj.g_01409
OG0000057	Syap.g_01569	Syaj.g_00438
OG0000058	Syap.g_02074	Syaj.g_02495
OG0000059	Syap.g_01918	Syaj.g_02686
OG0000060	Syap.g_00795	Syaj.g_00635
OG0000061	Syap.g_00870	Syaj.g_02351
OG0000061	Syap.g_00228	Syaj.g_00302
OG0000062	Syap.g_01220	Syaj.g_01700
OG0000063	Syap.g_01796	Syaj.g_02302
OG0000066	Syap.g_01972	Syaj.g_00157
OG0000067	Syap.g_00194	Syaj.g_01023
OG0000068	Syap.g_00108, Syap.g_00144	Syaj.g_00059
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syaj.g_01529
OG0000073	Syap.g_00273	Syaj.g_00093
OG0000075	Syap.g_01064, Syap.g_00664	Syaj.g_02457
OG0000076	Syap.g_01111	Syaj.g_02417
OG0000077	Syap.g_00416	Syaj.g_01831
OG0000078	Syap.g_01149	Syaj.g_02880
OG0000079	Syap.g_01589	Syaj.g_02609
OG0000085	Syap.g_00611	Syaj.g_01707
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syaj.g_01945
OG0000088	Syap.g_01202	Syaj.g_01986
OG0000089	Syap.g_00115, Syap.g_02042	Syaj.g_02829, Syaj.g_01915
OG0000090	Syap.g_01451	Syaj.g_00144
OG0000091	Syap.g_01861	Syaj.g_01275
OG0000094	Syap.g_02781	Syaj.g_00804
OG0000095	Syap.g_01556	Syaj.g_00427
OG0000099	Syap.g_01385	Syaj.g_02503
OG0000102	Syap.g_01116	Syaj.g_02411
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syaj.g_02258
OG0000105	Syap.g_01369, Syap.g_01368	Syaj.g_02573
OG0000107	Syap.g_02496	Syaj.g_02637
OG0000108	Syap.g_00733, Syap.g_02255	Syaj.g_00072
OG0000110	Syap.g_01313	Syaj.g_00215
OG0000111	Syap.g_01566, Syap.g_01568	Syaj.g_00437
OG0000112	Syap.g_02023	Syaj.g_00907
OG0000113	Syap.g_02714	Syaj.g_00992
OG0000114	Syap.g_01255	Syaj.g_00741
OG0000115	Syap.g_02004	Syaj.g_01402
OG0000116	Syap.g_00241	Syaj.g_00289
OG0000117	Syap.g_01889	Syaj.g_00637
OG0000118	Syap.g_02286	Syaj.g_00267
OG0000120	Syap.g_02075	Syaj.g_02502
OG0000121	Syap.g_02471	Syaj.g_01383
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syaj.g_02745
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syaj.g_02388
OG0000125	Syap.g_01046, Syap.g_01047	Syaj.g_02117
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syaj.g_02256
OG0000127	Syap.g_00736	Syaj.g_00538
OG0000127	Syap.g_00737, Syap.g_00735	Syaj.g_00036
OG0000128	Syap.g_00069	Syaj.g_02274
OG0000129	Syap.g_00130, Syap.g_00129	Syaj.g_02106
OG0000130	Syap.g_01688, Syap.g_01689	Syaj.g_01818
OG0000131	Syap.g_02189	Syaj.g_01964
OG0000132	Syap.g_01205	Syaj.g_01984
OG0000133	Syap.g_02017	Syaj.g_00902
OG0000134	Syap.g_02047	Syaj.g_02832
OG0000135	Syap.g_02090	Syaj.g_02167
OG0000136	Syap.g_00089	Syaj.g_01550
OG0000137	Syap.g_02756	Syaj.g_01444
OG0000138	Syap.g_00278	Syaj.g_00088, Syaj.g_02631
OG0000139	Syap.g_00410	Syaj.g_00150
OG0000140	Syap.g_01976	Syaj.g_00153
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syaj.g_01340
OG0000142	Syap.g_00895, Syap.g_00894	Syaj.g_01283
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syaj.g_01279
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syaj.g_01151
OG0000145	Syap.g_01860, Syap.g_01859	Syaj.g_00094
OG0000146	Syap.g_02024	Syaj.g_00908
OG0000147	Syap.g_02025	Syaj.g_00909
OG0000148	Syap.g_02720	Syaj.g_01003
OG0000149	Syap.g_00824	Syaj.g_00369
OG0000150	Syap.g_01540	Syaj.g_01339, Syaj.g_00154
OG0000151	Syap.g_00142	Syaj.g_01074
OG0000152	Syap.g_02012	Syaj.g_00898
OG0000153	Syap.g_02682	Syaj.g_00842
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syaj.g_00814
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syaj.g_00338
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syaj.g_00282
OG0000157	Syap.g_00249, Syap.g_00286	Syaj.g_00281
OG0000158	Syap.g_01075	Syaj.g_02445
OG0000160	Syap.g_02470, Syap.g_02469	Syaj.g_01382
OG0000161	Syap.g_02476	Syaj.g_01389
OG0000162	Syap.g_02531	Syaj.g_01395
OG0000164	Syap.g_01391, Syap.g_01392	Syaj.g_01758
OG0000165	Syap.g_01381, Syap.g_01382	Syaj.g_01582
OG0000166	Syap.g_00512, Syap.g_01238	Syaj.g_02698
OG0000167	Syap.g_02080	Syaj.g_02460
OG0000168	Syap.g_01076	Syaj.g_02444
OG0000169	Syap.g_01049, Syap.g_01093	Syaj.g_02431, Syaj.g_02429
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syaj.g_02422
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syaj.g_02389
OG0000172	Syap.g_01143, Syap.g_00635	Syaj.g_02365
OG0000173	Syap.g_00982, Syap.g_00983	Syaj.g_02321
OG0000174	Syap.g_02092	Syaj.g_02169
OG0000175	Syap.g_02654	Syaj.g_02229
OG0000176	Syap.g_00059	Syaj.g_02266
OG0000177	Syap.g_00061, Syap.g_00060	Syaj.g_02267
OG0000178	Syap.g_00062	Syaj.g_02268
OG0000179	Syap.g_00077, Syap.g_02638	Syaj.g_02283
OG0000180	Syap.g_00078, Syap.g_02640	Syaj.g_02284
OG0000181	Syap.g_00079, Syap.g_02641	Syaj.g_02285
OG0000182	Syap.g_00080, Syap.g_02642	Syaj.g_02286
OG0000183	Syap.g_00084	Syaj.g_02290
OG0000184	Syap.g_01337	Syaj.g_02098
OG0000185	Syap.g_01322	Syaj.g_02087
OG0000186	Syap.g_01684	Syaj.g_01812
OG0000187	Syap.g_01686	Syaj.g_01814
OG0000188	Syap.g_02547	Syaj.g_01837
OG0000191	Syap.g_02233	Syaj.g_01910
OG0000192	Syap.g_02224	Syaj.g_01919
OG0000193	Syap.g_02187, Syap.g_02188	Syaj.g_01965
OG0000194	Syap.g_02183	Syaj.g_01968
OG0000196	Syap.g_01208, Syap.g_02167	Syaj.g_01981
OG0000197	Syap.g_01207, Syap.g_02166	Syaj.g_01982
OG0000198	Syap.g_01206	Syaj.g_01983
OG0000199	Syap.g_01197	Syaj.g_01991
OG0000200	Syap.g_01181	Syaj.g_02008
OG0000201	Syap.g_02265	Syaj.g_02024
OG0000202	Syap.g_02264	Syaj.g_02025
OG0000203	Syap.g_01601	Syaj.g_02026
OG0000204	Syap.g_01602	Syaj.g_02027
OG0000205	Syap.g_01616	Syaj.g_02035
OG0000206	Syap.g_01628	Syaj.g_02043
OG0000207	Syap.g_01426, Syap.g_00424	Syaj.g_02045
OG0000208	Syap.g_00426, Syap.g_01425	Syaj.g_02046
OG0000209	Syap.g_01906	Syaj.g_02070
OG0000210	Syap.g_01905	Syaj.g_02071
OG0000211	Syap.g_01160	Syaj.g_02856
OG0000212	Syap.g_02664	Syaj.g_02881
OG0000213	Syap.g_00107, Syap.g_01599	Syaj.g_02601
OG0000214	Syap.g_02344, Syap.g_02345	Syaj.g_02582
OG0000215	Syap.g_01347, Syap.g_01629	Syaj.g_02551
OG0000216	Syap.g_01634	Syaj.g_02547
OG0000217	Syap.g_01638	Syaj.g_02543
OG0000218	Syap.g_01641, Syap.g_01640	Syaj.g_02541
OG0000219	Syap.g_01642, Syap.g_01643	Syaj.g_02540
OG0000220	Syap.g_01645	Syaj.g_02539
OG0000221	Syap.g_01646	Syaj.g_02530
OG0000222	Syap.g_01669	Syaj.g_02516
OG0000223	Syap.g_02072, Syap.g_02073	Syaj.g_02494
OG0000224	Syap.g_02064	Syaj.g_02487
OG0000225	Syap.g_00553, Syap.g_00552	Syaj.g_02821
OG0000226	Syap.g_02029, Syap.g_02144	Syaj.g_02825
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syaj.g_02827
OG0000228	Syap.g_00116, Syap.g_02041	Syaj.g_02828
OG0000229	Syap.g_02059	Syaj.g_01555
OG0000230	Syap.g_02061	Syaj.g_01553
OG0000231	Syap.g_02533	Syaj.g_01541
OG0000232	Syap.g_02510, Syap.g_02511	Syaj.g_01497
OG0000233	Syap.g_02133	Syaj.g_01481
OG0000234	Syap.g_02755	Syaj.g_01442
OG0000235	Syap.g_00732, Syap.g_02258	Syaj.g_00071
OG0000236	Syap.g_02238	Syaj.g_00086
OG0000237	Syap.g_00262, Syap.g_00263	Syaj.g_00103
OG0000238	Syap.g_00257, Syap.g_00258	Syaj.g_00108
OG0000239	Syap.g_02744	Syaj.g_00125
OG0000240	Syap.g_02742	Syaj.g_00126
OG0000241	Syap.g_00888	Syaj.g_01291
OG0000242	Syap.g_01455	Syaj.g_00142
OG0000243	Syap.g_01938	Syaj.g_00164
OG0000244	Syap.g_01146, Syap.g_01145	Syaj.g_00180
OG0000245	Syap.g_01148	Syaj.g_00182
OG0000246	Syap.g_00308	Syaj.g_00186
OG0000247	Syap.g_00288, Syap.g_00293	Syaj.g_00197
OG0000248	Syap.g_00290	Syaj.g_00200
OG0000249	Syap.g_01296, Syap.g_01295	Syaj.g_00202
OG0000250	Syap.g_01306	Syaj.g_00211
OG0000251	Syap.g_00442	Syaj.g_00237
OG0000252	Syap.g_01857	Syaj.g_00243
OG0000253	Syap.g_00443	Syaj.g_00245
OG0000254	Syap.g_01527, Syap.g_01528	Syaj.g_01335
OG0000256	Syap.g_01287	Syaj.g_01297
OG0000257	Syap.g_00886	Syaj.g_01292
OG0000258	Syap.g_00907	Syaj.g_01274
OG0000260	Syap.g_01970	Syaj.g_00712
OG0000261	Syap.g_01962, Syap.g_01961	Syaj.g_00715
OG0000262	Syap.g_01954	Syaj.g_00720
OG0000263	Syap.g_00432, Syap.g_00433	Syaj.g_00605
OG0000266	Syap.g_00519	Syaj.g_00946
OG0000267	Syap.g_02333, Syap.g_02332	Syaj.g_00770
OG0000268	Syap.g_00646	Syaj.g_00771
OG0000269	Syap.g_00188	Syaj.g_01031
OG0000270	Syap.g_00192	Syaj.g_01025
OG0000271	Syap.g_00200, Syap.g_00201	Syaj.g_01017
OG0000272	Syap.g_00202	Syaj.g_01016
OG0000273	Syap.g_02703	Syaj.g_00389
OG0000274	Syap.g_02702	Syaj.g_00388
OG0000275	Syap.g_01847	Syaj.g_00384
OG0000276	Syap.g_01839, Syap.g_01838	Syaj.g_00377
OG0000278	Syap.g_01834	Syaj.g_00373
OG0000279	Syap.g_00829, Syap.g_00830	Syaj.g_00357
OG0000280	Syap.g_00365	Syaj.g_00348
OG0000281	Syap.g_01977	Syaj.g_02670
OG0000282	Syap.g_01252	Syaj.g_00743
OG0000283	Syap.g_01728	Syaj.g_00790
OG0000284	Syap.g_01736	Syaj.g_00930
OG0000285	Syap.g_01746, Syap.g_01744	Syaj.g_00917
OG0000286	Syap.g_02014, Syap.g_02013	Syaj.g_00899
OG0000288	Syap.g_02764, Syap.g_02763	Syaj.g_00815
OG0000289	Syap.g_02784	Syaj.g_00800
OG0000290	Syap.g_01552	Syaj.g_00424
OG0000291	Syap.g_01554	Syaj.g_00426
OG0000292	Syap.g_02314	Syaj.g_02255
OG0000293	Syap.g_00240	Syaj.g_00290
OG0000295	Syap.g_00206	Syaj.g_00330
OG0000296	Syap.g_00204	Syaj.g_00332
