Orthogroup	Syap	Prav
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prav.g_01458
OG0000004	Syap.g_01987	Prav.g_00806
OG0000005	Syap.g_01773	Prav.g_01774
OG0000005	Syap.g_01218	Prav.g_01654
OG0000006	Syap.g_02770	Prav.g_02001
OG0000007	Syap.g_00275	Prav.g_01095
OG0000007	Syap.g_00621	Prav.g_01761
OG0000009	Syap.g_02081	Prav.g_00170
OG0000010	Syap.g_02757	Prav.g_00218
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prav.g_01973
OG0000014	Syap.g_01675	Prav.g_01952
OG0000015	Syap.g_02606, Syap.g_00786	Prav.g_00363, Prav.g_00961
OG0000016	Syap.g_00071	Prav.g_00081
OG0000017	Syap.g_00449	Prav.g_01194
OG0000018	Syap.g_02708	Prav.g_00424
OG0000018	Syap.g_02010	Prav.g_00046
OG0000019	Syap.g_01586	Prav.g_01896, Prav.g_00375
OG0000025	Syap.g_01846	Prav.g_01977, Prav.g_00431
OG0000027	Syap.g_01440	Prav.g_01068, Prav.g_01416
OG0000028	Syap.g_01658	Prav.g_01885, Prav.g_01966
OG0000030	Syap.g_00787, Syap.g_00788	Prav.g_00699
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prav.g_01499
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prav.g_01448
OG0000035	Syap.g_02125, Syap.g_02465	Prav.g_01578
OG0000037	Syap.g_02492	Prav.g_00174
OG0000038	Syap.g_00139	Prav.g_00739
OG0000039	Syap.g_01749, Syap.g_01748	Prav.g_01284
OG0000040	Syap.g_01819	Prav.g_00045
OG0000041	Syap.g_01510	Prav.g_01808
OG0000042	Syap.g_01891, Syap.g_01120	Prav.g_00696
OG0000048	Syap.g_02340	Prav.g_00993
OG0000051	Syap.g_01574	Prav.g_01410
OG0000053	Syap.g_02006	Prav.g_01598
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prav.g_01202
OG0000057	Syap.g_01569	Prav.g_01296
OG0000059	Syap.g_01918	Prav.g_00292
OG0000060	Syap.g_00795	Prav.g_00964
OG0000061	Syap.g_00228	Prav.g_00065
OG0000062	Syap.g_01365	Prav.g_01551, Prav.g_01338
OG0000062	Syap.g_01220	Prav.g_01656
OG0000063	Syap.g_01796	Prav.g_00101
OG0000066	Syap.g_01972	Prav.g_01137
OG0000067	Syap.g_00194	Prav.g_00397
OG0000068	Syap.g_00108, Syap.g_00144	Prav.g_01473
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prav.g_01881, Prav.g_01689
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prav.g_01049
OG0000071	Syap.g_01483	Prav.g_01438
OG0000072	Syap.g_00555	Prav.g_00867
OG0000073	Syap.g_01020, Syap.g_00273	Prav.g_01097
OG0000075	Syap.g_01064, Syap.g_00664	Prav.g_00665
OG0000076	Syap.g_01111	Prav.g_00689
OG0000077	Syap.g_00416	Prav.g_00143
OG0000078	Syap.g_01149	Prav.g_00799
OG0000079	Syap.g_01589	Prav.g_01899
OG0000085	Syap.g_00611	Prav.g_01754
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prav.g_00204
OG0000088	Syap.g_01202	Prav.g_00872
OG0000089	Syap.g_00115, Syap.g_02042	Prav.g_00975
OG0000090	Syap.g_01451	Prav.g_01131
OG0000091	Syap.g_01861	Prav.g_01240
OG0000094	Syap.g_02781	Prav.g_00914
OG0000095	Syap.g_01556	Prav.g_00933
OG0000098	Syap.g_01975	Prav.g_01455
OG0000099	Syap.g_01385	Prav.g_01514
OG0000101	Syap.g_00472	Prav.g_00632
OG0000102	Syap.g_01116	Prav.g_00694
OG0000103	Syap.g_02607, Syap.g_02608	Prav.g_00773
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prav.g_00782
OG0000105	Syap.g_01369, Syap.g_01368	Prav.g_01920
