Orthogroup	Syap	Syas
OG0000001	Syap.g_00785	Syas.g_00966, Syas.g_00967
OG0000001	Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syas.g_00093, Syas.g_02373
OG0000003	Syap.g_00679	Syas.g_01418
OG0000004	Syap.g_01987	Syas.g_00072
OG0000005	Syap.g_01773	Syas.g_02665
OG0000005	Syap.g_01218	Syas.g_02704
OG0000007	Syap.g_00275	Syas.g_01232
OG0000007	Syap.g_00621	Syas.g_02681
OG0000009	Syap.g_02081	Syas.g_01450
OG0000010	Syap.g_02757	Syas.g_01334
OG0000013	Syap.g_00586, Syap.g_00580, Syap.g_00583	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Syap.g_01675	Syas.g_01816
OG0000015	Syap.g_02606	Syas.g_02007
OG0000015	Syap.g_00786	Syas.g_00968
OG0000016	Syap.g_00071	Syas.g_02048
OG0000016	Syap.g_00404	Syas.g_01050
OG0000017	Syap.g_00449	Syas.g_00849
OG0000018	Syap.g_02010	Syas.g_01290
OG0000019	Syap.g_01586	Syas.g_01696
OG0000025	Syap.g_01846	Syas.g_00231
OG0000027	Syap.g_01440	Syas.g_01480
OG0000028	Syap.g_01658	Syas.g_01793
OG0000030	Syap.g_00787	Syas.g_01644
OG0000030	Syap.g_00788	Syas.g_01645
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syas.g_01827
OG0000033	Syap.g_01198	Syas.g_02328
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syas.g_02371, Syas.g_02838
OG0000035	Syap.g_02465	Syas.g_02814, Syas.g_02818
OG0000037	Syap.g_02492	Syas.g_00147, Syas.g_01928
OG0000038	Syap.g_00139	Syas.g_01887
OG0000039	Syap.g_01749, Syap.g_01748	Syas.g_02795
OG0000040	Syap.g_01819	Syas.g_01972
OG0000041	Syap.g_01510	Syas.g_02585
OG0000042	Syap.g_01891	Syas.g_01121
OG0000042	Syap.g_01120	Syas.g_02147
OG0000044	Syap.g_00378	Syas.g_00894
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syap.g_02340	Syas.g_01734
OG0000051	Syap.g_01574	Syas.g_01445
OG0000053	Syap.g_02006	Syas.g_01287
OG0000054	Syap.g_00678	Syas.g_00961
OG0000054	Syap.g_00774	Syas.g_00957
OG0000057	Syap.g_01569	Syas.g_01055, Syas.g_01038
OG0000059	Syap.g_01918	Syas.g_01639
OG0000060	Syap.g_00795	Syas.g_00975
OG0000061	Syap.g_00228	Syas.g_01184
OG0000062	Syap.g_01365	Syas.g_00070
OG0000062	Syap.g_01220	Syas.g_02702
OG0000063	Syap.g_01796	Syas.g_02074
OG0000066	Syap.g_01972	Syas.g_00094
OG0000067	Syap.g_00194	Syas.g_00596
OG0000068	Syap.g_00108, Syap.g_00144	Syas.g_00969
OG0000069	Syap.g_01936	Syas.g_00779
OG0000069	Syap.g_01543, Syap.g_01545	Syas.g_00876
OG0000070	Syap.g_00802, Syap.g_00915, Syap.g_00953	Syas.g_00173
OG0000071	Syap.g_01483	Syas.g_02854
OG0000072	Syap.g_00555	Syas.g_01524
OG0000073	Syap.g_01020	Syas.g_00358, Syas.g_00264
OG0000073	Syap.g_00273	Syas.g_01230
OG0000075	Syap.g_01064	Syas.g_01921, Syas.g_02194
OG0000076	Syap.g_01111	Syas.g_02156
OG0000077	Syap.g_00416	Syas.g_02510
OG0000078	Syap.g_01149	Syas.g_02561
OG0000079	Syap.g_01589	Syas.g_01699
OG0000080	Syap.g_01035	Syas.g_02616
OG0000085	Syap.g_00611	Syas.g_02695
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syas.g_02374
OG0000089	Syap.g_00115, Syap.g_02042	Syas.g_01512
OG0000090	Syap.g_01451	Syas.g_00062
OG0000091	Syap.g_01861	Syas.g_00146
OG0000094	Syap.g_02781	Syas.g_00208
OG0000095	Syap.g_01556	Syas.g_01021
OG0000098	Syap.g_01975	Syas.g_00091
OG0000099	Syap.g_01385	Syas.g_01826
OG0000101	Syap.g_00472	Syas.g_01589
