Orthogroup	Syap	Pral
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Pral.g_01236
OG0000004	Syap.g_01987	Pral.g_00809
OG0000005	Syap.g_01218	Pral.g_01075
OG0000006	Syap.g_02770	Pral.g_00797
OG0000007	Syap.g_00275	Pral.g_00593
OG0000007	Syap.g_00621	Pral.g_00107
OG0000010	Syap.g_02757	Pral.g_01832, Pral.g_01848
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Pral.g_00712
OG0000014	Syap.g_01675	Pral.g_00732
OG0000014	Syap.g_00813	Pral.g_01261
OG0000015	Syap.g_02606, Syap.g_00786	Pral.g_01813
OG0000018	Syap.g_02708	Pral.g_01516
OG0000018	Syap.g_02010	Pral.g_01346
OG0000019	Syap.g_01586	Pral.g_00790, Pral.g_01344
OG0000025	Syap.g_01846	Pral.g_01523
OG0000027	Syap.g_01440	Pral.g_01036, Pral.g_00039
OG0000028	Syap.g_01658	Pral.g_00053, Pral.g_00719
OG0000030	Syap.g_00787, Syap.g_00788	Pral.g_00316
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Pral.g_01271
OG0000035	Syap.g_02125, Syap.g_02465	Pral.g_01161, Pral.g_01165
OG0000037	Syap.g_02492	Pral.g_00938
OG0000038	Syap.g_00139	Pral.g_00356
OG0000039	Syap.g_01749, Syap.g_01748	Pral.g_01755
OG0000041	Syap.g_01510	Pral.g_00155
OG0000042	Syap.g_01891, Syap.g_01120	Pral.g_00313
OG0000043	Syap.g_01998	Pral.g_01347
OG0000044	Syap.g_00378	Pral.g_01888
OG0000045	Syap.g_02525	Pral.g_01322
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Pral.g_00711
OG0000048	Syap.g_02340	Pral.g_00768
OG0000051	Syap.g_01574	Pral.g_00095
OG0000053	Syap.g_02006	Pral.g_01139, Pral.g_00066
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Pral.g_00482
OG0000057	Syap.g_01569	Pral.g_01740
OG0000058	Syap.g_02074	Pral.g_01202
OG0000059	Syap.g_01918	Pral.g_00195
OG0000061	Syap.g_00870	Pral.g_00639
OG0000061	Syap.g_00228	Pral.g_01367
OG0000062	Syap.g_01220	Pral.g_01073
OG0000063	Syap.g_01796	Pral.g_00435
OG0000066	Syap.g_01972	Pral.g_00551
OG0000067	Syap.g_00194	Pral.g_01488
OG0000068	Syap.g_00108, Syap.g_00144	Pral.g_01222
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Pral.g_01164, Pral.g_01114
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Pral.g_00643
OG0000071	Syap.g_01483	Pral.g_01281
OG0000072	Syap.g_00555	Pral.g_00872
OG0000073	Syap.g_00273	Pral.g_00591
OG0000075	Syap.g_01064, Syap.g_00664	Pral.g_00279
OG0000076	Syap.g_01111	Pral.g_00305
OG0000077	Syap.g_00416	Pral.g_00969
OG0000078	Syap.g_01149	Pral.g_00800
OG0000079	Syap.g_01589	Pral.g_00787
OG0000085	Syap.g_00611	Pral.g_00099
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Pral.g_00906
OG0000088	Syap.g_01202	Pral.g_00878
OG0000089	Syap.g_00115, Syap.g_02042	Pral.g_00676
OG0000090	Syap.g_01451	Pral.g_00557
OG0000091	Syap.g_01861	Pral.g_01443
OG0000094	Syap.g_02781	Pral.g_01604
OG0000095	Syap.g_01556	Pral.g_01561
OG0000098	Syap.g_01975	Pral.g_01239
OG0000099	Syap.g_01385	Pral.g_01201
OG0000101	Syap.g_00472	Pral.g_00243
OG0000102	Syap.g_01116	Pral.g_00310
OG0000103	Syap.g_02607, Syap.g_02608	Pral.g_00397
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Pral.g_00406
OG0000105	Syap.g_01369, Syap.g_01368	Pral.g_00765
OG0000107	Syap.g_02496	Pral.g_00171
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Pral.g_00611
OG0000109	Syap.g_00279, Syap.g_02237	Pral.g_00596
OG0000110	Syap.g_01313	Pral.g_00513
OG0000111	Syap.g_01566, Syap.g_01568	Pral.g_01739
OG0000112	Syap.g_02023	Pral.g_01635
OG0000113	Syap.g_02714	Pral.g_01511
OG0000114	Syap.g_01255	Pral.g_01799
OG0000115	Syap.g_02004	Pral.g_01141
OG0000116	Syap.g_00241	Pral.g_01356
OG0000117	Syap.g_01889	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Syap.g_02286	Pral.g_01269
OG0000120	Syap.g_02075	Pral.g_00702
OG0000121	Syap.g_02471	Pral.g_01159
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Pral.g_00250
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Pral.g_00322
OG0000125	Syap.g_01046, Syap.g_01047	Pral.g_00358
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Pral.g_00405
OG0000128	Syap.g_00069	Pral.g_00421
OG0000129	Syap.g_00130, Syap.g_00129	Pral.g_01000
OG0000130	Syap.g_01688, Syap.g_01689	Pral.g_00978
OG0000131	Syap.g_02189	Pral.g_00900
OG0000132	Syap.g_01205	Pral.g_00880
OG0000133	Syap.g_02017	Pral.g_00717
OG0000134	Syap.g_02047	Pral.g_00674
OG0000135	Syap.g_02090	Pral.g_01034
OG0000136	Syap.g_00089	Pral.g_00653
OG0000137	Syap.g_02756	Pral.g_00617
OG0000138	Syap.g_00278	Pral.g_00595
OG0000139	Syap.g_00410	Pral.g_00553
OG0000140	Syap.g_01976	Pral.g_00552
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Pral.g_00481
OG0000142	Syap.g_00895, Syap.g_00894	Pral.g_01436
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Pral.g_01440
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Pral.g_01453
OG0000145	Syap.g_01860, Syap.g_01859	Pral.g_01037
OG0000146	Syap.g_02024	Pral.g_01636
OG0000147	Syap.g_02025	Pral.g_01637
OG0000148	Syap.g_02720	Pral.g_01505
OG0000149	Syap.g_00824	Pral.g_01535
OG0000150	Syap.g_01540	Pral.g_01545
OG0000151	Syap.g_00142	Pral.g_01789
OG0000152	Syap.g_02012	Pral.g_01627
OG0000153	Syap.g_02682	Pral.g_01578
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Pral.g_01595
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Pral.g_01390
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Pral.g_01292
OG0000157	Syap.g_00249, Syap.g_00286	Pral.g_01291
OG0000158	Syap.g_01075	Pral.g_00287
OG0000159	Syap.g_00700, Syap.g_00852	Pral.g_01263
OG0000160	Syap.g_02470, Syap.g_02469	Pral.g_01160
OG0000161	Syap.g_02476	Pral.g_01154
OG0000162	Syap.g_02531	Pral.g_01148
OG0000164	Syap.g_01391, Syap.g_01392	Pral.g_00131
OG0000165	Syap.g_01381, Syap.g_01382	Pral.g_00138
OG0000166	Syap.g_00512, Syap.g_01238	Pral.g_00206
OG0000167	Syap.g_02080	Pral.g_00277
OG0000168	Syap.g_01076	Pral.g_00288
OG0000169	Syap.g_01049, Syap.g_01093	Pral.g_00298
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Pral.g_00301
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Pral.g_00321
OG0000172	Syap.g_01143, Syap.g_00635	Pral.g_00328
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Pral.g_00343
OG0000174	Syap.g_02092	Pral.g_00375
OG0000175	Syap.g_02654	Pral.g_00387
OG0000176	Syap.g_00059	Pral.g_00414
OG0000177	Syap.g_00061, Syap.g_00060	Pral.g_00415
OG0000178	Syap.g_00062	Pral.g_00416
OG0000179	Syap.g_00077, Syap.g_02638	Pral.g_01028
OG0000180	Syap.g_00078, Syap.g_02640	Pral.g_01027
OG0000181	Syap.g_00079, Syap.g_02641	Pral.g_01026
OG0000182	Syap.g_00080, Syap.g_02642	Pral.g_01025
OG0000183	Syap.g_00084	Pral.g_01021
OG0000184	Syap.g_01337	Pral.g_00996
OG0000185	Syap.g_01322	Pral.g_00993
OG0000186	Syap.g_01684	Pral.g_00984
OG0000187	Syap.g_01686	Pral.g_00983
OG0000188	Syap.g_02547	Pral.g_00965
OG0000191	Syap.g_02233	Pral.g_00928
OG0000192	Syap.g_02224	Pral.g_00923
OG0000193	Syap.g_02187, Syap.g_02188	Pral.g_00899
OG0000194	Syap.g_02183	Pral.g_00896
OG0000195	Syap.g_02180	Pral.g_00894
OG0000196	Syap.g_01208, Syap.g_02167	Pral.g_00883
OG0000197	Syap.g_01207, Syap.g_02166	Pral.g_00882
OG0000198	Syap.g_01206	Pral.g_00881
OG0000199	Syap.g_01197	Pral.g_00873
OG0000200	Syap.g_01181	Pral.g_00860
OG0000201	Syap.g_02265	Pral.g_00851
OG0000202	Syap.g_02264	Pral.g_00850
OG0000203	Syap.g_01601	Pral.g_00849
OG0000204	Syap.g_01602	Pral.g_00848
OG0000205	Syap.g_01616	Pral.g_00842
OG0000206	Syap.g_01628	Pral.g_00837
OG0000207	Syap.g_01426, Syap.g_00424	Pral.g_00835
OG0000208	Syap.g_00426, Syap.g_01425	Pral.g_00834
OG0000209	Syap.g_01906	Pral.g_00825
OG0000210	Syap.g_01905	Pral.g_00824
OG0000211	Syap.g_01160	Pral.g_00807
OG0000212	Syap.g_02664	Pral.g_00799
OG0000213	Syap.g_00107, Syap.g_01599	Pral.g_00781
OG0000214	Syap.g_02344, Syap.g_02345	Pral.g_00772
OG0000215	Syap.g_01347, Syap.g_01629	Pral.g_00746
OG0000216	Syap.g_01634	Pral.g_00744
OG0000217	Syap.g_01638	Pral.g_00741
OG0000218	Syap.g_01641, Syap.g_01640	Pral.g_00739
OG0000219	Syap.g_01642, Syap.g_01643	Pral.g_00738
OG0000220	Syap.g_01645	Pral.g_00737
OG0000221	Syap.g_01646	Pral.g_00736
OG0000222	Syap.g_01669	Pral.g_00729
OG0000223	Syap.g_02072, Syap.g_02073	Pral.g_00716
OG0000224	Syap.g_02064	Pral.g_00714
OG0000225	Syap.g_00553, Syap.g_00552	Pral.g_00686
OG0000226	Syap.g_02029, Syap.g_02144	Pral.g_00682
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Pral.g_00680
OG0000228	Syap.g_00116, Syap.g_02041	Pral.g_00677
OG0000229	Syap.g_02059	Pral.g_00658
OG0000230	Syap.g_02061	Pral.g_00656
OG0000231	Syap.g_02533	Pral.g_00644
OG0000232	Syap.g_02510, Syap.g_02511	Pral.g_00631
OG0000233	Syap.g_02133	Pral.g_00625
OG0000234	Syap.g_02755	Pral.g_00616
OG0000235	Syap.g_00732, Syap.g_02258	Pral.g_00612
OG0000236	Syap.g_02238	Pral.g_00597
